stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1240,茂生農經,2022Q2,tpex,1377498,905876,2283374,933786,35321,969107,385982,,145207,477626,206040,,1214855,,,99412,1314267,,0,0,33.05
1259,安心,2022Q2,tpex,1674124,3429915,5104039,1524068,1631036,3155104,323895,,809816,759408,29116,0,1922235,,,26700,1948935,0,0,0,59.35
1264,德麥,2022Q2,tpex,2559644,1851902,4411546,1069904,86652,1156556,370644,,673648,1606149,-44026,-2432,2603983,,,651007,3254990,,0,12000,70.28
1268,漢來美食,2022Q2,tpex,1809564,4080603,5890167,1354647,2843179,4197826,427237,,1176918,235026,-81030,-65810,1692341,,,,1692341,,0,500000,40.08
1294,漢田生技,2022Q2,tpex,170132,268599,438731,66939,140497,207436,166018,,36652,26505,,,229175,,,2120,231295,,0,0,17.18
1336,台翰,2022Q2,tpex,1340629,1058961,2399590,577542,210503,788045,770984,,668899,284695,-113033,,1611545,,,,1611545,0,0,0,20.90
1565,精華,2022Q2,tpex,4504461,3989818,8494279,2227973,506580,2734553,504165,,526000,4732554,-2993,,5759726,,,,5759726,0,0,0,114.24
1569,濱川,2022Q2,tpex,4204649,3303114,7507763,3253535,706122,3959657,1214474,,1154878,1243408,-172688,,3440072,,,108034,3548106,,0,0,28.33
1570,力肯,2022Q2,tpex,818075,275926,1094001,205742,28361,234103,515008,,0,357123,-12233,,859898,,,0,859898,0,0,0,16.70
1580,新麥,2022Q2,tpex,2488980,1639767,4128747,1483184,125938,1609122,502302,,206832,1841087,-138711,,2411510,,,108115,2519625,,0,0,48.01
