stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1308,亞聚,2018Q1,twse,5194221,9666064,14860285,2310422,2726957,5037379,5181147,16434,4360656,264669,0,9822906,0,,,9822906,0,0,0,18.96
1309,台達化,2018Q1,twse,5543668,3476109,9019777,3441623,1466694,4908317,3276518,765,704486,129691,,4111460,,,,4111460,,0,0,12.55
1310,台苯,2018Q1,twse,4371254,6696498,11067752,2232317,935266,3167583,5278698,68142,2520500,-244794,,7622546,,,277623,7900169,,0,0,14.44
1312,國喬,2018Q1,twse,10503946,18647613,29151559,2898334,1375902,4274236,9266203,149178,11560451,1199267,-122170,22052929,,,2824394,24877323,0,0,4904473,23.93
1313,聯成,2018Q1,twse,21964694,25564144,47528838,15566919,9619577,25186496,11995571,1263279,6740092,2534701,-191301,22342342,,,,22342342,,0,20000000,18.94
1314,中石化,2018Q1,twse,19048438,64929528,83977966,4088699,15342000,19430699,26998573,1260386,37184441,-1177862,,64265538,,,281729,64547267,0,0,0,23.80
1315,達新,2018Q1,twse,4464228,5660877,10125105,1197433,904056,2101489,1980000,88312,3743442,2320008,-118879,8012883,0,,10733,8023616,0,0,7137000,41.98
1316,上曜,2018Q1,twse,3483102,1161569,4644671,1606504,23951,1630455,1285365,195808,349490,213646,-118556,1925753,,,1088463,3014216,0,0,15238800,17.00
1319,東陽,2018Q1,twse,10145284,28211055,38356339,8631272,7724119,16355391,5914771,4149368,10881044,88509,,21033692,,,967256,22000948,,0,0,35.56
1321,大洋,2018Q1,twse,1839551,9828997,11668548,1069201,5192786,6261987,2272283,7792,2813417,349258,-36189,5406561,,,,5406561,,0,6542716,24.50
1323,永裕,2018Q1,twse,2233929,1724128,3958057,528818,1241613,1770431,912745,57128,967941,-44705,-2813,1890296,,,297330,2187626,0,0,1200017,20.99
1324,地球,2018Q1,twse,901843,461830,1363673,299382,38149,337531,751219,0,278260,-3337,0,1026142,,,0,1026142,0,0,0,13.66
1325,恆大,2018Q1,twse,1043633,865053,1908686,64590,65102,129692,852812,3263,863839,-14370,,1705544,,,73450,1778994,0,0,0,20.00
1326,台化,2018Q1,twse,273369312,343080241,616449553,89630747,65787647,155418394,58611863,8683072,199588857,134026861,-626468,400284185,,,60746974,461031159,0,0,27418610,68.62
1337,再生-KY,2018Q1,twse,3918609,6524221,10442830,401073,66159,467232,2682581,2961146,4410003,-78132,,9975598,,,,9975598,,0,0,37.25
1338,廣華-KY,2018Q1,twse,6009052,3922131,9931183,2754359,43385,2797744,838400,2787090,3462210,-267278,,6820422,,,313017,7133439,0,0,0,81.35
1339,昭輝,2018Q1,twse,2306668,4163918,6470586,1884987,1166406,3051393,741389,1188790,1340640,-33733,,3237086,,,182107,3419193,,0,0,43.66
1340,勝悅-KY,2018Q1,twse,5600054,1441643,7041697,252668,8205,260873,1263825,2540814,3175416,-199231,,6780824,,,,6780824,,0,0,53.65
1402,遠東新,2018Q1,twse,119130700,424469816,543600516,121102211,156074954,277177165,53528751,2859569,147252903,-3825792,-25063,199790368,,,66632983,266423351,,0,779000,37.33
1410,南染,2018Q1,twse,770930,766794,1537724,83840,176668,260508,720000,21784,494699,-14796,,1221687,,,55529,1277216,0,0,0,16.97
1413,宏洲,2018Q1,twse,832358,1436837,2269195,666871,655043,1321914,1321124,0,-374559,716,,,,,,947281,,0,0,7.17
1414,東和,2018Q1,twse,939866,3595451,4535317,683138,699202,1382340,2200000,0,1022594,-69617,0,,,,,3152977,0,0,0,14.33
1416,廣豐,2018Q1,twse,1787725,6694373,8482098,1271845,2950501,4222346,1853422,119515,2239444,47371,,4259752,,,0,4259752,0,0,0,22.98
1417,嘉裕,2018Q1,twse,2274351,2165454,4439805,818047,126017,944064,3798837,0,-791537,488441,,3495741,,,,3495741,,0,0,9.20
