stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1314,中石化,2025Q3,twse,59394895,70651659,130046554,26855370,27167415,54022785,37848502,,1582006,37807327,-1279202,,75958633,,,65136,76023769,0,0,0,20.07
1315,達新,2025Q3,twse,6223541,3901882,10125423,489888,207421,697309,990990,,256341,7630177,602968,-83230,9397246,,,30868,9428114,0,0,3572068,98.37
1316,上曜,2025Q3,twse,16590324,4948832,21539156,8567019,1100976,9667995,3670890,,978065,-554596,-1556,-56625,4036178,,,7834983,11871161,0,0,35421058,12.17
1319,東陽,2025Q3,twse,10912250,25320660,36232910,5974512,2959476,8933988,5914771,,4151718,16680895,-23176,,26724208,,,574714,27298922,,0,0,45.18
1321,大洋,2025Q3,twse,2009084,9423889,11432973,1056127,4564211,5620338,2272283,,24018,3463862,88661,-36189,5812635,,,,5812635,0,0,6542716,26.34
1323,永裕,2025Q3,twse,2416670,2191432,4608102,780664,1362516,2143180,912745,,42557,1653807,-144187,0,2464922,,,0,2464922,0,0,0,27.01
1324,地球,2025Q3,twse,680410,434322,1114732,186806,33831,220637,751219,,867,168094,-26085,0,894095,,,0,894095,0,0,0,11.90
1325,恆大,2025Q3,twse,1638243,1108197,2746440,39075,52045,91120,852812,,3626,1719970,4831,,2581239,,,74081,2655320,0,0,0,30.27
1326,台化,2025Q3,twse,155094880,327315101,482409981,116873902,53100577,169974479,58611863,,9314070,175237244,37259429,-323952,280098654,,,32336848,312435502,0,0,12169610,47.89
1337,再生-KY,2025Q3,twse,1959873,4096765,6056638,2006099,434479,2440578,2689547,,1984504,-570184,-487807,,3616060,,,,3616060,,0,0,13.44
1338,廣華-KY,2025Q3,twse,4952238,5224452,10176690,3411902,860438,4272340,838400,,2787090,2747849,-740680,-92080,5540579,,,363771,5904350,0,0,3081000,68.61
1339,昭輝,2025Q3,twse,1665738,3478346,5144084,904748,247259,1152007,741239,,1193369,2116865,-130563,,3920910,,,71167,3992077,0,0,0,52.90
1340,勝悅-KY,2025Q3,twse,788719,2182228,2970947,94715,154920,249635,1529229,,2540814,-679869,-668862,,2721312,0,,0,2721312,,0,0,17.80
1341,富林-KY,2025Q3,twse,1460162,558679,2018841,810431,30265,840696,528506,,255892,786563,-392816,,1178145,,,,1178145,,0,0,22.29
1342,八貫,2025Q3,twse,2112793,1351238,3464031,614811,478981,1093792,790589,,672694,906956,0,,,,,,2370239,,0,0,29.98
1402,遠東新,2025Q3,twse,154594393,510593539,665187932,157251700,202304756,359556456,53528751,,13257582,154425423,1988687,-25063,223175380,,,82456096,305631476,,0,779000,41.70
1410,南染,2025Q3,twse,622175,670127,1292302,49014,162391,211405,620000,,23095,404807,-3381,0,1044521,,,36376,1080897,0,0,0,16.85
1413,宏洲,2025Q3,twse,645763,1768109,2413872,408978,876165,1285143,1321124,,0,-183692,-8703,,,,,,1128729,,0,0,8.54
1414,東和,2025Q3,twse,864493,3283751,4148244,367303,677335,1044638,2200000,,0,1040199,-136593,0,3103606,,,,3103606,,0,0,14.11
1416,廣豐,2025Q3,twse,1232563,4582951,5815514,523716,1034053,1557769,1853422,,50060,1760837,527244,,4191563,,,66182,4257745,0,0,0,22.62
1417,嘉裕,2025Q3,twse,1593063,1243294,2836357,373145,108905,482050,1899419,,,211022,243866,,2354307,,,,2354307,,0,0,12.39
1418,東華,2025Q3,twse,1460689,3821384,5282073,3298769,804786,4103555,568343,,8008,-868280,1550780,-80333,1178518,,,0,1178518,0,0,2522865,21.70
1419,新紡,2025Q3,twse,6048929,18715337,24764266,4739180,2718815,7457995,3000413,,69106,5698732,8551194,-13174,17306271,,,,17306271,,0,803829,57.83
1423,利華,2025Q3,twse,1181646,3003662,4185308,46245,200343,246588,996480,,106097,1071705,1764438,,,,,,3938720,,0,0,39.53
1432,大魯閣,2025Q3,twse,1206638,4323206,5529844,1676909,2687048,4363957,1080000,,293677,-316344,-83474,,973859,,,192028,1165887,,0,0,9.02
1434,福懋,2025Q3,twse,14002574,38000330,52002904,5035471,9368124,14403595,16846646,,946506,19374880,450341,-19064,37599309,,,,37599309,0,0,2193228,22.35
1435,中福,2025Q3,twse,392725,916326,1309051,7779,177809,185588,1397801,,125137,-204391,-195084,,,,,,1123463,,0,0,8.04
1436,華友聯,2025Q3,twse,20964722,1822944,22787666,10095528,5668399,15763927,1941518,,1237193,3386382,18912,,6584005,,,439734,7023739,0,21451143,0,33.91
1437,勤益控,2025Q3,twse,2332906,11376176,13709082,1230395,4182440,5412835,2033713,,440826,5353544,466598,,8294681,,,1566,8296247,0,0,0,40.79
1438,三地開發,2025Q3,twse,13533162,772246,14305408,10258102,1196597,11454699,1112058,,1710226,30871,-2446,,,,,,2850709,,0,0,25.63
1439,雋揚,2025Q3,twse,3471836,2377156,5848992,2047663,501414,2549077,920000,,228545,1878484,-174698,,2852331,,,447584,3299915,,0,0,31.00
1440,南紡,2025Q3,twse,12070251,33141511,45211762,9602648,7840016,17442664,16568159,,72685,11119471,-317580,,27442735,,,326363,27769098,0,0,0,16.56
1441,大東,2025Q3,twse,604888,768126,1373014,538794,365269,904063,717444,,31777,-203936,-76334,,468951,,,0,468951,0,0,0,6.54
1442,名軒,2025Q3,twse,12730280,1269578,13999858,2233042,3960565,6193607,3662113,,991852,3136876,15410,,7806251,,,,7806251,,0,0,21.32
1443,立益物流,2025Q3,twse,607636,7218685,7826321,2516488,3431708,5948196,1353430,,701,96721,837192,,2288044,,,-409919,1878125,0,0,0,16.91
1444,力麗,2025Q3,twse,6578523,13474450,20052973,7428312,1654548,9082860,9955950,,119244,116453,-460954,-28470,9702223,,,1267890,10970113,,0,11204989,9.86
1445,大宇,2025Q3,twse,793491,3872689,4666180,383874,1998430,2382304,1306660,,1624,757026,218566,,2283876,,,,2283876,,0,0,17.48
1446,宏和,2025Q3,twse,2794040,409778,3203818,364826,8268,373094,1377095,,6584,1424483,22562,0,2830724,,,0,2830724,0,0,0,20.56
1447,力鵬,2025Q3,twse,8841568,8996249,17837817,7368146,1807828,9175974,9100712,,219148,-259296,-900261,-287142,7873161,,,788682,8661843,,0,66529106,9.33
1449,佳和,2025Q3,twse,1988170,4404532,6392702,1998315,2108818,4107133,1271146,,135020,198023,604123,,2208312,,,77257,2285569,,0,0,17.37
1451,年興,2025Q3,twse,5267976,3178957,8446933,869084,334262,1203346,1980000,,419716,5400592,-556721,,7243587,,,,7243587,,0,0,36.58
1452,宏益,2025Q3,twse,1987459,829892,2817351,85773,45937,131710,1326414,,156172,971026,232029,,2685641,,,,2685641,,0,0,20.25
1453,大將,2025Q3,twse,2654289,187199,2841488,1227715,158774,1386489,1132431,,2762,306413,,,1441606,,,13393,1454999,,0,0,12.73
1454,台富,2025Q3,twse,1039713,1002338,2042051,593866,10328,604194,1298338,,70540,140651,5332,-77032,1437829,,,28,1437857,,0,7714103,11.77
1455,集盛,2025Q3,twse,2659970,6684806,9344776,979803,2414501,3394304,5316884,,346546,245277,41765,,5950472,,,,5950472,,0,0,11.19
1456,怡華,2025Q3,twse,9975241,2653472,12628713,8157191,2938671,11095862,937200,,18377,577274,,,1532851,,,,1532851,0,0,0,16.36
1457,宜進,2025Q3,twse,2840562,14266730,17107292,2276363,6202206,8478569,3167300,,523799,1881429,-37467,-349848,5185213,,,3443510,8628723,0,0,83211323,22.20
1459,聯發,2025Q3,twse,1735716,2762762,4498478,1075726,130121,1205847,3586289,,297733,278970,-345277,-528645,3289070,,,3561,3292631,,0,41144531,10.36
1460,宏遠,2025Q3,twse,5824797,5417811,11242608,4783594,966673,5750267,6946434,,115943,-1089627,-147578,-332836,5492336,,,5,5492341,,0,20177533,8.14
1463,強盛新,2025Q3,twse,2343234,1229691,3572925,647069,105680,752749,1732684,,411010,560097,10739,-22714,2691816,,,128360,2820176,0,0,1676795,15.69
1464,得力,2025Q3,twse,8773083,8423430,17196513,7922037,3793150,11715187,4255757,,626253,727836,-696393,-27472,4885981,,,595345,5481326,,0,2548653,11.55
1465,偉全,2025Q3,twse,1108812,605680,1714492,112866,47609,160475,1036073,,300311,232148,-14515,,,,,,1554017,,0,0,15.00
1466,聚隆,2025Q3,twse,1703023,2027244,3730267,443696,1649416,2093112,1111573,,600318,-143315,-10738,0,1557838,0,,79317,1637155,,0,0,14.01
1467,南緯,2025Q3,twse,4172947,4398114,8571061,3693489,2119682,5813171,2336247,,254202,91784,29108,-26145,2685196,,,72694,2757890,0,0,2950000,11.64
1468,昶和,2025Q3,twse,1882812,1198464,3081276,1247428,412553,1659981,1604053,,26753,-343700,56388,,1343494,,,77801,1421295,,0,0,8.38
1470,大統新創,2025Q3,twse,591263,543858,1135121,152161,8012,160173,857670,,7317,109212,749,,974948,,,,974948,,0,0,11.37
1471,首利,2025Q3,twse,1342325,302242,1644567,84412,37919,122331,1504145,,0,-161782,86743,,1429106,,,93130,1522236,0,0,0,9.50
1472,三洋實業,2025Q3,twse,4388176,972124,5360300,2205563,934239,3139802,524881,,837670,846942,11005,,2220498,,,,2220498,,0,0,42.30
1473,台南,2025Q3,twse,2746362,2353437,5099799,1099450,253072,1352522,1461535,,824531,1538034,-76823,,3747277,,,,3747277,0,0,0,25.64
1474,弘裕,2025Q3,twse,2031567,1603152,3634719,897205,642083,1539288,1298970,,66368,835026,-121615,,2078749,,,16682,2095431,0,0,0,16.00
1475,業旺,2025Q3,twse,1934506,202300,2136806,543842,129197,673039,660168,,194851,608748,,,1463767,,,,1463767,0,0,0,22.17
1476,儒鴻,2025Q3,twse,19735941,13628832,33364773,5426802,176732,5603534,2743671,,3769803,21349633,-101868,,27761239,,,,27761239,,0,0,101.18
1477,聚陽,2025Q3,twse,14400014,7639888,22039902,7949673,975738,8925411,2466937,,6166333,4479306,-114966,,12997610,,,116881,13114491,0,0,0,52.69
1503,士電,2025Q3,twse,25724961,31837608,57562569,18007804,2392184,20399988,5209722,,2797585,22498697,5833633,,36339637,,,822944,37162581,,0,0,69.75
1504,東元,2025Q3,twse,58280452,82846822,141127274,32299272,14724002,47023274,23764407,,23971625,34946668,5691695,-760722,87613673,,,6490327,94104000,0,0,34513022,37.41
1506,正道,2025Q3,twse,1060735,2162291,3223026,284906,85889,370795,3003885,,424736,-499730,-149723,,2779168,,,73063,2852231,,0,0,9.25
1512,瑞利,2025Q3,twse,1082632,1626140,2708772,408372,1688614,2096986,981835,,,-897162,527113,,611786,,,,611786,0,0,0,6.23
1513,中興電,2025Q3,twse,23377256,25028552,48405808,20643160,7915892,28559052,5031125,,3066762,8356448,3309589,-116880,19647044,,,199712,19846756,,0,9038676,39.77
1514,亞力,2025Q3,twse,10481843,2886082,13367925,5853597,1441398,7294995,2731085,,1113619,2227938,-37330,-30866,6004446,,,68484,6072930,0,0,2238551,22.17
1515,力山,2025Q3,twse,3874606,4189200,8063806,3699430,608320,4307750,1814735,,586,2079904,-164162,,3731063,,,24993,3756056,0,0,0,20.56
1516,川飛,2025Q3,twse,147961,64852,212813,3937,,3937,400082,,20185,-205369,-6022,,,,,,208876,,0,0,5.22
1517,利奇,2025Q3,twse,2948860,1317911,4266771,581382,170624,752006,2233000,,70258,1186977,-86087,-27004,3377144,,,137621,3514765,,0,2553000,15.30
1519,華城,2025Q3,twse,18801776,6178600,24980376,11265546,4861565,16127111,3158808,,87519,5759410,-244142,,8761595,,,91670,8853265,,0,0,27.74
1521,大億,2025Q3,twse,1937058,993488,2930546,998209,114598,1112807,762300,,61412,994027,0,,1817739,,,,1817739,0,0,0,23.85
1522,堤維西,2025Q3,twse,18086539,19454092,37540631,17334020,10185023,27519043,3428979,,2603708,3744463,-138422,-5996,9632732,,,388856,10021588,0,0,939707,28.17
1524,耿鼎,2025Q3,twse,1648307,3504721,5153028,862021,1401657,2263678,1653104,,1089,1218944,16213,0,,0,0,,2889350,0,0,0,17.48
1525,江申,2025Q3,twse,2066988,3394146,5461134,436248,269932,706180,734001,,1251,4495840,-476138,,4754954,,,,4754954,,0,0,64.78
1526,日馳,2025Q3,twse,1450844,861399,2312243,750393,210323,960716,600000,,95120,648553,7854,,1351527,,,,1351527,,0,0,22.53
1527,鑽全,2025Q3,twse,3927644,1443127,5370771,580783,45165,625948,1385706,,26932,3333617,-1432,,,,,,4744823,,0,0,34.24
1528,恩德,2025Q3,twse,3529196,1884250,5413446,2611111,605431,3216542,1913310,,199461,89031,-52755,,2149047,,,47857,2196904,,0,0,11.23
1529,樂事綠能,2025Q3,twse,806700,2637236,3443936,565738,994415,1560153,1550951,,63962,200951,-2619,0,1813245,0,,70538,1883783,,0,0,11.69
1530,亞崴,2025Q3,twse,3178477,2449711,5628188,2140839,282748,2423587,945942,,95389,2119852,-42097,0,3119086,,,85515,3204601,0,0,0,32.97
1531,高林股,2025Q3,twse,2926347,1365348,4291695,488972,285422,774394,1821081,,199334,1667360,-170474,0,3517301,,,,3517301,0,0,0,19.31
1532,勤美,2025Q3,twse,34361852,18181359,52543211,24322327,9506650,33828977,4226043,,2528408,8217725,-260117,-163070,14548989,,,4165245,18714234,0,0,6341000,34.95
1533,車王電,2025Q3,twse,5070416,3405445,8475861,3395942,2475496,5871438,985475,,362183,1091151,-277573,,2161236,,,443187,2604423,0,0,0,21.93
1535,中宇,2025Q3,twse,4519423,2444364,6963787,3089271,247299,3336570,1237426,,630882,1931359,-172450,0,3627217,0,,0,3627217,,0,0,29.31
1536,和大,2025Q3,twse,6010294,15681989,21692283,7785092,5808828,13593920,2789595,,3897489,1327580,-80049,0,7934615,,,163748,8098363,,0,0,28.44
1537,廣隆,2025Q3,twse,4625858,1032552,5658410,1149493,378865,1528358,820628,,701478,2565145,42801,,4130052,,,,4130052,0,0,0,50.33
1538,正峰,2025Q3,twse,120571,128245,248816,63730,37428,101158,323000,,66,-100417,-74991,,147658,,,,147658,0,0,0,4.57
1539,巨庭,2025Q3,twse,1039652,1141697,2181349,410683,194316,604999,653700,,0,919606,3044,,1576350,,,0,1576350,0,0,0,24.11
1540,喬福,2025Q3,twse,1268858,336877,1605735,169855,6027,175882,854736,,154252,420865,,,,,,,1429853,0,0,0,16.73
1541,錩泰,2025Q3,twse,2055981,1225961,3281942,826720,431955,1258675,788000,,1364,1241980,-8077,,2023267,,,,2023267,0,0,0,25.68
1558,伸興,2025Q3,twse,6522031,6503895,13025926,3527367,1108645,4636012,665356,,1890261,3070810,-471161,,5155266,,,3234648,8389914,,0,0,77.48
1560,中砂,2025Q3,twse,5644246,6916144,12560390,2487789,2203267,4691056,1469411,,1615932,4539561,-64004,,7560900,,,308434,7869334,,0,0,51.46
1563,巧新,2025Q3,twse,10217547,7888898,18106445,5066858,4211858,9278716,2307821,,2416881,4579967,-6932,-515173,8782564,,,45165,8827729,0,0,8520000,39.51
1568,倉佑,2025Q3,twse,845776,1432320,2278096,300324,45123,345447,1030865,,159517,653403,-6015,0,1837770,,,94879,1932649,,0,0,17.83
1582,信錦,2025Q3,twse,9138506,3253441,12391947,4627874,572281,5200155,1442686,,3376992,2825537,-802831,,6842384,,,349408,7191792,,0,0,47.43
1583,程泰,2025Q3,twse,8965779,4962026,13927805,5052015,1882023,6934038,1094004,,323958,4137195,-76555,0,5478602,,,1515165,6993767,0,0,0,50.08
1587,吉茂,2025Q3,twse,2167320,1401885,3569205,1815575,262322,2077897,800556,,546969,239539,-95756,0,1491308,,,,1491308,0,0,0,18.63
1589,永冠-KY,2025Q3,twse,9637043,16436805,26073848,9774809,8159969,17934778,1331359,,6940472,968386,-1461859,,7778358,,,360712,8139070,,0,0,58.42
1590,亞德客-KY,2025Q3,twse,28126710,31114868,59241578,11056606,291563,11348169,2000000,,14847244,33018259,-1978365,,47887138,,,6271,47893409,,0,0,239.44
1597,直得,2025Q3,twse,1992467,2217758,4210225,862312,995436,1857748,892619,,446121,1186102,-24795,-147570,2352477,,,,2352477,0,0,2000000,26.96
1598,岱宇,2025Q3,twse,4190066,6192468,10382534,3373066,2158534,5531600,1791420,,2877117,336454,-149405,-353627,4501959,,,348975,4850934,0,0,9042000,26.47
1603,華電,2025Q3,twse,7482523,4573782,12056305,3819702,753672,4573374,1916880,,654215,6553830,506748,-2244172,7387501,,,95430,7482931,,0,32841809,46.51
1604,聲寶,2025Q3,twse,3675306,14460524,18135830,4160673,5294452,9455125,3842000,,280952,5246845,-331847,-777873,8260077,,,420628,8680705,,0,20431605,22.71
1605,華新,2025Q3,twse,80876602,206117288,286993890,41071714,80726921,121798635,44313329,,37317832,59057331,14609726,,155298218,,,9897037,165195255,,0,0,35.05
1608,華榮,2025Q3,twse,8132912,7839542,15972454,4622196,953497,5575693,6327735,,436138,3483081,-21697,-968671,9256586,,,1140175,10396761,,0,208563824,21.82
1609,大亞,2025Q3,twse,24423245,36078672,60501917,19496711,21859373,41356084,7852619,0,2334681,6029652,440211,-12787,16644376,0,,2501457,19145833,,0,2317419,21.26
1611,中電,2025Q3,twse,1961432,3250866,5212298,787336,173657,960993,3227358,,5683,845590,172674,,4251305,,,,4251305,,0,0,13.17
1612,宏泰,2025Q3,twse,4816344,4267169,9083513,1012777,148820,1161597,3160801,,200074,4453530,106022,,7920427,,,1489,7921916,,0,0,25.06
1614,三洋電,2025Q3,twse,2786344,4321427,7107771,1000914,458314,1459228,2691134,,309456,2564224,170784,-132298,5603300,,,45243,5648543,0,0,10182744,21.64
1615,大山,2025Q3,twse,3471389,2239459,5710848,1630426,190222,1820648,1966637,,0,1818484,105079,,3890200,,,,3890200,,0,0,19.78
1616,億泰,2025Q3,twse,3486298,953156,4439454,2175946,12022,2187968,1941485,,10869,469936,-85727,-85077,2251486,,,,2251486,,0,4654499,11.88
1617,榮星,2025Q3,twse,2257224,1134348,3391572,1231617,77138,1308755,1695147,,257098,299830,-178202,0,2073873,,,8944,2082817,0,0,0,12.23
1618,合機,2025Q3,twse,3950933,4268389,8219322,1895536,66414,1961950,1926917,,100026,3258933,971496,,6257372,,,,6257372,,0,0,32.47
1623,大東電,2025Q3,twse,5681740,1646249,7327989,3236935,1394255,4631190,600000,,713485,1329403,53911,,,,,,2696799,0,0,0,44.95
1626,艾美特-KY,2025Q3,twse,5074300,2892432,7966732,5006677,262587,5269264,1498217,,1198630,441175,-440554,0,2697468,,,,2697468,0,0,0,18.00
1702,南僑,2025Q3,twse,14648968,17148242,31797210,9383374,8837597,18220971,2941330,,4888205,4286809,-938355,-530114,10647875,,,2928364,13576239,,0,46041259,42.92
1707,葡萄王,2025Q3,twse,4653644,9835839,14489483,2585838,265554,2851392,1481374,,2880783,5881795,-91507,,10152445,,,1485646,11638091,,0,0,68.53
1708,東鹼,2025Q3,twse,3686612,8985396,12672008,3441673,2302378,5744051,2490017,,71606,4509074,-142740,,6927957,,,,6927957,0,0,0,27.82
1709,和益,2025Q3,twse,5050853,6895207,11946060,1716430,1127505,2843935,4770163,,76139,3112215,878275,,8836792,,,265333,9102125,,0,0,18.53
1710,東聯,2025Q3,twse,4538422,27074972,31613394,8289135,11142856,19431991,8857031,,1091942,3528733,-3414295,-118460,9944951,,,2236452,12181403,,0,8675554,11.34
1711,永光,2025Q3,twse,6263070,6461832,12724902,2857283,1453547,4310830,5477522,,475236,2287038,-87626,,8152170,,,261902,8414072,,0,0,14.88
1712,興農,2025Q3,twse,7776568,7241718,15018286,5034830,1666287,6701117,4204926,,465767,3785383,-199146,,8256930,,,60239,8317169,,0,0,19.64
1713,國化,2025Q3,twse,648107,3117089,3765196,76771,84075,160846,1509517,,92930,1822183,179720,0,,,,,3604350,0,0,0,23.88
1714,和桐,2025Q3,twse,15060586,7995506,23056092,4241598,2650526,6892124,9918248,,121347,3404449,-1744318,-78973,11620753,,,4543215,16163968,0,0,10141558,11.84
1717,長興,2025Q3,twse,30789743,28098748,58888491,16618973,15433880,32052853,11722455,,1098357,14948140,-1624841,0,26144111,,,691527,26835638,6020000,0,0,22.42
1720,生達,2025Q3,twse,5336356,6287081,11623437,2217355,384656,2602011,1786961,,300748,3906599,-45763,,5948545,,,3072881,9021426,0,0,0,33.29
1721,國慶科技,2025Q3,twse,1546428,1616963,3163391,741784,673772,1415556,1848841,,42255,-140051,-3210,,1747835,,,,1747835,,0,0,9.45
1722,台肥,2025Q3,twse,8389217,73339017,81728234,4007412,23566116,27573528,9800000,0,2246165,38326340,3782201,0,54154706,0,,0,54154706,0,0,0,55.26
1723,中碳,2025Q3,twse,3376900,7757182,11134082,1782263,1661907,3444170,2369044,,990223,4754129,-305846,-117638,7689912,,,,7689912,,0,4753537,33.12
1725,元禎,2025Q3,twse,7379053,1057788,8436841,2187036,74854,2261890,1818300,,2287,1312091,3042272,0,6174950,,,1,6174951,,0,0,33.96
1726,永記,2025Q3,twse,7648358,3834759,11483117,1331095,102022,1433117,1620000,,109873,8724644,-404517,,10050000,,,,10050000,,0,0,62.04
1727,中華化,2025Q3,twse,1046424,2265945,3312369,788841,433048,1221889,1280196,,420275,390009,,,,,,,2090480,,0,0,16.68
1730,花仙子,2025Q3,twse,1706816,911916,2618732,489066,51365,540431,632339,,234657,1125262,-41866,,1950392,,,127909,2078301,,0,0,30.84
