stock_id,name,period,market,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,權益合計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
2855,統一證,2015Q4,twse,65185471,4904062,70089533,47265147,60335,47325482,13231191,256116,9307717,201014,-278026,22718012,,,22764051,,0,19323000,17.42
6005,群益證,2015Q4,twse,79591301,13719890,93311191,59982074,1801450,61783524,23190730,2742807,4697083,129135,-469155,30290600,,,31527667,0,0,47485000,13.33
6024,群益期,2015Q4,twse,19965045,513538,20478583,17484613,14982,17499595,1223979,380185,1289998,57767,0,2951929,,,2978988,0,0,0,24.12
