stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
5450,南良,2016Q1,tpex,581507,424661,1006168,383067,124943,508010,503923,27447,-36416,3204,,498158,,,0,498158,0,0,0,9.89
5452,佶優,2016Q1,tpex,3184047,688762,3872809,1537370,119512,1656882,1500897,193059,248870,20309,-15977,1947158,0,,268769,2215927,0,0,1326000,13.09
5455,昇益,2016Q1,tpex,122339,6348,128687,13758,0,13758,355018,3737,-243826,0,,,,,,114929,0,0,0,3.24
5457,宣德,2016Q1,tpex,2453881,1946758,4400639,2028146,72449,2100595,1678000,27280,242510,-38724,,1909066,,,390978,2300044,0,0,0,11.38
5460,同協,2016Q1,tpex,866919,416861,1283780,182309,94312,276621,720320,13621,253464,19754,0,1007159,,,,1007159,,0,0,13.98
5464,霖宏,2016Q1,tpex,2166508,704533,2871041,1123416,508505,1631921,710715,92567,428888,6950,,1239120,,,,1239120,,0,0,17.43
5465,富驊,2016Q1,tpex,1773713,1203002,2976715,845679,335861,1181540,1440918,,111587,39901,0,1592406,,,202769,1795175,0,0,0,11.05
5468,凱鈺,2016Q1,tpex,188588,295193,483781,170557,600,171157,529879,16597,-237890,4038,,312624,,,,312624,0,0,0,5.90
5474,聰泰,2016Q1,tpex,952692,42711,995403,239437,33125,272562,337298,793,384750,,,,,,,722841,0,0,0,21.43
5475,德宏,2016Q1,tpex,3298967,2063175,5362142,2540339,1287221,3827560,2206547,153929,-860974,48740,,1548242,,,-13660,1534582,0,0,0,7.02
5478,智冠,2016Q1,tpex,9666391,1290339,10956730,4420060,105822,4525882,1274743,1520523,2489415,311564,,5596245,,,834603,6430848,,0,0,43.90
5481,新華,2016Q1,tpex,313942,778646,1092588,4995,16026,21021,972819,339736,-240988,0,,1071567,,,,1071567,,0,0,11.02
5483,中美晶,2016Q1,tpex,19578898,27365070,46943968,10862382,6987594,17849976,5800312,18616832,1499751,-2435297,-169861,23311737,,,5782255,29093992,0,0,5555000,40.58
5487,通泰,2016Q1,tpex,434057,158733,592790,67870,34097,101967,221345,41585,227372,521,0,490823,,,0,490823,0,0,0,22.17
