stock_id,name,period,market,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1409,新纖,2015Q1,twse,90456609,41033759,131490368,88919974,7927804,96847778,16592823,1514075,6612100,1418138,-29834,26107302,,8535288,34642590,0,0,4680487,15.78
1718,中纖,2015Q1,twse,507914954,56873977,564788931,493380302,23072696,516452998,13616932,1463781,6668066,-259565,-1040214,20449000,,27886933,48335933,,0,229175859,18.06
2514,龍邦,2015Q1,twse,93143130,428550272,521693402,8053491,495422842,503476333,5632143,309863,3235732,-1551275,-398159,7228304,,10988765,18217069,0,0,43929000,13.92
2905,三商,2015Q1,twse,114528623,697134544,811663167,15406044,766788522,782194566,6813689,898133,5813782,-281002,-532672,12711930,0,16756671,29468601,,0,39354000,19.80
