stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1101,台泥,2019Q1,twse,120649402,244875629,365525031,76865453,78503617,155369070,53080599,47956296,65540562,27556827,-2545,194131739,,,16024222,210155961,,0,70000,36.57
1102,亞泥,2019Q1,twse,81800166,205109385,286909551,62633524,58305961,120939485,33614472,1444920,102703255,5792784,,143555431,,,22414635,165970066,,0,0,42.71
1103,嘉泥,2019Q1,twse,10174827,24261266,34436093,3121579,9690472,12812051,7747805,728856,9922512,3523028,-1096783,20825418,,,798624,21624042,,0,130370320,32.32
1104,環泥,2019Q1,twse,4047175,19068633,23115808,3396098,1482724,4878822,6536092,41265,10717505,826752,,18121614,,,115372,18236986,,0,0,27.73
1108,幸福,2019Q1,twse,5017962,2489274,7507236,1863635,1429777,3293412,4047380,8,150026,16332,0,4213746,,,78,4213824,,0,0,10.41
1109,信大,2019Q1,twse,4270987,5644256,9915243,1648691,279723,1928414,3419579,22551,3046732,-55808,0,6433054,0,,1553775,7986829,,0,0,18.81
1110,東泥,2019Q1,twse,1948336,7760051,9708387,504054,545204,1049258,5720008,188057,2166579,538654,-12185,8601113,,,58016,8659129,,0,2112865,15.09
1201,味全,2019Q1,twse,7822384,12794212,20616596,10215118,3003892,13219010,5060629,31936,2353243,-60960,,7384848,,,12738,7397586,,0,0,14.59
1203,味王,2019Q1,twse,4352071,5079003,9431074,1819790,1495159,3314949,2400000,112965,2232511,176155,-38464,4883167,,,1232958,6116125,0,0,2293865,20.54
1210,大成,2019Q1,twse,20589766,24125535,44715301,16749154,4431563,21180717,7879420,2948923,6021027,987748,-219132,17617986,,,5916598,23534584,,0,43202318,23.66
1213,大飲,2019Q1,twse,322938,1045002,1367940,373530,397223,770753,566226,21938,9227,-204,,597187,,,,597187,0,0,0,10.55
1215,卜蜂,2019Q1,twse,5880732,10612366,16493098,6380241,2477583,8857824,2679910,1652,3222397,1396915,,7300874,,,334400,7635274,0,0,0,27.24
1216,統一,2019Q1,twse,166175745,300104571,466280316,155742454,127811208,283553662,56820154,3892176,54752477,-1992635,,113472172,,,69254482,182726654,0,0,0,19.97
1217,愛之味,2019Q1,twse,2080009,10674047,12754056,2795504,3613242,6408746,4945134,259736,569067,-174435,0,5599502,,,745808,6345310,0,0,0,11.32
1218,泰山,2019Q1,twse,3031140,5585189,8616329,1753570,351946,2105516,4999990,950900,867791,-109322,-203876,6505483,,,5330,6510813,0,0,13680042,13.38
1219,福壽,2019Q1,twse,3837342,4588133,8425475,2358230,2234449,4592679,3220139,32946,568726,-2742,,3819069,,,13727,3832796,0,0,0,11.86
1220,台榮,2019Q1,twse,1923856,1105669,3029525,391932,200036,591968,1770779,3526,475011,0,0,2249316,,,188241,2437557,,0,0,12.70
1225,福懋油,2019Q1,twse,3877535,2938483,6816018,1572667,1539994,3112661,2187030,121015,1005997,-52412,,3261630,,,441727,3703357,,0,0,14.91
1227,佳格,2019Q1,twse,16579979,7008700,23588679,6068785,502315,6571100,9150897,93045,7703760,-161936,-21182,16764584,,,252995,17017579,0,0,6669471,18.45
1229,聯華,2019Q1,twse,6521500,39169784,45691284,7071416,1338976,8410392,10521332,744071,13361442,2550310,-184763,26992392,,,10288500,37280892,,0,5664000,25.79
1231,聯華食,2019Q1,twse,3760700,3490849,7251549,2399555,1297695,3697250,1662813,72657,1780939,18996,,3535405,,,18894,3554299,,0,0,21.26
1232,大統益,2019Q1,twse,4776194,897093,5673287,1174105,253383,1427488,1599749,23784,2561503,-7000,,4178036,,,67763,4245799,0,0,0,26.12
1233,天仁,2019Q1,twse,768254,1716803,2485057,440289,414160,854449,905919,46162,584333,92729,-2754,1626389,,,4219,1630608,0,0,60000,17.96
1234,黑松,2019Q1,twse,7683227,15274901,22958128,2748007,2412946,5160953,4018711,184969,13582558,10937,0,17797175,,,0,17797175,,0,0,44.29
1235,興泰,2019Q1,twse,4676178,1698414,6374592,1753347,54553,1807900,879603,41515,562964,3092563,-9953,4566692,,,,4566692,,0,2868300,53.67
1236,宏亞,2019Q1,twse,626094,2038804,2664898,305490,542841,848331,1083425,33759,453865,245518,0,1816567,,,0,1816567,0,0,0,16.77
1256,鮮活果汁-KY,2019Q1,twse,1244723,1520211,2764934,681543,170381,851924,307656,425602,1172386,-26368,,1879276,,,33734,1913010,,0,0,61.08
1301,台塑,2019Q1,twse,186217277,328214962,514432239,63023333,77524003,140547336,63657408,11712889,206515261,91999345,0,373884903,0,,0,373884903,,0,0,58.73
1303,南亞,2019Q1,twse,206080935,370528161,576609096,75330067,101195302,176525369,79308216,26694747,225839178,57011085,,388853226,,,11230501,400083727,0,0,0,49.03
1304,台聚,2019Q1,twse,31673151,39651557,71324708,15198194,18618917,33817111,11887635,253825,7060797,-7835,-475606,18718816,,,18788781,37507597,,0,116465574,17.46
1305,華夏,2019Q1,twse,6094179,7149003,13243182,2063979,2177192,4241171,5067596,8931,3435601,46975,,8559103,,,442908,9002011,,0,0,16.89
1307,三芳,2019Q1,twse,7960833,6784581,14745414,3613360,2758740,6372100,3978181,141101,4231420,22612,,8373314,,,,8373314,,0,0,21.05
1308,亞聚,2019Q1,twse,5515772,11100496,16616268,2685495,4057379,6742874,5543827,19631,4236245,73691,0,9873394,0,,,9873394,,0,0,17.81
