stock_id,name,period,market,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益合計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
2855,統一證,2018Q2,twse,79035548,5345138,84380686,58870368,49114,58919482,13904281,142702,10804283,547579,,25398845,,,62359,25461204,0,0,0,18.27
6005,群益證,2018Q2,twse,118524196,15369386,133893582,95164294,3567899,98732193,23209081,2852299,6251871,728023,0,33041274,,,2120115,35161389,0,0,0,15.23
6024,群益期,2018Q2,twse,35162530,485561,35648091,30826097,16728,30842825,1764376,1047338,2001653,-36348,,4777019,,,28247,4805266,,0,0,29.78
