stock_id,name,period,market,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,權益合計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
5864,致和證,2015Q2,tpex,2611028,1599247,4210275,1399201,22784,1421985,2122835,123904,694691,-153140,,,,,2788290,,0,0,13.13
6015,宏遠證,2015Q2,tpex,12649557,769129,13418686,8608268,24521,8632789,4268388,36988,545423,-64902,0,4785897,,,4785897,0,0,0,11.21
6016,康和證,2015Q2,tpex,33568053,3121127,36689180,28565765,236852,28802617,6883368,17761,1144831,-30402,-170856,7844702,,,7886563,0,0,20000000,11.74
6020,大展證,2015Q2,tpex,4125172,730201,4855373,1209161,31236,1240397,2523532,461,1070390,0,,3594383,,,3614976,0,0,0,14.24
6021,美好證,2015Q2,tpex,8155033,1120164,9275197,4726817,55041,4781858,3067559,12157,1508114,-94491,,4493339,,,4493339,0,0,0,14.65
6023,元大期貨,2015Q2,tpex,43432430,1957006,45389436,39070715,39703,39110418,2322763,940976,2251645,763634,,6279018,,,6279018,0,0,0,27.03
6026,福邦證,2015Q2,tpex,5837016,404591,6241607,3685996,,3685996,2300000,6057,249554,0,0,2555611,,,2555611,0,0,0,11.11
