stock_id,name,period,market,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2880,華南金,2018Q3,twse,64277136,168643731,94545596,0,186771333,433287009,0,299836,48502971,409991,,,1583839403,4185585,0,109436,,23812457,10328732,32389300,664539,3289360,2775977,2658132392,118084831,,5457407,0,45444598,17999339,67869425,1356632,,2113067600,63588378,2634000,,20103819,11527826,6111636,12330757,2485576248,115436133,17758986,34825079,4533849,,,172554047,2097,172556144,,0,0,14.95
2881,富邦金,2018Q3,twse,200132196,208339448,936736428,0,844835585,2543132071,5599868,60129140,181293960,3923016,47994,,1816012128,20768267,0,27648777,,366642133,180390982,57100347,30358393,15655238,68763095,7567509066,166099251,0,55817475,4587599,183657747,15195976,115316517,7538786,,2230718341,199751531,3266653,,3644766164,363381626,11277883,42100604,7043476153,115002640,137017337,284563835,-21357082,,,515226730,8806183,524032913,0,0,0,44.80
2882,國泰金,2018Q3,twse,235551443,121969884,1407933384,0,1188757135,2562779822,201416,112158805,165043950,553645,,,2160435755,7636451,0,43808732,,593921487,318486129,166585258,54197166,35796844,72684215,9248501521,87171203,145383363,,,65194295,65278538,61232574,3622988,,2166629228,90600000,97094,,5238698227,664763312,30341095,17818691,8636830608,140965102,165456178,292101394,3988029,,,602510703,9160210,611670913,,0,0,42.74
2883,凱基金,2018Q3,twse,79453756,28751357,404112763,0,452106316,928420327,,81771111,120915130,1188635,,,367111274,657758,0,16447749,47154049,100177432,25414276,31389611,21316714,10278821,52369224,2769036303,29102549,,99396723,,154258594,19159877,100269063,937065,,425823939,24800000,23000159,,1499351986,118193975,7153974,26704087,2528151991,149604172,1526089,22776305,-4677253,-3854221,,165375092,75509220,240884312,,3122273,478215700,11.42
2884,玉山金,2018Q3,twse,49311001,70550271,437030743,0,163676612,7287316,,,95447325,12099,,,1296534291,,0,,,9571511,1947770,29264966,5955081,1061133,6893475,2174543594,70901501,,50311680,,8886412,4635751,32964275,1303342,,1785027619,45550000,366942,,885263,12992962,1439224,2483248,2017748219,108289000,24710706,23088279,594878,,,156682863,112512,156795375,,0,0,14.47
2885,元大金,2018Q3,twse,63136113,45523252,483335285,0,230307755,340936528,,33591895,172007351,944847,0,,746769980,472508,0,1924344,2632900,52333615,5006338,22498100,35258908,6110090,43802077,2286591886,32896705,,100204215,,204555301,47181939,162936887,4719017,,1016313366,69633128,73192218,0,218033810,75369654,4092856,42840249,2051969345,116862325,37132133,58327754,4767648,-197606,,216892254,17730287,234622541,,0,15621000,18.58
2886,兆豐金,2018Q3,twse,125604829,485187475,197512410,0,428160614,239029804,,6314724,100694185,734923,,,1851726933,4145845,0,3146978,,3764257,1832571,21884318,477582,7175793,5403475,3482796716,346651652,50992579,25293916,,266274193,23419762,84290007,9439385,,2290665725,21200000,2556944,,26799967,15737204,2488721,6808311,3172618366,135998240,68194233,98138875,7815857,0,,310147205,31145,310178350,,0,0,22.81
2887,台新新光金,2018Q3,twse,20670302,49337127,139200220,0,312916267,7600,,4671584,149178438,368449,,,1027939819,,0,39649089,,10404550,901932,18894896,2256652,3080422,14947333,1794424680,59079194,,36787707,,98297457,20070413,35780156,1885126,,1247556107,63500000,11878587,,1656343,55669395,60447,4027298,1636248230,111528173,25827959,20545231,141596,,,158042959,133491,158176450,,3925000,0,14.17
2889,國票金,2018Q3,twse,3313163,138959,124993545,0,110830414,,,1194616,24271866,224391,,,,,,1680347,,5224078,,1833740,219632,163680,1075351,275163782,,36525046,372929,,172765737,13857055,11355669,300155,,,,,,1505959,2239138,37177,654451,239613316,28198659,122240,3146042,570374,-158123,,31879192,3671274,35550466,0,0,20000000,11.39
2890,永豐金,2018Q3,twse,23424889,85361078,95132162,0,219309639,83294697,,30359802,82447390,340481,,,904572141,,0,440179,,40254468,2584288,12581043,2280524,2350669,23810210,1608543660,53616720,,25845215,,48865389,38179580,49625745,1007898,,1157230209,38881690,10384691,18437,3234757,31062262,1516767,8300291,1467769651,112710541,2228771,25907554,-76254,,,140770612,3397,140774009,,0,0,12.49
