stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,保險合約資產,再保險合約資產,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,保險合約負債,再保險合約負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2026Q2,twse,36889443,228350416,121284614,327368381,538333926,,,31734300,151838,,,2203823661,,,207,,,21918841,2159994,14227217,916389,5356461,2794590,3535310278,381401736,,2052178,,31665659,47338215,1569253,,2777473509,42775059,,,1924598,2486388,,,2036696,10826270,4060639,3305610200,120601974,,24,86532994,22565086,0,229700078,,,,229700078,,0,0,19.52
2812,台中銀,2026Q2,twse,16298159,48199614,44096381,105049005,89983223,,14420103,26957857,409,,,649885160,214598,344326,6853,,,21367849,937278,537603,509701,654959,3435064,1022898142,11133710,12291797,2683581,,15612234,13830654,704549,,838334263,15150000,,,13301849,1390475,,,968960,109486,1333986,926845544,64250747,,2467906,27388159,1945786,0,96052598,,,0,96052598,0,0,0,15.95
2820,華票,2026Q2,twse,346988,,160980938,98232851,2893548,,7758521,1579317,105344,,,,,,166111,,,155967,23339,,,170792,614645,273028361,34710998,,36924,,206346275,1954579,156682,,,,,,,1693820,,,23593,53774,178552,245155197,13429600,,18554,13438653,986357,,,,,,27873164,,0,0,20.76
2834,臺企銀,2026Q2,twse,31417678,154092764,109004098,226714245,252353714,,26221594,15355264,22997,,,1730949721,,,5491,,,13597672,1016584,,1440783,1759272,11997474,2575949351,246261427,1686110,9694851,,4472859,22183001,854804,,2071699808,53910000,,,2182378,2475923,,,1051823,996166,3939163,2421408313,103983261,,816129,42235215,7506433,,154541038,,,,154541038,0,0,0,15.90
2836,高雄銀,2026Q2,twse,2957201,15870797,4073190,32648801,56099389,,9723543,1700822,,,,223061149,,,247732,,,3710462,254436,,139752,130733,627765,351245772,17607386,0,17148,,13359984,4349941,118935,,279850116,6827000,,,,544752,,,253925,48752,298835,323276774,18983162,,1344139,5210002,2431695,,,,,,27968998,,0,0,14.88
2838,聯邦銀,2026Q2,twse,8234962,41429970,68740939,67589677,76368476,,46954432,54028440,15746,,,654111314,402039,,4502440,,,17145011,2326587,4383357,2135798,829449,6488669,1055687306,12407313,4010023,404736,,68943940,14694943,562814,,834920201,6000000,780141,375000,16487333,533654,,,2339965,2626814,1278425,966365302,48145019,,8236992,21822635,9076585,,87281231,,,2040773,89322004,,0,0,19.22
2845,遠東銀,2026Q2,twse,5069668,69783760,60777832,57646050,142079266,,1037445,24444960,,,,517272505,2931980,,9994881,,,5184632,1679089,,1538210,220119,599931,900260328,2085770,2957346,6746984,,0,10011483,281598,,737644380,25301720,,,40778266,591872,,,1700559,,418162,828518140,49234249,,830560,19055821,2621558,,71742188,,,,71742188,,0,0,14.75
2849,安泰銀,2026Q2,twse,2544354,18415086,27746317,50403790,35537760,,50773,4493513,,,,262550060,,,146722,,,769203,795527,,312104,601008,1718550,406084767,5976269,,1183736,,0,3506076,43354,,352522785,,,,5530395,213650,,,791646,69989,128966,369966866,19576094,,406714,16291770,-156677,0,,,,,36117901,0,0,0,18.45
2897,王道銀行,2026Q2,twse,7929187,31123057,189961302,165051116,34258146,,21194916,5582472,148351,,,268530665,6456919,,1470306,,,2576655,324636,,1778525,779188,1597374,738762815,61622474,,770561,,223265084,8227241,237342,,342198371,14660000,,,17706790,2305226,,,343676,1024067,509182,672870014,30553579,,581102,14178860,148168,-221695,45240014,,,20652787,65892801,,22939000,0,14.92
5876,上海商銀,2026Q2,twse,35379209,366383641,9062097,596522306,173990206,,31823208,29384586,1098219,0,,1219443667,1728655,,15371,,,23571539,2362306,4832885,3924676,5947042,11128206,2516597819,64467150,,5960871,,10767121,54429541,1502653,,1989308133,65434615,,,18745834,3075173,,,2349000,9498409,4730693,2230269193,49102191,,27380949,119017411,18693213,-83144,214110620,,,72218006,286328626,0,11397439,0,44.14
