stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1240,茂生農經,2018Q2,tpex,907783,701817,1609600,575850,28369,604219,300580,13794,243169,447838,,,,,,1005381,,0,0,33.45
1259,安心,2018Q2,tpex,2383409,625206,3008615,1255596,26461,1282057,323895,809816,587699,-20756,-10123,1690531,,,36027,1726558,0,0,117000,52.38
1264,德麥,2018Q2,tpex,2380167,883727,3263894,714454,64122,778576,336960,706936,1033747,-24457,,2053186,,,432132,2485318,0,0,0,60.93
1268,漢來美食,2018Q2,tpex,2045591,1156653,3202244,1342227,78958,1421185,392737,1005854,335843,46625,,1781059,,,,1781059,,0,0,46.71
1336,台翰,2018Q2,tpex,1124810,1298023,2422833,797658,30834,828492,831934,754949,67144,-59686,,1594341,,,,1594341,,0,0,19.16
1565,精華,2018Q2,tpex,5085674,4252538,9338212,3415469,957654,4373123,504165,526000,3934014,910,,4965089,,,,4965089,0,0,0,98.48
1569,濱川,2018Q2,tpex,3086601,3071642,6158243,2481938,923184,3405122,1127133,1039658,545372,-65335,,2646828,,,106293,2753121,0,0,0,23.48
1570,力肯,2018Q2,tpex,657499,243184,900683,208220,6522,214742,515008,0,172871,-1938,,685941,,,0,685941,0,0,0,13.32
1580,新麥,2018Q2,tpex,2321950,915849,3237799,1226844,152096,1378940,502302,74943,1292817,-68039,,1802023,,,56836,1858859,,0,0,37.13
1584,精剛,2018Q2,tpex,774561,1440266,2214827,711194,554056,1265250,824705,286822,-85995,-117861,,907671,,,41906,949577,,0,0,11.01
1586,和勤,2018Q2,tpex,2015484,1150186,3165670,1603462,134309,1737771,764888,512309,321705,-56548,-114455,1427899,,,,1427899,,0,3000000,19.63
1591,駿吉-KY,2018Q2,tpex,296839,366967,663806,218203,47304,265507,331648,22159,157996,-113504,,398299,,,0,398299,0,0,0,12.01
1593,祺驊,2018Q2,tpex,743212,318997,1062209,258336,7260,265596,319484,285787,223722,-38298,0,790695,,,5918,796613,0,0,0,24.75
1595,川寶,2018Q2,tpex,2652283,1148617,3800900,1090985,383265,1474250,471481,545756,1315348,-5935,,2326650,,,,2326650,,0,0,49.35
1599,宏佳騰,2018Q2,tpex,1460456,806620,2267076,888416,30251,918667,620025,487161,357899,-32096,-84580,1348409,,,,1348409,0,0,1985000,22.47
1742,台蠟,2018Q2,tpex,508129,428152,936281,281712,51757,333469,550500,23080,34285,6381,-11434,602812,,,,602812,0,0,598000,11.07
1777,生泰,2018Q2,tpex,1032573,712639,1745212,672251,42737,714988,300595,314322,417512,-2205,,,,,,1030224,0,0,0,34.27
1780,立弘,2018Q2,tpex,1084587,674864,1759451,446798,226331,673129,946000,,140446,-124,,1086322,,,,1086322,0,0,0,11.48
1781,合世,2018Q2,tpex,451939,246450,698389,324280,1662,325942,474076,0,-96443,-5186,,372447,,,,372447,,0,0,7.86
1784,訊聯,2018Q2,tpex,852937,987508,1840445,178459,276148,454607,496889,614324,31764,-6185,-3184,1133608,,,252230,1385838,0,0,114000,22.87
1785,光洋科,2018Q2,tpex,10828075,8632839,19460914,5953354,8388289,14341643,3985012,613432,457247,-69450,-39320,4946921,,,172350,5119271,0,0,1579146,12.46
1788,杏昌,2018Q2,tpex,1979401,664172,2643573,1099606,14457,1114063,350000,658219,524217,-2926,,1529510,,,0,1529510,0,0,0,43.70
1796,金穎生技,2018Q2,tpex,293339,272072,565411,123964,43544,167508,274404,97678,27114,-1293,,397903,,,,397903,0,0,0,14.50
1799,易威,2018Q2,tpex,397789,807679,1205468,100850,129056,229906,988427,12088,-167037,5956,,839434,,,136128,975562,0,0,0,8.49
