stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1240,茂生農經,2019Q4,tpex,958385,748914,1707299,575491,105845,681336,339900,134278,405423,132915,,1012516,,,13447,1025963,,0,0,29.79
1259,安心,2019Q4,tpex,2372633,2197810,4570443,1515894,1191679,2707573,323895,809816,710470,-7377,-10123,1826681,,,36189,1862870,0,0,117000,56.60
1264,德麥,2019Q4,tpex,2486083,1038395,3524478,546309,81648,627957,336960,706962,1370234,-52690,,2361466,,,535055,2896521,0,0,0,70.08
1268,漢來美食,2019Q4,tpex,1963423,2151486,4114909,1388034,1176753,2564787,376527,797916,346327,95162,-65810,1550122,,,,1550122,,0,500000,41.72
1336,台翰,2019Q4,tpex,987411,1365377,2352788,668866,10442,679308,851484,747838,149582,-74924,-500,1673480,,,,1673480,,0,50000,19.67
1565,精華,2019Q4,tpex,3992640,4423929,8416569,1712084,941087,2653171,504165,526000,4734719,-1486,,5763398,,,,5763398,0,0,0,114.32
1569,濱川,2019Q4,tpex,3573648,3173446,6747094,2826344,1189842,4016186,1134437,1061618,655943,-219821,,2632177,,,98731,2730908,,730422,0,23.20
1570,力肯,2019Q4,tpex,680766,234719,915485,138898,10108,149006,515008,,254665,-3194,,766479,,,0,766479,0,0,0,14.88
1580,新麥,2019Q4,tpex,2022326,1279121,3301447,871996,194073,1066069,502302,75738,1759646,-160753,,2176933,,,58445,2235378,0,0,0,43.34
1584,精剛,2019Q4,tpex,714452,1347665,2062117,506610,736643,1243253,824705,286822,-174431,-119254,,817842,,,1022,818864,,0,0,9.92
1586,和勤,2019Q4,tpex,1789472,1861279,3650751,1552122,726358,2278480,801512,512998,309916,-131613,-120542,1372271,,,,1372271,,0,3242000,17.84
1591,駿吉-KY,2019Q4,tpex,234101,386332,620433,199775,27111,226886,331648,22159,167118,-127378,,393547,,,0,393547,0,0,0,11.87
1593,祺驊,2019Q4,tpex,698418,354969,1053387,170401,6514,176915,319484,285787,296993,-33069,0,869195,,,7277,876472,0,0,0,27.21
1595,川寶,2019Q4,tpex,2612508,1126244,3738752,1056829,287302,1344131,471481,545756,1398318,-10454,-10480,2394621,0,,0,2394621,,0,222000,51.03
1599,宏佳騰,2019Q4,tpex,1021007,1020791,2041798,383506,40618,424124,738118,487161,529533,-15888,-121250,1617674,,,,1617674,0,0,2956000,22.83
1742,台蠟,2019Q4,tpex,1028236,468059,1496295,509692,95028,604720,715500,107236,62242,6597,0,891575,,,0,891575,0,0,0,12.46
1777,生泰,2019Q4,tpex,1089089,771925,1861014,614983,85908,700891,300595,314353,547910,-2735,,,,,,1160123,0,0,0,38.59
1780,立弘,2019Q4,tpex,1290858,656370,1947228,632771,158291,791062,948898,2260,206098,-1090,,1156166,,,,1156166,0,0,0,12.18
1781,合世,2019Q4,tpex,296597,273713,570310,253031,51310,304341,474076,,-187258,-20849,,265969,,,,265969,0,0,0,5.61
1784,訊聯,2019Q4,tpex,786323,974805,1761128,199275,254599,453874,496269,614102,23556,-6250,-59832,1067845,,,239409,1307254,0,0,2144000,22.49
