stock_id,name,period,market,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益合計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
2855,統一證,2018Q1,twse,80913134,5426972,86340106,60197053,62357,60259410,13904281,142702,11539183,429418,,26015584,,,65112,26080696,0,0,0,18.71
6005,群益證,2018Q1,twse,125623924,15671641,141295565,104522807,1595961,106118768,21690730,2852299,7608983,801101,0,32953113,,,2223684,35176797,0,0,0,15.19
6024,群益期,2018Q1,twse,33481397,495878,33977275,28917917,15551,28933468,1603979,1207735,2285319,-79875,,5017158,,,26649,5043807,0,0,0,31.28
