stock_id,name,period,market,現金及約當現金,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,遞延所得稅資產,其他資產,分離帳戶保險商品資產,資產總計,短期債務,應付款項,本期所得稅負債,與待出售資產直接相關之負債,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,應付債券,特別股負債,其他金融負債,租賃負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,負債準備,遞延所得稅負債,其他負債,分離帳戶保險商品負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2816,旺旺保,2021Q4,twse,3648227,680984,0,,,8639744,3860017,1262061,18127,120574,,791203,,19020937,,1237685,102936,,,,,,,18257,10958474,,,179077,63920,18815,,12579164,2236080,,0,4126209,79484,,,,,,6441773,,0,0,28.81
2832,台產,2021Q4,twse,4178338,668801,,,,12433810,2060351,468963,42588,12073,42781,735270,,20642975,,902607,31147,,,,,,,61741,9047868,,,83267,264150,70904,,10461684,3622004,,98962,5889609,570716,,,,,,10181291,,0,0,28.11
2850,新產,2021Q4,twse,11766660,1945038,0,,,19561027,8246645,1308644,34393,27455,262673,732945,,43885480,,2894222,275164,,0,,,,,34924,25067097,,,119280,34389,203172,,28628248,3159633,,64800,10337062,1695737,0,,,,,15257232,0,0,0,48.29
2851,中再保,2021Q4,twse,17285837,282894,,,,22218077,7373316,268554,1337,7248,234160,1793526,,49464949,,757107,276454,,771,,,,,1346,31700204,,,0,60590,116066,,32912538,5903888,,300000,7933739,2414784,,,,,,16552411,0,0,0,28.04
2852,第一保,2021Q4,twse,1665303,359391,,,,11361974,2105816,668397,4659,42894,43987,608638,,16861059,,635763,51259,,,,,,,4726,8575768,,,121210,92934,107981,,9589641,3011638,,0,4086725,173055,,,,,,7271418,,0,0,24.14
