stock_id,name,period,market,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2880,華南金,2025Q3,twse,35963073,256122266,198125910,395322911,813007171,,1449002,93194683,275082,,,2371983742,6423288,271924,,16188921,14065164,33620580,2032683,958842,3745468,5676267,4248426977,241970386,,9265868,,76896316,50007184,74831491,2030539,,3362081185,71390970,2818000,,25639884,86492388,2099929,6122891,8905204,4020552235,139169651,17766839,72995584,-2059788,,,227872286,2456,227874742,,0,0,16.37
2881,富邦金,2025Q3,twse,405376543,471722962,1845605308,935124221,3686940187,8764726,103767497,438020471,3082515,4108409,,3313839962,43400353,61714664,,561082317,309285280,75965819,14268359,33608251,35758829,50618557,12402055230,231023768,969461,98351969,17771124,65477624,59343136,284985681,16758712,187925,4627155025,453090681,14390732,,4821976522,595215243,21706734,37915523,98099173,11444419033,156073549,155002666,674760724,-42481080,,,943355859,14280338,957636197,,0,0,61.80
2882,國泰金,2025Q3,twse,409810280,499072580,2145780428,1164613302,4701320453,2795544,26555215,329403264,1835477,,,3217617187,21972042,62357643,,816614548,496264932,109919860,4994027,31966726,98147734,101614862,14242656104,156809440,,135969323,524846,14001893,78690097,155537631,45639703,,4266274757,279696964,67479217,,7164534999,871415210,19743794,45276018,33166006,13334759898,162025102,203119191,605471536,-78540366,0,0,892075463,15820743,907896206,,0,0,55.06
2883,凱基金,2025Q3,twse,63288142,50122907,664146493,244576770,1633612957,201104,82626417,205463840,907039,,,548133692,1149983,28755186,,200688819,55915173,30386792,12936245,16567379,10980049,109049141,3959508128,17721999,,82845731,833198,162485872,54637169,155872059,4658683,,614308478,111211373,20546739,,2062489868,252073986,5414664,12731656,90248930,3648080405,185569913,33753512,113001367,-21026107,,,311298685,129038,311427723,184320,0,0,16.78
2884,玉山金,2025Q3,twse,51991026,312013556,262873489,371500191,484787477,14285,27950250,177201061,542033,0,,2522688179,,,,10356397,1260103,34139835,8071237,7744983,3451207,24099998,4300685307,96612319,,77592883,1759220,23512223,31827490,64679728,2823792,,3562937722,40110000,313893,,1156419,123070746,5441107,2524580,5740011,4040102133,161740000,35432297,58364348,4659694,,,260196339,386835,260583174,,0,0,16.09
2885,元大金,2025Q3,twse,83420570,140850828,700918582,349738032,561468430,,60277774,416806115,2685897,0,,1410665103,1366617,2491451,6288605,157892229,17805488,30017581,10084761,30490913,5824385,104097292,4093190653,9614123,,203020765,,243800537,118711137,285222139,5105969,,1883423158,119602590,72023964,,393813627,191875539,6155021,4790758,204441286,3741600613,133311499,38337636,141648927,15776028,,,329074090,22515950,351590040,0,0,0,24.68
2886,兆豐金,2025Q3,twse,121732868,684618885,261816980,567804784,613036479,,3784373,111328809,1276204,0,,2363847837,15255226,5105246,,8382087,1687629,23018299,2008160,1471941,6388806,12828477,4805393090,632581203,2224899,27331404,,320106397,48875885,118291253,7078400,,3142439169,45200000,5541124,,30892548,26460990,2080619,2415319,11157934,4422677144,148333783,76835990,142960311,14585862,0,0,382715946,0,382715946,,0,0,25.80
2887,台新新光金,2025Q3,twse,84042770,204306734,738154499,492944723,2636710052,,43911971,300394430,,5657800,,2901547544,2531559,3343161,,158503981,246651230,78642308,5808663,670060232,55350717,52123958,8680686332,46547100,,83925135,,127462306,73615587,118800474,6523000,,3609926017,143152917,7252503,28434114,3611638952,294699282,12805790,18771849,26748584,8210303610,262610672,136480391,48514793,22412891,-89298,,469929449,453273,470382722,,0,1927518,17.90
2889,國票金,2025Q3,twse,4725820,2,185426524,148815253,699406,,289133,51366607,73205,,,,,5535677,,17790620,394145,6957042,151660,269009,334011,7335579,430163693,,28918677,3848775,,271203210,28224604,22883635,562842,,,,,,1774911,13527263,149879,56078,6865092,378014966,36335635,403368,5061009,2885968,0,,44685980,7462747,52148727,0,0,0,12.30
2890,永豐金,2025Q3,twse,34669377,245497575,135988307,402073811,310254143,,83540325,161761844,386326,,,1702488303,,1044629,,86960045,2107798,13708228,4417964,8236177,3497400,33169909,3229802161,82207352,,75451222,,58164932,92225189,88271892,2765748,,2407348145,62842156,9636820,18437,2742508,106573481,4009841,1665790,17126498,3011050011,131171698,6131053,83738486,-4261120,,,216780117,1972033,218752150,,0,0,16.53
