stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
8450,霹靂,2023Q1,tpex,891522,848127,1739649,336062,430951,767013,513099,,948135,-337174,-154464,,969596,,,3040,972636,0,0,0,18.90
8455,大拓-KY,2023Q1,tpex,929979,658319,1588298,647729,276118,923847,252191,,28404,329482,-55081,,554996,,,109455,664451,,0,0,22.01
8472,納維康,2023Q1,tpex,365613,773744,1139357,552069,176163,728232,177358,,264174,-30407,,,411125,0,,,411125,,0,0,23.18
8477,創業家,2023Q1,tpex,426974,96055,523029,212801,18170,230971,315928,,110577,-134447,,,292058,,,,292058,,0,0,9.24
8489,三貝德,2023Q1,tpex,897005,800433,1697438,609739,243206,852945,377525,,348273,53940,-2628,-294790,482320,,,362173,844493,,0,1391000,13.26
8905,裕國,2023Q1,tpex,2053656,1463384,3517040,573621,216590,790211,1194400,,181735,1375641,11597,-36820,2726553,,,276,2726829,,0,4123000,23.64
8906,花王,2023Q1,tpex,100155,1137177,1237332,90285,802098,892383,340374,,57577,-9364,10201,-53839,,,,,344949,0,0,1877203,10.73
8908,欣雄,2023Q1,tpex,2916999,5494803,8411802,3292517,1636793,4929310,2577006,,3038,871314,31134,,3482492,,,,3482492,,0,0,13.51
8916,光隆,2023Q1,tpex,5230275,3522016,8752291,3035373,575009,3610382,1506918,,2226160,1447004,-40053,,5140029,,,1880,5141909,,0,0,34.11
8917,欣泰,2023Q1,tpex,2556957,3039975,5596932,1118396,1716966,2835362,1626524,,,1078737,56309,,2761570,,,,2761570,,0,0,16.98
8921,沈氏,2023Q1,tpex,371744,804286,1176030,183990,54955,238945,465922,,252343,114267,88410,,920942,,,16143,937085,0,0,0,19.77
8923,時報,2023Q1,tpex,552921,293863,846784,340330,51749,392079,303758,,12800,147580,-9433,0,454705,0,,0,454705,0,0,0,14.97
8924,大田,2023Q1,tpex,5264985,962032,6227017,2409186,264112,2673298,838000,,101239,2558673,55807,,3553719,,,,3553719,,0,0,42.41
8927,北基,2023Q1,tpex,3556543,13471257,17027800,3252555,6959398,10211953,2870978,,1667807,320623,-1737,,4857671,,,1958176,6815847,0,0,0,16.92
8928,鉅明,2023Q1,tpex,1818626,1556593,3375219,1732175,566149,2298324,508540,,0,593178,-24823,0,1076895,0,,0,1076895,0,0,0,21.18
8929,富堡,2023Q1,tpex,795715,375546,1171261,259519,97109,356628,505809,,216198,45086,14136,,781229,,,33404,814633,0,0,0,15.45
8930,青鋼,2023Q1,tpex,928721,1287021,2215742,334665,583430,918095,818094,,132386,347167,0,0,,,,,1297647,,0,0,15.86
8931,大汽電,2023Q1,tpex,1006664,3309385,4316049,639893,1395907,2035800,1222549,,,1019996,37704,,,,,,2280249,,0,0,18.65
8932,智通*,2023Q1,tpex,765876,882252,1648128,705067,137964,843031,666101,,156355,31522,-50332,,803646,,,1451,805097,,0,0,12.06
8933,愛地雅,2023Q1,tpex,4789873,1546659,6336532,3225082,749526,3974608,3017243,,132317,-354996,-432640,,2361924,,,,2361924,,0,0,7.83
8935,邦泰,2023Q1,tpex,830906,943039,1773945,622393,255684,878077,909660,,0,23351,-37143,,895868,,,,895868,,6666000,0,9.85
8936,國統,2023Q1,tpex,4639854,6692118,11331972,1677201,2467775,4144976,2480782,,1470181,1786279,-202424,,5534818,,,1652178,7186996,,0,0,22.31
8937,合騏*,2023Q1,tpex,774599,640494,1415093,374403,289717,664120,724788,,5773,-4184,-5812,,720565,,,30408,750973,,0,0,9.94
8938,明安,2023Q1,tpex,10487020,5054216,15541236,6518057,1997239,8515296,1402003,,1215019,3986870,-99871,-200920,6303101,,,722839,7025940,0,0,2629000,45.82
8941,關中,2023Q1,tpex,1996855,882764,2879619,1656872,297693,1954565,304105,,58692,330525,149257,,842579,,,82475,925054,,0,0,27.71
8942,森鉅,2023Q1,tpex,8186336,8582268,16768604,6147537,1425868,7573405,1658401,,2409199,4180688,-58332,,8189956,,,1005243,9195199,,0,0,49.38
9949,琉園,2023Q1,tpex,266701,187805,454506,39409,19986,59395,440334,,17820,-43948,-19095,,395111,,,0,395111,,0,0,8.97
9950,萬國通,2023Q1,tpex,1325575,3036895,4362470,1899382,2115103,4014485,1677160,,23999,-1366441,-12206,,322512,,,25473,347985,,0,0,1.92
9951,皇田,2023Q1,tpex,3654076,1829255,5483331,1953084,264471,2217555,749000,,3082,2555720,-42026,,3265776,,,,3265776,0,0,0,43.60
9960,邁達康,2023Q1,tpex,892007,439255,1331262,547813,157412,705225,335925,,35138,283010,-28036,,626037,,,,626037,0,0,0,18.64
9962,有益,2023Q1,tpex,1122883,306430,1429313,334619,9693,344312,902203,,8385,175212,-799,,1085001,,,0,1085001,0,0,0,12.03
