stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1315,達新,2016Q3,twse,4281821,5150483,9432304,1464871,994211,2459082,1980000,78348,3689699,1327430,-118879,6956598,0,,16624,6973222,0,0,7137000,36.45
1316,上曜,2016Q3,twse,3225193,697919,3923112,1516559,639751,2156310,1699079,93560,-650225,-2578,-23399,1116437,0,,650365,1766802,0,0,9269000,6.95
1319,東陽,2016Q3,twse,9632825,25698833,35331658,7998741,7810489,15809230,5914771,4149257,8581503,-86727,,18558804,,,963624,19522428,,0,0,31.38
1321,大洋,2016Q3,twse,1499309,9413073,10912382,1136313,4791684,5927997,2272283,7792,2781551,-41052,-36189,4984385,,,,4984385,0,0,6542716,22.59
1323,永裕,2016Q3,twse,2191650,1524824,3716474,526770,1232345,1759115,912745,56424,786267,-31307,-2813,1721316,,,236043,1957359,0,0,391086,18.94
1324,地球,2016Q3,twse,914240,400188,1314428,259153,63589,322742,751219,0,242475,-2008,0,991686,,,0,991686,0,0,0,13.20
1325,恆大,2016Q3,twse,1124847,919437,2044284,51883,65741,117624,1003308,3318,843883,-6959,,1843550,,,83110,1926660,0,0,0,18.37
1326,台化,2016Q3,twse,212913462,296537763,509451225,72137131,90420484,162557615,58611863,8826543,152831387,73332887,-360572,293242108,,,53651502,346893610,0,0,18535610,50.19
1337,再生-KY,2016Q3,twse,4123913,6930513,11054426,1010277,66728,1077005,2653681,2955669,4366496,1575,,9977421,,,,9977421,,0,0,38.44
1338,廣華-KY,2016Q3,twse,5302267,3547623,8849890,2144760,381767,2526527,838400,2787090,2561206,-110744,0,6075952,,,247411,6323363,0,0,0,72.47
1339,昭輝,2016Q3,twse,1775447,4167007,5942454,1458141,1367087,2825228,741389,1166414,976728,-9386,0,2875145,,,242081,3117226,,0,0,38.78
1340,勝悅-KY,2016Q3,twse,5537098,862116,6399214,532073,6793,538866,1148932,2540814,2333745,-163143,,5860348,,,,5860348,,0,0,51.01
1402,遠東新,2016Q3,twse,110953054,406233817,517186871,101881893,164930448,266812341,53528751,2856283,135468063,-1944827,-25063,189883207,,,60491323,250374530,,0,779000,35.48
1410,南染,2016Q3,twse,693636,809953,1503589,94391,176383,270774,720000,21784,456009,-17707,,1180086,,,52729,1232815,0,0,0,16.39
1413,宏洲,2016Q3,twse,814766,1481556,2296322,524643,972517,1497160,1321124,0,-521962,0,0,799162,,,0,799162,,0,0,6.05
1414,東和,2016Q3,twse,792258,3911793,4704051,888567,785932,1674499,2200000,0,959741,-130189,0,,,,,3029552,,0,0,13.77
1416,廣豐,2016Q3,twse,3532221,7113967,10646188,2555414,2931963,5487377,2059357,171680,2689586,219974,0,5140597,,,18214,5158811,0,0,0,24.96
1417,嘉裕,2016Q3,twse,3032137,2212316,5244453,1154150,132719,1286869,3798837,,-201356,360103,,3957584,,,,3957584,,0,0,10.42
1418,東華,2016Q3,twse,423323,1315364,1738687,1022576,339122,1361698,1319276,8005,-776381,-75271,-98717,376912,,,77,376989,0,0,8733000,3.06
1419,新紡,2016Q3,twse,2109233,9639163,11748396,3573785,856827,4430612,3000413,1889,1914016,2357709,-13174,7260853,0,,56931,7317784,0,0,803829,24.26
1423,利華,2016Q3,twse,1403373,1393647,2797020,21432,201690,223122,1730000,122705,405542,315651,0,,,,,2573898,,0,0,14.88
1432,大魯閣,2016Q3,twse,1118507,6129468,7247975,1918085,2700655,4618740,1714376,685396,-211068,46785,-70174,2165315,,,463920,2629235,0,0,3500000,12.89
1434,福懋,2016Q3,twse,22166265,62049983,84216248,9221028,12913218,22134246,16846646,22225,12803578,29074136,-21501,58725084,,,3356918,62082002,0,0,2473228,34.91
1435,中福,2016Q3,twse,402831,708144,1110975,6170,169674,175844,1397801,1302,-304681,0,-159275,935147,,,-16,935131,,0,14424000,7.46
1436,華友聯,2016Q3,twse,5969257,373171,6342428,3199794,867877,4067671,759000,245201,1270556,0,,2274757,,,,2274757,0,0,0,29.97
1437,勤益控,2016Q3,twse,1495188,7808567,9303755,2590598,1700561,4291159,1981899,323713,2602275,125213,-48708,4984392,,,28204,5012596,0,0,2303000,25.45
1438,三地開發,2016Q3,twse,580379,35839,616218,1655,68800,70455,1024115,81330,-559682,0,0,,,,,545763,,0,0,5.33
1439,雋揚,2016Q3,twse,1345985,755081,2101066,14768,149610,164378,920000,8686,1008002,0,0,,,,,1936688,0,0,0,21.05
1440,南紡,2016Q3,twse,7847203,32293019,40140222,7493911,7274494,14768405,16568159,75112,7617606,645603,,24906480,,,465337,25371817,0,0,0,15.03
1441,大東,2016Q3,twse,762788,2356506,3119294,1042755,1474359,2517114,897991,16841,-302896,-9756,0,602180,,,,602180,0,0,0,6.71
1442,名軒,2016Q3,twse,12370278,726109,13096387,4461033,3366701,7827734,2688355,912643,1663110,4545,,5268653,,,,5268653,,0,0,19.60
1443,立益物流,2016Q3,twse,1413295,2911448,4324743,2461655,1061612,3523267,1353430,701,-248574,-26694,-9056,1069807,,,-268331,801476,0,0,460610,7.93
1444,力麗,2016Q3,twse,8190821,11107703,19298524,7474893,473871,7948764,9573029,69500,925271,22136,-28470,10561466,,,788294,11349760,,0,10774028,11.16
1445,大宇,2016Q3,twse,1006089,1198150,2204239,139645,151430,291075,1386670,172064,319009,35421,0,1913164,,,0,1913164,0,0,0,13.80
1446,宏和,2016Q3,twse,3172892,676794,3849686,2048596,23499,2072095,1377095,268134,164563,-32201,0,1777591,,,0,1777591,0,0,0,12.91
1447,力鵬,2016Q3,twse,11560648,10609692,22170340,9484968,2505876,11990844,9144872,97224,1169349,-529915,-357738,9523792,,,655704,10179496,,0,82948106,11.45
1449,佳和,2016Q3,twse,2228462,3037020,5265482,2070760,2285720,4356480,1200000,44107,-966331,394623,-14290,658109,,,250893,909002,,0,317686,5.50
1451,年興,2016Q3,twse,7305615,5637026,12942641,1754002,1425718,3179720,4000000,410589,5466495,-180109,,9696975,,,65946,9762921,,0,0,24.24
1452,宏益,2016Q3,twse,1375533,1178054,2553587,139776,55680,195456,1326414,151915,864075,15727,,2358131,,,,2358131,0,0,0,17.78
1453,大將,2016Q3,twse,735370,430489,1165859,100970,54910,155880,896747,2762,99054,-1077,,997486,,,12493,1009979,,0,0,11.12
1454,台富,2016Q3,twse,1203410,992417,2195827,435140,91043,526183,1403098,70951,153397,119215,-77032,1669629,,,15,1669644,,0,7714103,12.59
1455,集盛,2016Q3,twse,4274670,6854687,11129357,3360399,321016,3681415,6117634,360356,970023,-71,,7447942,,,,7447942,,0,0,12.17
1456,怡華,2016Q3,twse,2911443,2010310,4921753,1836428,2030545,3866973,937200,18377,70999,28204,,1054780,,,,1054780,0,0,0,11.25
1457,宜進,2016Q3,twse,2315917,9226117,11542034,1794480,3313981,5108461,3351640,326769,379797,83465,-284322,3857349,,,2576224,6433573,0,0,72762089,14.70
1459,聯發,2016Q3,twse,3190936,3922741,7113677,2206784,1546906,3753690,3586289,251179,727986,-842988,-513573,3208893,,,151094,3359987,0,0,41144531,10.11
1460,宏遠,2016Q3,twse,5922076,3981838,9903914,3579783,1623387,5203170,4711891,89004,421607,-56092,-465679,4700731,,,13,4700744,,0,33706585,10.74
1463,強盛新,2016Q3,twse,2581725,1124916,3706641,1590272,98108,1688380,1732684,135105,192987,-18371,-124693,1917712,,,100549,2018261,0,0,11447523,11.85
1464,得力,2016Q3,twse,5286719,4111951,9398670,4338311,268761,4607072,2776816,862198,651286,-120505,-12681,4157114,,,634484,4791598,,0,1090005,15.03
1465,偉全,2016Q3,twse,1870133,733300,2603433,356384,38777,395161,1036073,353488,303925,21431,,1714917,,,493355,2208272,,0,0,16.55
1466,聚隆,2016Q3,twse,1533991,2041939,3575930,1337668,467029,1804697,1111573,451883,207777,0,0,1771233,0,,0,1771233,0,0,0,15.93
1467,南緯,2016Q3,twse,3952195,2795124,6747319,2735732,1403713,4139445,2102622,139960,425807,-474023,,2194366,,,413508,2607874,0,0,0,10.44
1468,昶和,2016Q3,twse,1217933,1195616,2413549,709126,562835,1271961,1604053,26753,-593751,61228,,1098283,,,43305,1141588,,0,0,6.85
1470,大統新創,2016Q3,twse,648529,389040,1037569,93087,9606,102693,857670,6918,95057,-24769,,,,,,934876,,0,0,10.90
1471,首利,2016Q3,twse,984202,1348392,2332594,423751,4761,428512,2014677,44292,-248992,94105,,1904082,,,,1904082,0,0,0,9.45
1472,三洋實業,2016Q3,twse,447056,528523,975579,540835,47613,588448,741500,0,-344572,-9706,-91,387131,,,0,387131,,0,3200,5.22
1473,台南,2016Q3,twse,4361010,2443654,6804664,1940090,671560,2611650,1471778,867528,1673574,28456,-24666,4016670,,,176344,4193014,0,28000,932000,27.47
1474,弘裕,2016Q3,twse,1876457,1373332,3249789,1253247,169198,1422445,1298970,5887,532989,-10502,,1827344,,,,1827344,0,0,0,14.07
1475,業旺,2016Q3,twse,246275,40981,287256,131148,5218,136366,525168,188125,-355498,869,,358664,,,-207774,150890,0,0,0,6.83
1476,儒鴻,2016Q3,twse,11861274,6781818,18643092,4685835,322688,5008523,2689874,3769437,7138719,36539,,13634569,,,0,13634569,0,0,0,50.69
1477,聚陽,2016Q3,twse,6156236,5608157,11764393,3113848,181286,3295134,2067152,3402318,2813481,53034,,8335985,0,,133274,8469259,0,0,0,40.33
1503,士電,2016Q3,twse,14186838,22055893,36242731,11014168,3420974,14435142,5209722,2584303,13529163,13755,,21336943,,,470646,21807589,,0,0,40.96
1504,東元,2016Q3,twse,44166476,47962685,92129161,18061656,18458818,36520474,20026929,7651388,20383033,2037735,-321563,49777522,,,5831165,55608687,0,0,22443022,25.14
1506,正道,2016Q3,twse,1409984,1213331,2623315,374892,918264,1293156,1222557,122866,-15326,-90604,,1239493,,,90666,1330159,,0,0,10.14
1512,瑞利,2016Q3,twse,2048179,2245624,4293803,1781035,1196105,2977140,1818025,,-488914,-89505,,1239606,,,77057,1316663,,0,0,6.82
1513,中興電,2016Q3,twse,8983024,5720094,14703118,5634560,1528385,7162945,4200000,399682,2667018,143924,-116880,7293744,,,246429,7540173,0,0,9038676,17.75
1514,亞力,2016Q3,twse,3191141,1839871,5031012,1961613,339769,2301382,2010670,61299,647074,-1609,-41616,2675818,,,53812,2729630,,0,2362712,13.47
1515,力山,2016Q3,twse,2944639,2601757,5546396,2665824,536310,3202134,1814735,433,494792,9857,,2319817,,,24445,2344262,0,0,0,12.78
