stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2022Q3,twse,37907240,230525855,65116503,223200689,379200488,0,,24079213,54104,,,1731390698,,,2866144,20961447,2020674,13847189,1094611,6477700,1346750,2740089305,114335086,0,14054490,,17703862,29837078,582290,,2304263665,51234182,,,967056,4578755,1863505,12088663,21902265,2573410897,105934566,,,63868920,-3125078,0,166678408,,,,166678408,,0,0,15.73
2812,台中銀,2022Q3,twse,18347428,41710159,37129257,46777548,110046674,,11351278,14261801,,,,504307425,167774,362388,315260,15537677,804622,580046,215946,723159,2880362,805518804,3253759,7980655,2078233,,901409,6768567,285065,,693692698,16500000,,,5842616,1335196,845297,109486,1098408,740691389,47654465,,1054006,16258641,-139697,0,64827415,,,0,64827415,0,0,0,13.60
2820,華票,2022Q3,twse,1120176,0,102980003,90403180,,,3320716,732631,212169,,,,,,120673,148018,31155,,,530673,569332,200168726,17777615,,254926,,155625982,548352,0,,,,,,2688806,1427140,31335,0,197906,178552062,13429600,,11734,11075390,-2900060,,,,,,21616664,,0,0,16.10
2834,臺企銀,2022Q3,twse,25661708,138736362,23069452,158464081,248550969,,1719290,8879696,349483,,,1377418983,1167,,24190,14163060,1183935,,758714,1783609,19074000,2019838699,135154891,1006420,10501243,,2474973,24611048,756634,,1679617647,52250000,,,3200414,3284232,1200883,879056,5398782,1920336223,80296934,,815900,23264117,-4874475,0,99502476,0,,,99502476,0,0,0,12.39
2836,高雄銀,2022Q3,twse,2991106,12268094,615904,33771831,48421194,,2476471,1201846,0,,,169285694,,,237874,3075695,309041,,115782,176831,262149,275209512,15283794,0,96395,,9894842,4848644,136722,,223388957,5167000,,,0,383870,308588,,96013,259604825,12383477,,1447637,3865891,-2092318,,,,,,15604687,,0,0,12.60
2838,聯邦銀,2022Q3,twse,8645471,27397750,40350200,63426319,83951512,,26242934,28360918,314444,,,536367754,1965811,,1599290,12163603,1755860,4693109,2185366,861818,10060887,850343046,12219294,474936,1192116,,56103501,7145326,719592,,688351264,5000000,950400,367000,9643952,376984,1739289,1928781,3386233,789598668,37940460,,8076826,14934762,-2254558,,58697490,,,2046888,60744378,,0,0,15.47
2845,遠東銀,2022Q3,twse,5787751,37438105,54893850,77677451,77341309,,4570375,19092633,,,,456590958,1788762,,10521786,3040721,1030400,,1604041,192859,295198,751866199,981550,0,16927444,,0,8304082,225833,,618869805,20901900,,,30821623,895723,1036806,,537834,699502600,39588308,,349974,14484049,-2058732,,52363599,,,,52363599,,0,389346918,13.23
2849,安泰銀,2022Q3,twse,2670289,20568853,16187717,42187468,38902308,,303603,3288906,,,,220402718,,,362986,678022,990976,,215576,526676,1582131,348868229,5598717,0,328207,,3740685,1695108,75816,,302500060,,,,524053,384424,985208,56424,56562,315945264,19576094,,402822,14992004,-2047955,0,,,,,32922965,,0,0,16.82
2897,王道銀行,2022Q3,twse,11450774,16945203,145898658,159927829,22350852,,3320716,21868179,269002,,,208771280,971370,,882952,2495620,390764,,1932100,1309965,1524328,600309592,38481971,,878041,,165813028,5512408,224527,,298339147,14600000,,,20256689,1988437,405669,804919,2722799,550027635,30330063,,13644,7296487,-3373008,-16837,34250349,,,16031608,50281957,,2522000,0,11.30
5876,上海商銀,2022Q3,twse,66211118,365658251,12131848,426037799,150983266,,474266,16241093,109606,,,1228375078,2046055,,1314,21908995,1839828,6932576,1879960,4004971,10302070,2315138094,53287831,198,7562410,,576184,29363974,1970693,,1905252588,82128296,,,5033180,3075459,1891568,10832243,5198116,2106172740,44816031,,16788031,98876985,-7333612,-83144,153064291,,,55901063,208965354,,11397439,0,34.24
