stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1409,新纖,2020Q1,twse,100940745,55025313,155966058,107751538,10891425,118642963,16184093,1955979,8643619,1004739,-29834,27758596,,9564499,37323095,,0,4680487,17.20
1718,中纖,2020Q1,twse,538888456,176503277,715391733,634616416,20526462,655142878,16213672,1705182,4544145,-160795,-1228555,21073649,0,39175206,60248855,,0,331109968,16.33
2207,和泰車,2020Q1,twse,176848632,82432011,259280643,161262574,19837958,181100532,5461792,2818004,52561630,-284816,,60556610,,17623501,78180111,0,0,0,110.87
2905,三商,2020Q1,twse,193707587,1099279438,1292987025,20676331,1234242256,1254918587,8266827,1917382,13079281,-6549475,-532672,16181343,0,21887095,38068438,0,0,47752000,20.77
