stock_id,name,period,market,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2801,彰銀,2020Q1,twse,25408212,183025594,19465542,106589160,294019978,301740,,20149569,422411,,,1469115330,,,33282035,20672125,1669633,13871055,674630,3040062,1888228,2193595304,120632875,,2536673,,1830657,23286095,777489,,1805746515,55577340,,,3517721,5229013,1476145,7985798,2857708,2031454029,99853111,,60998439,1289725,0,162141275,,,,162141275,,0,0,16.24
2812,台中銀,2020Q1,twse,9372078,35952725,21960739,33176656,109303636,,11516062,13069871,3279,,,437724569,153546,492553,2246,10737141,829747,18080,157832,810706,2324937,687606403,6930567,5615044,387676,,11368863,5829957,570886,,586072481,14000000,,,1437697,1363794,847667,111021,920833,635456486,37088349,726981,13519679,814908,0,52149917,0,,0,52149917,0,0,0,14.06
2820,華票,2020Q1,twse,259092,302540,90439354,99090609,,,748000,1085533,308184,,,,,,713320,158599,3980,,,150434,48922,193308567,14855712,,22377,,151680324,505689,47877,,,,,,0,1395327,4021,13238,859031,169383596,13429600,9028,10157462,328881,,,,,,23924971,0,0,0,17.82
2834,臺企銀,2020Q1,twse,28746480,79728337,18021541,103162480,244137680,,1680280,29648375,4364,,,1138944246,,,18608,14438253,995877,,345974,1722737,4656575,1666251807,109947252,658040,9630394,,1256932,33655585,418639,,1342424222,58250000,,,6253179,3153451,973385,881326,3266413,1570768818,71319842,815900,20975416,2371831,0,95482989,0,,0,95482989,0,0,0,13.39
2836,高雄銀,2020Q1,twse,2520415,11659914,386152,17819691,48146223,,3452734,1608017,26822,,,173971281,,,227704,2923840,299062,,121020,175551,348204,263686630,8592824,,80966,,7613722,3359444,18116,,220540239,7500000,,,150,380660,312241,,103029,248501391,10809165,1242676,3227902,-94504,,,,,,15185239,,0,0,14.05
2838,聯邦銀,2020Q1,twse,9053553,24525844,37342940,41627250,104004527,,57608078,20068813,91196,,,386791346,1579333,,4116577,7973855,1364329,5377468,2130358,648932,9576196,713880595,24350662,,321656,,64748682,4407282,543617,,542728395,10200000,1484243,,5002898,318581,1342229,1404122,3346276,660198643,30844553,8035484,12587052,2213322,,53680411,,,1541,53681952,,0,0,17.40
2845,遠東銀,2020Q1,twse,13621864,30170350,48675304,135354696,2558531,,12069271,20138326,,,,399693056,1822960,,7797544,2946359,973168,,1667748,315856,279791,678084824,11942554,,5450798,,10533837,13830548,370313,,542827049,25001900,,,17850141,1193968,979486,,653215,630633809,33558193,456426,13104260,332136,,47451015,,,,47451015,,0,0,14.14
2849,安泰銀,2020Q1,twse,2418814,13726694,13793870,38460162,35059704,,2354306,4685599,56001,,,197522885,,,0,684436,696199,,191347,582427,1990023,312222467,6268926,,1283023,,1804720,2085247,85916,,260883450,,,144181,3931974,475838,709951,35075,82586,277790887,19579101,404990,13930484,517005,0,,,,,34431580,0,0,0,17.59
2897,王道銀行,2020Q1,twse,5465661,22236319,156817349,148416400,0,,748000,15135872,439455,,,200117346,,,1936535,2829375,468478,,2285938,812454,907728,558616910,45472746,,447785,,154382338,2802811,122933,,268133219,18700000,,,12790052,1949496,483332,432724,2638003,508355439,27130063,10574,6257714,-745379,-10704,32642268,,,17619203,50261471,,1650000,0,12.04
5876,上海商銀,2020Q1,twse,52694761,226288118,13386896,504801853,104996876,,3024803,17280107,109219,,,1131513326,1893889,,2126379,21384272,2483058,5762314,1800874,1130912,3970419,2094648076,74237890,,5917520,,11721506,28741948,1841323,,1660448844,83366856,,,4626868,2444352,2559923,9813463,3727557,1889448050,44816031,16432561,88626897,4233789,-83144,154026134,,,51173892,205200026,,11397439,0,34.46
