stock_id,name,period,market,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2880,華南金,2018Q4,twse,48510679,156720416,86705474,0,191447673,450489822,,489059,41257457,418349,,,1623317849,4030604,0,110724,,30363702,10922997,32264055,762044,3496800,2899159,2684206863,132267041,,4803071,0,46323247,15950469,43481315,1677066,,2155650451,58589023,2121000,,19967657,13631338,6119745,9467857,2510049280,115436133,17758986,37181499,3778863,,,174155481,2102,174157583,,0,0,15.09
2881,富邦金,2018Q4,twse,232234449,223566116,917327572,0,820207183,2564909862,3776327,69364357,209274405,4075626,48312,,1847793140,20353688,0,28203343,,406782484,179436352,58481088,33907733,19970316,75347455,7715059808,152445771,442461,45422901,3425972,178403211,13535972,166682986,7144528,,2273618639,217754674,1482921,,3721508656,411517835,11184801,41662504,7246233832,115002640,137018872,279677293,-72455455,,,459243350,9582626,468825976,0,0,0,39.93
2882,國泰金,2018Q4,twse,206576054,104223315,1428824049,0,1127810270,2688221788,216611,59212899,161216190,6438062,,,2176775907,7623707,0,44932006,,555740531,319222554,166458327,53826467,40806934,76357835,9224483506,81432233,,129698896,,59307037,62989367,66727399,2543689,,2187203086,90600000,336381,,5341935726,627815178,27091143,17514376,8695194511,140965102,165449364,285875616,-72558752,0,,519731330,9557665,529288995,,0,0,36.87
2883,凱基金,2018Q4,twse,59607423,26431383,374931034,0,485335934,970536279,,39770534,99099379,1168303,,,369131396,534353,0,16102926,43927569,91362530,25432420,31717297,21171147,12652560,48902361,2717814828,22434914,,87786725,,125478900,14985902,89641244,967872,,398286010,31150000,18818061,,1557304939,111539399,7275275,28582681,2494251922,149633560,1630992,22095706,-10522131,-3605444,,159232683,64330223,223562906,,1074800,443530700,10.97
2884,玉山金,2018Q4,twse,55755562,76688375,475506677,0,183846186,8165004,,,93450521,11790,,,1333277269,,0,,,13694947,1948418,32604520,6116132,1098436,5623195,2287787032,72223020,,50315163,,12526789,2669356,28969420,1523828,,1886693981,42650000,399094,,860739,25019142,1338393,2468007,2127656932,108289000,24710706,26627780,386802,,,160014288,115812,160130100,,0,0,14.78
2885,元大金,2018Q4,twse,65535411,48216712,473939209,0,215135236,352906087,,33465734,143272794,1485363,868288,,770905662,580130,0,2048491,2622711,62025243,4916691,21871922,33669889,5899187,47769165,2287133925,22047274,,111982799,,218570425,36269123,147690035,5327403,,1020615296,66756009,64019801,,232223123,79276919,3705743,41806215,2050290165,116862325,37200416,60114343,5006084,-197606,,218985562,17858198,236843760,0,0,15621000,18.76
2886,兆豐金,2018Q4,twse,129675778,514219514,196201030,0,421176553,272926017,,2623231,92723255,272816,328350,,1864447103,3854464,0,3168973,,5112210,1500403,21973422,518222,7552961,3785059,3542059361,411643388,53920881,27357462,,252298265,15929662,66362081,9319314,,2320637263,13300000,4934529,,26977832,15325367,2526612,7271276,3227803932,135998240,68194233,102575350,7474457,0,,314242280,13149,314255429,0,0,0,23.11
2887,台新新光金,2018Q4,twse,22590750,55875912,115782595,0,336400248,3081240,,2416641,144763489,354251,,,1018505146,,0,40100981,,9866430,907311,18895823,2275459,3360316,11716925,1786893517,57441338,1536650,29502674,,83045834,12215597,28783190,2306439,,1259675424,61700000,11545384,,1721335,59083447,108838,3709414,1612375564,114541477,37805713,22108378,-71042,,,174384526,133427,174517953,,555000,0,15.22
2889,國票金,2018Q4,twse,2812812,2036564,127365213,0,110585462,,,1029580,21516822,54,,,,,,1691762,,7707662,,1827765,224925,94294,1093008,277985923,,28718410,1085929,,183195381,11924017,11133576,255859,,,,,,1462567,3422476,40587,626355,241865157,28198659,122240,3624106,649091,-158123,,32435973,3684793,36120766,,0,20000000,11.58
2890,永豐金,2018Q4,twse,25417365,91889402,84863422,0,209421072,93680834,,22205182,75646292,327581,,,922363664,,0,486466,,39666796,2589456,12573066,2234897,2352648,19207974,1604926117,37964931,,22778944,,46778129,33813602,37637667,1095078,,1190750602,35722483,8900155,18437,3431929,35087925,1544742,7580096,1463104720,112710541,2228771,27244218,-365543,,,141817987,3410,141821397,,0,0,12.58
2891,中信金,2018Q4,twse,128348319,252880081,368632520,0,463855794,1627683522,34212,24656572,197753645,3258128,523182,,2364345480,2593345,0,35353449,,75939497,57591759,53985880,24487733,15656082,55668346,5753247546,74498692,14041775,106571323,184195,70524205,38638067,96119060,3713312,,3138015328,98724952,,,1585162090,193255451,2383652,16266963,5438099065,198303196,50368539,102853949,-36453220,0,,315072464,76017,315148481,0,0,0,15.89
2892,第一金,2018Q4,twse,53471425,218656022,152181380,0,234217615,426599708,,0,84548758,1324378,,,1696244189,30338,0,2504068,,21177865,9567691,27162270,515359,2924461,4078892,2935204419,240743329,333951,32913908,,22006303,12172532,91680591,2282290,,2175825711,47150000,2650000,,29783941,60446492,6743561,5168738,2729901347,123385572,26107218,42446725,13363557,,,205303072,0,205303072,0,0,0,16.64
5880,合庫金,2018Q4,twse,57203098,264471052,58462230,0,311892762,558505884,,1886314,31292805,1540589,,,2060487809,46975,0,127094,,110358805,9496539,33824507,3631035,1782952,3277138,3508287588,226264806,,13133240,,44369293,26091523,51166336,997439,,2726474349,55000000,2425405,,48830833,94531001,3334447,3194907,3295813579,125687847,57964343,22209318,2412696,,,208274204,4199805,212474009,,0,0,16.57
