stock_id,name,period,market,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,保險合約資產及再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,保險合約負債及再保險合約負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2880,華南金,2026Q2,twse,41486572,261560559,222466465,431825068,828558187,,7159778,126608422,246026,,,2542275691,4215473,268531,,21380745,13352618,33753303,2121883,1053330,3359495,4774888,4546467034,299821473,,5408846,,90461815,56386525,84259205,3314190,,3541290799,73192746,7378000,,6965380,101280765,13520763,2168614,6181922,13095380,4304726423,140561348,17766839,79722921,3686870,,,241737978,2633,241740611,,0,0,17.37
2881,富邦金,2026Q2,twse,380279317,531251873,952516548,2754434611,3452723040,10141404,109402843,545181457,2769187,3850200,,3696606408,64507562,65142353,,639878963,317396161,78207444,14150474,34303581,51733743,60925720,13765402889,203480734,186283,329277988,19643554,115546704,146128103,348766493,25382343,188188,5213165681,515759403,36893869,,9610871,282290448,4771475607,21815215,54428485,387259172,12481299141,156073549,154729723,892423307,64423206,,,1267649785,16453963,1284103748,,0,0,81.22
2882,國泰金,2026Q2,twse,359453216,357563359,875189118,4044282606,3381437285,26415,49762113,422389716,1989513,,,3407656975,51139459,80896770,,1031186946,516610205,110430555,6020617,30703599,133230780,106573127,14966542374,202978394,,795785329,2235955,21244738,123848089,194970809,41618499,,4541091785,301183844,52848943,,5839681,77532723,7112420250,20735866,45220004,296768037,13836322946,162025102,203131012,835134192,-76382069,0,0,1123908237,6311191,1130219428,,0,0,69.37
2883,凱基金,2026Q2,twse,78232673,99708437,422590310,1064296571,1316831154,403896,69200513,351257316,908176,,,539724649,175099,29442171,,333293516,73407996,30360438,12785910,6014162,28352925,134118015,4591103927,8866326,,163921710,729983,212861060,145974849,252787387,10595348,,655599580,146845953,38986768,,896431,221433305,2009312089,7179274,38215315,207556784,4121762162,185567558,33702594,256012909,-6082532,,,469200529,141236,469341765,233625,0,0,25.28
2884,玉山金,2026Q2,twse,51676634,379792776,279907234,447523043,536908908,450005,23714679,238846598,772268,,,2810066842,,,,19453770,1380713,33963918,7876908,7815566,3394467,27521232,4871065561,118804851,,88270899,1481998,64192603,58222763,87477268,5369286,,3948542123,49220000,333473,,1340289,152681384,,5317768,3163571,4476799,4588895075,161920000,35847197,66559848,17446059,,,281773104,397382,282170486,,0,0,17.40
2885,元大金,2026Q2,twse,134190040,151829418,874472058,529141662,490902894,,91636647,729927369,2644968,0,,1564905949,54581,2944367,11361916,328150075,20514277,30890188,10712496,30299784,7012503,139340020,5150931212,26514253,,338692883,,246197163,233497089,500447157,10655343,,2063277641,150204868,109412584,,5189991,301366074,404316095,7151104,8282471,335596428,4740801144,138643959,38292647,179887864,26144482,,,382968952,27161116,410130068,0,0,0,28.73
2886,兆豐金,2026Q2,twse,125405952,705386092,260623564,827095912,398950452,,0,189484973,73025,,,2635607757,12561637,5046371,,24173105,1683269,23239278,2129674,1498286,6824350,12763078,5232546775,689413632,2035178,32817741,,360242471,64435712,151052321,6769489,,3374122305,50200000,9590000,,17322366,40247734,10323524,2194624,2276551,17147102,4830190750,148333783,76850025,145822583,31349634,,,402356025,,402356025,0,0,0,27.13
2887,台新新光金,2026Q2,twse,111872012,232940552,375331233,2118830753,1738481150,,13516149,470278449,1516001,4796441,,2968927363,1447173,3006760,,222795627,231677251,84277273,6736548,674175197,28905753,105288028,9394799713,48709184,,155983463,,152152381,116170919,216513921,11425662,,3912092383,144163149,10865875,28834004,2717845,207928556,3348406142,9449113,41804035,273972753,8681189385,265097300,133732478,198855512,115566137,-89298,,713162129,448199,713610328,,0,1927518,27.16
2889,國票金,2026Q2,twse,22926544,260,179787988,159245937,699426,,4220656,84969976,231967,,,,,6696332,,30585223,392213,6918022,167671,270546,476951,10491372,508081084,,38236522,7590266,,257212054,67762540,44096235,667086,,,,,,1790182,24818358,,160634,73545,9358381,451765803,36659022,405994,6490938,4062457,0,,47618411,8696870,56315281,0,0,0,13.11
2890,永豐金,2026Q2,twse,58387904,283988582,207034165,421233680,353277762,,88152551,283475834,387716,0,,2101288548,,1165908,,112928438,2316599,18794546,4614265,12615423,3809130,41578024,3995049075,116619959,,77169009,,93727488,155434157,168562162,3954445,0,2815449401,64809107,21602351,18437,2850659,179846039,,4211444,2812039,20290393,3727357090,147821687,26827097,96761477,-6411977,,,264998284,2693701,267691985,,0,0,18.29
2891,中信金,2026Q2,twse,135612611,515168389,543542654,1440279884,1899734030,303820,42768287,397952772,5088111,,,4706748738,26661803,26556845,,162309490,128363903,55389483,18084788,40031732,23347794,89594472,10257539606,132664306,76701916,283237224,6022713,163565326,82574335,181298850,10618819,,6205795498,220652897,,,4430034,85497078,1896152282,27652424,28115622,116539598,9521518922,201768884,61432766,334427382,108309739,,,705938771,30081913,736020684,0,0,0,34.99
2892,第一金,2026Q2,twse,70545691,311218215,227791362,482764665,1002618813,,1995800,119211695,1300145,,,2935072370,,3478840,,19821288,12474217,27858582,2507720,1163674,5135941,10230011,5235189029,445079064,0,11784225,,46157751,56565099,88864657,5374359,,4000873768,77300000,6239000,,4219466,75434679,89114438,2418517,7880922,16380516,4933686461,143794686,26107246,92557444,39043192,,,301502568,0,301502568,,0,0,20.97
5880,合庫金,2026Q2,twse,55650302,463454273,220920488,608498530,652382935,,2422386,76044121,2125659,,,3239739919,246700,140995,,66777223,11540512,31816404,1760437,4755088,1511245,5858505,5445645722,580498418,,18721697,,70474081,39073954,73369757,2884469,,4156404358,77140000,16624820,,6341706,3003417,91408257,1733160,6777928,3321865,5147777887,160729603,45653621,70025458,13813202,,,290221884,7645951,297867835,,0,0,18.51
