stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1409,新纖,2022Q4,twse,117100691,64630383,181731074,114763043,20890156,135653199,16184093,,1950312,14493177,2884397,-29834,35482145,,10595730,46077875,,0,4680487,21.99
1718,中纖,2022Q4,twse,644385133,191316828,835701961,731047063,29692104,760739167,16862097,0,1715804,3794347,720327,-1136802,21955773,0,53007021,74962794,,0,344529645,16.36
2207,和泰車,2022Q4,twse,289428506,117132631,406561137,301581096,35407978,336989074,5461792,,2898044,32100364,1304787,,41764987,,27807076,69572063,0,0,0,76.47
2905,三商,2022Q4,twse,140686487,1345157334,1485843821,14527898,1439646223,1454174121,9224957,0,2749366,6209535,-7519412,-488279,10176167,0,21493533,31669700,0,0,48654000,11.65
