列,營飆N,營量N,註,年化中位,年化p10,年化p90,回落中位,回落p10,回落p90,比值,對0050標籤,深淺註,期末金額100萬中位,期末金額100萬p10,期末金額100萬p90,平均實際持有檔數_中位,平均實際持有檔數_p10,平均實際持有檔數_p90,最大同時持有_中位,最大同時持有_最大,單檔最大占比_中位,單檔最大占比_p90,種子數,兩邊同時持有同檔_逐日平均_中位,再平衡成本合計_中位
單套 營飆 v1 N5,5,0,,0.3775407978737696,0.3291703457615547,0.4478933964511715,-0.5466356135843704,-0.5767767184828968,-0.5093047787406697,0.6906626434347716,另列,,20571343.880837724,14679213.931970958,32922041.17974621,4.373108517077388,4.373108517077388,4.373108517077388,5.0,5.0,0.5156709160322362,0.5377509897504751,200.0,,
單套 營飆 v1 N8,8,0,,0.4020140792056428,0.3570203458682779,0.4500897302240432,-0.4167478180358095,-0.44854742231275996,-0.35838825902836163,0.9646459124858556,合格,回落比 0050 深 7.72 點、報酬多 16.18 點,24291985.751241438,17855185.92664506,33396379.592945416,6.842628620838737,6.842628620838737,6.843060959792477,8.0,8.0,0.3846413361788218,0.38621499429297623,200.0,,
單套 營飆 v1 N10,10,0,現行（閘）,0.394406557221616,0.3620790537280488,0.4247953947014781,-0.3894268315113051,-0.44103476018866106,-0.36195043806648153,1.0127873205114948,合格,回落比 0050 深 4.99 點、報酬多 15.42 點,23075660.57447447,18491819.475331936,28284849.269499514,8.386078685689581,8.386078685689581,8.38651102464332,10.0,10.0,0.31911969835963416,0.31913041643059914,200.0,,
單套 營量 v1 N5,0,5,,0.2318260980413802,0.2318260980413802,0.2318260980413802,-0.4257400242517292,-0.4257400242517292,-0.4257400242517292,0.5445250266258908,不合格,,7159130.243884924,7159130.243884924,7159130.243884924,4.718979680069174,4.718979680069174,4.718979680069174,5.0,5.0,0.42157807724793456,0.42157807724793456,200.0,,
單套 營量 v1 N10,0,10,,0.21145291793471754,0.21145291793471754,0.21145291793471754,-0.4340690765797761,-0.4340690765797761,-0.4340690765797761,0.4871411702507108,不合格,,6116200.951656829,6116200.951656829,6116200.951656829,9.285343709468224,9.285343709468224,9.285343709468224,10.0,10.0,0.2549423914100244,0.2549423914100244,200.0,,
單套 營量 v1 N15,0,15,,0.24273542122918346,0.24273542122918346,0.24273542122918346,-0.3913046867234134,-0.3913046867234134,-0.3913046867234134,0.6203233170083562,另列,,7780576.106222923,7780576.106222923,7780576.106222923,13.59662775616083,13.59662775616083,13.59662775616083,15.0,15.0,0.17230807599622816,0.17230807599622816,200.0,,
單套 營量 v1 N20,0,20,現行（閘）,0.3612317362788622,0.3612317362788622,0.3612317362788622,-0.32131436013029513,-0.32131436013029513,-0.32131436013029513,1.1242315349129752,合格,,18383492.99404141,18383492.99404141,18383492.99404141,17.830955469087765,17.830955469087765,17.830955469087765,20.0,20.0,0.17388895806252957,0.17388895806252957,200.0,,
單套 營飆 v1 N20（參照：resultsN17/nslots/cells.csv，未重跑）,20,0,引用,0.31835948731524977,0.29907826577186086,0.3390689611830333,-0.40998284433833443,-0.42601555356265425,-0.393868338169426,0.7765190463738688,合格,回落比 0050 深 7.04 點、報酬多 7.82 點,13589939.566878451,,,,,,,,,,,,
各半 營飆 5 ＋ 營量 5,5,5,,0.31180629815965344,0.28878844967855366,0.34561173182059174,-0.4464735376794503,-0.4624108384353926,-0.4251948985334072,0.6983757643964055,另列,,12965420.26732498,10969948.59163059,16485815.516057678,8.40337224383917,8.362300043233896,8.428880242109814,10.0,10.0,0.33391164608567814,0.33391164608567814,200.0,0.688715953307393,0.009777892571100028
各半 營飆 5 ＋ 營量 10,5,10,,0.304067700785832,0.2784788647528273,0.33590792547400555,-0.41449144046049347,-0.44298112987134736,-0.4097252669213087,0.7335922315983596,合格,回落比 0050 深 7.49 點、報酬多 6.39 點,12261044.849852372,10168906.083898174,15396999.81644195,12.749243406830955,12.70817120622568,12.784695201037614,15.0,15.0,0.2636239873869293,0.2677710813352567,200.0,0.9092088197146563,0.010403445878764152
各半 營飆 5 ＋ 營量 15,5,15,,0.31532877789052727,0.2897792157786445,0.3489903305870232,-0.41564185861296643,-0.42510392434310296,-0.3967670823193758,0.7586550087683835,合格,回落比 0050 深 7.61 點、報酬多 7.51 點,13297844.721294198,11049823.72501943,16880755.09327255,16.896670990056204,16.856290531776914,16.932987462170342,20.0,20.0,0.27593552780307584,0.2860571506047217,200.0,1.0730652831820147,0.006122726948555832
