nA,nB,r,cagr,mdd,end_value,cost_sum,held_mean,held_max,overlap_mean,maxw,maxw_date
5,5,0,0.3184671606313916,-0.4251948985334073,13600421.561033389,0.009549142260819122,8.413316039775184,10,0.6787721573713792,0.3339116460856781,2017-05-19
5,5,1,0.33446855159947697,-0.4405524765105417,15240985.703907657,0.01298017466849392,8.40337224383917,10,0.688715953307393,0.33391164608567814,2017-05-19
5,5,2,0.34524358962745016,-0.4478883021396431,16443184.670808759,0.011751942272514184,8.40337224383917,10,0.688715953307393,0.3339116460856781,2017-05-19
5,5,3,0.34728937529576664,-0.4462921403109603,16680783.14099676,0.011821278089133018,8.38780804150454,10,0.7042801556420234,0.3339116460856781,2017-05-19
5,5,4,0.32582883040919897,-0.42518672751769576,14334468.644111888,0.008783440974421602,8.428880242109814,10,0.6632079550367488,0.33391164608567814,2017-05-19
5,5,5,0.32634015383420834,-0.4625674894343376,14386745.127007207,0.010902408185910505,8.377864245568526,10,0.7142239515780372,0.33391164608567814,2017-05-19
5,5,6,0.2992657210021299,-0.4405475514632501,11841364.51103122,0.009307524039056849,8.40337224383917,10,0.688715953307393,0.3339116460856781,2017-05-19
5,5,7,0.3308982929422337,-0.42518672751769576,14860345.159939025,0.01121777767074967,8.40337224383917,10,0.688715953307393,0.33391164608567814,2017-05-19
5,5,8,0.29335380819574053,-0.4493337940246452,11342347.418425828,0.007948298328715232,8.40337224383917,10,0.688715953307393,0.3339116460856781,2017-05-19
5,5,9,0.3110938611882801,-0.4478883021396431,12899086.2876982,0.007948388333513348,8.38780804150454,10,0.7042801556420234,0.3339116460856781,2017-05-19
5,5,10,0.34084117873784425,-0.4500205903934821,15942119.609094772,0.011434713727463082,8.413316039775184,10,0.6787721573713792,0.33391164608567814,2017-05-19
5,5,11,0.3056778747896647,-0.46241083843539244,12404715.943801012,0.010926633695557846,8.362300043233896,10,0.7297881539126675,0.33391164608567814,2017-05-19
5,5,12,0.3247872216487897,-0.4251948985334073,14228502.104244161,0.011233997012366798,8.428880242109814,10,0.6632079550367488,0.33391164608567814,2017-05-19
5,5,13,0.28777201111151696,-0.45927777232387884,10888540.032980772,0.008123544654052718,8.38780804150454,10,0.7042801556420234,0.3339116460856781,2017-05-19
5,5,14,0.30027804781932144,-0.44054755146325036,11928754.680334702,0.009790061946930915,8.40337224383917,10,0.688715953307393,0.33391164608567814,2017-05-19
5,5,15,0.28619229538987434,-0.45002059039348263,10763089.71828992,0.007821461080555068,8.413316039775184,10,0.6787721573713792,0.3339116460856781,2017-05-19
5,5,16,0.29159518879716995,-0.46047973908610507,11197578.275174601,0.00899322992398996,8.352356247297882,10,0.7397319498486814,0.33391164608567814,2017-05-19
5,5,17,0.3534125059498492,-0.4379384188769182,17410379.51491095,0.01660551543479774,8.428880242109814,10,0.6632079550367488,0.3339116460856781,2017-05-19
5,5,18,0.31357065377150195,-0.45075673444817926,13130980.176433017,0.009015439593934053,8.40337224383917,10,0.688715953307393,0.33391164608567814,2017-05-19
5,5,19,0.3060800521791389,-0.45075673444817926,12440835.517488075,0.008305238858328613,8.40337224383917,10,0.688715953307393,0.33391164608567814,2017-05-19
5,5,20,0.3008657130487209,-0.4466549350479408,11979749.603826206,0.009163159910107676,8.40337224383917,10,0.688715953307393,0.3339116460856781,2017-05-19
5,5,21,0.257291867237162,-0.4604797390861055,8684763.895162685,0.0073246727698815075,8.336792044963252,10,0.7552961521833117,0.33391164608567814,2017-05-19
5,5,22,0.3106502661550521,-0.4363135352089825,12857942.779294992,0.010260918195547412,8.428880242109814,10,0.6632079550367488,0.33391164608567814,2017-05-19
5,5,23,0.33646539566758094,-0.4366828581471854,15457657.610536085,0.013986543340785482,8.428880242109814,10,0.6632079550367488,0.3339116460856781,2017-05-19
5,5,24,0.3305152462542733,-0.44053938758181604,14820016.126181565,0.010434989998229095,8.40337224383917,10,0.688715953307393,0.33391164608567814,2017-05-19
5,5,25,0.31711387913215794,-0.4251865799099015,13469201.52172448,0.008985552480004141,8.428880242109814,10,0.6632079550367488,0.3339116460856781,2017-05-19
5,5,26,0.3236247743220606,-0.4495331390699415,14111069.657231487,0.010554454273877214,8.377864245568526,10,0.7142239515780372,0.33391164608567814,2017-05-19
5,5,27,0.3438301856399051,-0.44917328100628523,16280803.434048792,0.013937812872651294,8.40337224383917,10,0.688715953307393,0.33391164608567814,2017-05-19
5,5,28,0.3403213271239047,-0.43647789557306654,15883862.739337664,0.012014502037614342,8.428880242109814,10,0.6632079550367488,0.3339116460856781,2017-05-19
5,5,29,0.3595733637304428,-0.4405392401029012,18173136.644916408,0.01260218353315164,8.362300043233896,10,0.7297881539126675,0.3339116460856781,2017-05-19
5,5,30,0.2841157365821023,-0.45908195061615253,10600149.837901087,0.008267563217416889,8.38780804150454,10,0.7042801556420234,0.33391164608567814,2017-05-19
5,5,31,0.3078036555750794,-0.43668285814718455,12596699.818274409,0.008449422428797062,8.438824038045828,10,0.653264159100735,0.33391164608567814,2017-05-19
5,5,32,0.3428103914074849,-0.4405392401029012,16164534.685944645,0.014236699025770091,8.377864245568526,10,0.7142239515780372,0.3339116460856781,2017-05-19
