arm,N,r,seed,cagr,mdd,vol,end_value,first,end,trades,eq_sha,held_mean,held_max,maxw
A,5,0,1000,0.3926107161115948,-0.5116244380627275,0.341923632652032,22796600.531798318,526,2859,85,881095021ff4e106,4.373108517077388,5,0.5156709160322361
A,5,1,1001,0.4194908764301022,-0.5325299231687503,0.34589580291770483,27305867.96249614,526,2859,85,83df718c43f3b8ab,4.373108517077388,5,0.5156709160322361
A,5,2,1002,0.44772326228995074,-0.5490920080554784,0.353186831191601,32885374.36026084,526,2859,85,2cca5d54ab25a38f,4.373108517077388,5,0.5156709160322362
A,5,3,1003,0.45207781055393825,-0.5463209170367936,0.34386998472440705,33831152.147524655,526,2859,85,63cd355ddff2555f,4.373108517077388,5,0.5156709160322361
A,5,4,1004,0.4067687292582609,-0.5093047787406696,0.3470615625908332,25080913.016706284,526,2859,85,789acb3718da2320,4.373108517077388,5,0.5156709160322362
A,5,5,1005,0.40578231505796825,-0.5770424559908077,0.3517803737764915,24915372.380395547,526,2859,85,ba96f0a97694e89e,4.373108517077388,5,0.5377509897504751
A,5,6,1006,0.3460220930337441,-0.5350941433571783,0.35040996731402113,16533241.366852518,526,2859,85,fe06f41462c21b5c,4.373108517077388,5,0.5377509897504751
A,5,7,1007,0.4173199392474196,-0.5093047787406696,0.34212254458495406,26914145.405979563,526,2859,85,1969eb483a32041a,4.373108517077388,5,0.5156709160322362
A,5,8,1008,0.3366023893687258,-0.5526689546304405,0.34007575240103977,15472622.861360347,526,2859,85,360b327cd853af44,4.373108517077388,5,0.5377509897504751
A,5,9,1009,0.38146063543029785,-0.5490920080554784,0.35375765132389697,21130517.659877364,526,2859,85,7af3a5f14bd5ccfb,4.373108517077388,5,0.5156709160322362
A,5,10,1010,0.43648947717187214,-0.555689960068484,0.3542908220151449,30553680.185510524,526,2859,85,7a0b5405ad5cacbf,4.373108517077388,5,0.5377509897504751
A,5,11,1011,0.36099966549847307,-0.5767767184828968,0.34582748606497704,18353925.568261866,526,2859,85,d6490d693002f83b,4.373108517077388,5,0.537750989750475
A,5,12,1012,0.40202670770965154,-0.5116244380627275,0.3398279415695842,24294006.753601797,526,2859,85,888fd0e73972ff3d,4.373108517077388,5,0.5156709160322361
A,5,13,1013,0.3292558361185758,-0.5687216395594317,0.34379107716268525,14688108.101945741,526,2859,85,4844a4f42cbb6348,4.373108517077388,5,0.5156709160322362
A,5,14,1014,0.3495218487141085,-0.5350941433571783,0.3461628014893143,16943561.980162594,526,2859,85,2158cdd610fea9d9,4.373108517077388,5,0.5377509897504751
A,5,15,1015,0.32620228815240493,-0.555689960068484,0.3417237163838448,14372633.31309351,526,2859,85,1396c5b03858f5e5,4.373108517077388,5,0.5377509897504751
A,5,16,1016,0.33695682259098336,-0.5707611465436361,0.34431564837079526,15511401.429105483,526,2859,85,f219b7547b7ec0f3,4.373108517077388,5,0.5156709160322362
A,5,17,1017,0.4502615342353229,-0.5326640966300625,0.3606087137477001,33433753.10343732,526,2859,85,003de9a03bef895f,4.373108517077388,5,0.5377509897504751
A,5,18,1018,0.38223471766694517,-0.5551227059062922,0.3475436756385544,21242563.445250843,526,2859,85,27c4b171cfcc1383,4.373108517077388,5,0.5156709160322361
A,5,19,1019,0.3706031304976096,-0.5551227059062923,0.35041637467310666,19613648.864525493,526,2859,85,80a4e0f5c8cc7586,4.373108517077388,5,0.5156709160322361
A,5,20,1020,0.35470727068597574,-0.5469503101319473,0.35241477704057567,17568261.492719203,526,2859,85,95e973c893833495,4.373108517077388,5,0.5377509897504751
A,5,21,1021,0.2655477138259803,-0.5707611465436361,0.3380883716667926,9238314.772863872,526,2859,85,075f918496031876,4.373108517077388,5,0.5156709160322362
A,5,22,1022,0.3739817898775528,-0.5297920465717951,0.34801990384833775,20074884.66053515,526,2859,85,116bc25785cf701d,4.373108517077388,5,0.537750989750475
A,5,23,1023,0.4235807606651625,-0.5304443703184425,0.34624498363912837,28057716.85401491,526,2859,85,715a881f1a67e268,4.373108517077388,5,0.5156709160322361
A,5,24,1024,0.41821773871573553,-0.5328851663878625,0.34700411339088916,27075530.310545966,526,2859,85,0858bd53984b2e90,4.373108517077388,5,0.5156709160322362
A,5,25,1025,0.3893236472866346,-0.5086230871050891,0.34662879307103345,22293637.364487212,526,2859,85,d8cf050b84eefd44,4.373108517077388,5,0.5156709160322361
A,5,26,1026,0.401173149939154,-0.5530088936520846,0.3489140420386655,24154732.86326074,526,2859,85,029c66d05ffd8053,4.373108517077388,5,0.5156709160322362
A,5,27,1027,0.4380516369175218,-0.5523879036387005,0.34645216095729725,30868810.45528503,526,2859,85,83353bdf091587ff,4.373108517077388,5,0.5156709160322362
A,5,28,1028,0.43367762450384784,-0.5300859922090994,0.3557610455004116,29993693.12738441,526,2859,85,b9481da6b1423da3,4.373108517077388,5,0.5377509897504751
A,5,29,1029,0.47267843825373834,-0.5322362191433712,0.35169811827762665,38643466.163445264,526,2859,85,75d93c24a34ca0cf,4.373108517077388,5,0.5156709160322362
A,5,30,1030,0.31880741144814584,-0.5683936501613822,0.34974328601840277,13633593.03967646,526,2859,85,726cbfec1a1d3270,4.373108517077388,5,0.537750989750475
A,5,31,1031,0.3710795925924768,-0.5304443703184424,0.3407750711514518,19678113.544785704,526,2859,85,df214b04739dda0c,4.373108517077388,5,0.5156709160322361
A,5,32,1032,0.43527410407776634,-0.5322362191433712,0.3569577842462228,30310499.00245901,526,2859,85,fd0f84f1db53c37a,4.373108517077388,5,0.5156709160322362
A,5,33,1033,0.4293492149513134,-0.5793625109567813,0.34717705623065426,29149602.959497675,526,2859,85,8fc2ba02af3f142d,4.373108517077388,5,0.5156709160322362
A,5,34,1034,0.34123986731092026,-0.5322362191433712,0.3376763145601016,15986927.769996246,526,2859,85,ecf26239fcd5434f,4.373108517077388,5,0.5377509897504751
A,5,35,1035,0.4159927609406049,-0.5551227059062922,0.3506591608676317,26677152.258738663,526,2859,85,01198ac24086a6a5,4.373108517077388,5,0.537750989750475
A,5,36,1036,0.41975157818281095,-0.5767767184828968,0.3535439158532276,27353249.977999523,526,2859,85,d7884658e4c60e6a,4.373108517077388,5,0.537750989750475
A,5,37,1037,0.42222475026207906,-0.5350941433571783,0.3410579961674301,27806413.952448774,526,2859,85,ac55fb8c2db29e33,4.373108517077388,5,0.5156709160322362
A,5,38,1038,0.344863631796293,-0.5089302662983891,0.3424823285624801,16399390.902992535,526,2859,85,5339ddba62859c94,4.373108517077388,5,0.537750989750475
A,5,39,1039,0.3739336586404425,-0.5523879036387004,0.34955267127526213,20068246.550483122,526,2859,85,fb725b5ddae8f00b,4.373108517077388,5,0.5377509897504751
A,5,40,1040,0.357063628382712,-0.555689960068484,0.34665345409818354,17858880.662019607,526,2859,85,4873bf954cf7ba5a,4.373108517077388,5,0.5156709160322362
A,5,41,1041,0.37810598468937373,-0.5463209170367935,0.3430562878423542,20651025.40215253,526,2859,85,c565cc08c54647e7,4.373108517077388,5,0.5156709160322362
A,5,42,1042,0.3488077648424792,-0.5551227059062922,0.3502794279067411,16859109.209856126,526,2859,85,ab4537caf8a4eb59,4.373108517077388,5,0.537750989750475
A,5,43,1043,0.3535234499277342,-0.5300859922090994,0.3473515833903724,17423858.015703086,526,2859,85,2147bff082ba3f15,4.373108517077388,5,0.5156709160322362
A,5,44,1044,0.44187284901176493,-0.5325299231687503,0.34564054547750495,31651935.810102966,526,2859,85,61a4fbdaa26aa341,4.373108517077388,5,0.5156709160322361
A,5,45,1045,0.41823641834752245,-0.5554120304990671,0.34527809100817464,27078897.25583711,526,2859,85,f0d02a05f05207e5,4.373108517077388,5,0.5156709160322361
A,5,46,1046,0.44482274386222276,-0.5530088936520847,0.3510316720296197,32268590.608864997,526,2859,85,b2c6e296c1c55e64,4.373108517077388,5,0.5156709160322362
A,5,47,1047,0.3233913661968575,-0.5322362191433712,0.3351214839215717,14087595.101896262,526,2859,85,e6175362ea91d9bb,4.373108517077388,5,0.5156709160322362
A,5,48,1048,0.36592249786086195,-0.5526689546304405,0.3434649909872251,18990331.325809598,526,2859,85,f53f2dd1267c2c1c,4.373108517077388,5,0.5156709160322361
A,5,49,1049,0.41407824301481355,-0.5490920080554784,0.35373428316567324,26338565.119807523,526,2859,85,0924ae80f1e1bc2e,4.373108517077388,5,0.5377509897504752
A,5,50,1050,0.3715701092275514,-0.5322362191433708,0.34703935391609164,19744677.620843284,526,2859,85,df2e80a500846b8f,4.373108517077388,5,0.5156709160322362
A,5,51,1051,0.4000689284787027,-0.5326640966300625,0.35149600433885697,23975617.790549576,526,2859,85,3e0bd7873db5f09f,4.373108517077388,5,0.5156709160322362
A,5,52,1052,0.39999064473700585,-0.5325299231687504,0.349912446270792,23962964.62967327,526,2859,85,0cd13995a42ce9a5,4.373108517077388,5,0.515670916032236
A,5,53,1053,0.36031705499289846,-0.5350941433571783,0.34093037206720855,18267202.558416568,526,2859,85,b9aca4d8dd6616f4,4.373108517077388,5,0.5156709160322362
A,5,54,1054,0.3596127422198403,-0.5707611465436361,0.3447535376152044,18178106.55960133,526,2859,85,c1fe80992551ee7d,4.373108517077388,5,0.5156709160322362
A,5,55,1055,0.42774136424313713,-0.5328851663878625,0.34526955477296206,28841505.13803093,526,2859,85,bb2c4eae6388b80e,4.373108517077388,5,0.5377509897504751
A,5,56,1056,0.33691102170525244,-0.5086230871050887,0.3419037913732387,15506385.46649171,526,2859,85,354d3b4c29ea523d,4.373108517077388,5,0.5377509897504751
A,5,57,1057,0.44319877974878974,-0.5707611465436361,0.3460466996189683,31927796.48027856,526,2859,85,e7cf549af10d75e7,4.373108517077388,5,0.5156709160322362
A,5,58,1058,0.35304062499556754,-0.577363872926198,0.3415264509290545,17365267.94322485,526,2859,85,6564859432fd6240,4.373108517077388,5,0.5377509897504751
A,5,59,1059,0.41885459913521617,-0.5554120304990671,0.34470243706379533,27190533.81602181,526,2859,85,1f50a81ccf489477,4.373108517077388,5,0.5156709160322361
A,5,60,1060,0.4571872960677925,-0.5530088936520846,0.35125083090226833,34971852.236597866,526,2859,85,4eb60b0446e45fe5,4.373108517077388,5,0.5156709160322362
A,5,61,1061,0.3535552077007593,-0.577363872926198,0.3467586494894747,17427717.96085601,526,2859,85,e575bd6da40fc902,4.373108517077388,5,0.5377509897504751
A,5,62,1062,0.4256060375920787,-0.5530088936520846,0.347950365932215,28436833.760751437,526,2859,85,3751d3aa55cba938,4.373108517077388,5,0.5377509897504751
A,5,63,1063,0.36048310756208113,-0.5551227059062923,0.3452441620685775,18288265.101168007,526,2859,85,4ecfe25e9408f528,4.373108517077388,5,0.5377509897504752
A,5,64,1064,0.31925600889262107,-0.5297920465717951,0.34186098381256025,13677437.91477055,526,2859,85,1162556d283f559e,4.373108517077388,5,0.5156709160322361
A,5,65,1065,0.3638215084475225,-0.5683936501613822,0.3442775162418714,18716349.197386,526,2859,85,7c84f99012f2607f,4.373108517077388,5,0.5156709160322362
A,5,66,1066,0.2899843049855573,-0.5325299231687504,0.33869500599130625,11066422.774641903,526,2859,85,ec000892472dbe00,4.373108517077388,5,0.537750989750475
A,5,67,1067,0.3586353505706539,-0.5530088936520847,0.3428766339434266,18055109.616972726,526,2859,85,adf6de7e64d1da3f,4.373108517077388,5,0.5377509897504751
A,5,68,1068,0.3529247688113486,-0.5707611465436361,0.34475755129336483,17351235.203131724,526,2859,85,34d291706c2e3403,4.373108517077388,5,0.5156709160322362
A,5,69,1069,0.3468162153789245,-0.5687216395594317,0.34699500579124315,16625558.941807441,526,2859,85,2388180ee6863b40,4.373108517077388,5,0.5377509897504751
A,5,70,1070,0.3309605126477917,-0.5325299231687503,0.34184790682221394,14866905.210983202,526,2859,85,bb48a613bf9ec5e6,4.373108517077388,5,0.515670916032236
A,5,71,1071,0.4046238198885097,-0.5328851663878628,0.34352446509307616,24722200.875136185,526,2859,85,ea7a29acc810f7ea,4.373108517077388,5,0.5156709160322364
A,5,72,1072,0.3470785004940298,-0.5325299231687503,0.3427533335992793,16656150.956876203,526,2859,85,a4bd82b30e82144e,4.373108517077388,5,0.5377509897504751
A,5,73,1073,0.43112469698993605,-0.5526689546304404,0.3478263634315221,29493238.385469113,526,2859,85,cca59be45bdba08e,4.373108517077388,5,0.5156709160322361
A,5,74,1074,0.3347915403041719,-0.5551227059062923,0.3434141341135557,15275847.139057629,526,2859,85,a326509e763460a5,4.373108517077388,5,0.5377509897504752
A,5,75,1075,0.36292653351947646,-0.5322362191433712,0.34561413260173646,18600716.270759527,526,2859,85,14ddafcff783c403,4.373108517077388,5,0.5377509897504751
A,5,76,1076,0.34774619476195845,-0.5326640966300625,0.35035774891317106,16734255.73504905,526,2859,85,1f8bfdbabf043575,4.373108517077388,5,0.5377509897504751
A,5,77,1077,0.3663138898756839,-0.5326640966300623,0.34573239028383335,19041765.674960785,526,2859,85,03b28db0df0a0706,4.373108517077388,5,0.5377509897504751
A,5,78,1078,0.30583466783575997,-0.5767767184828968,0.3414079195414344,12418786.369570538,526,2859,85,bf7afda78bb67f20,4.373108517077388,5,0.537750989750475
A,5,79,1079,0.4423608836809583,-0.5116244380627275,0.35298553625657875,31753222.87814199,526,2859,85,aebe4caf43f5c46e,4.373108517077388,5,0.5156709160322361
A,5,80,1080,0.41900915070383427,-0.577363872926198,0.34918299753643667,27218508.324700993,526,2859,85,93be1cdee3382f80,4.373108517077388,5,0.5377509897504751
A,5,81,1081,0.4403116357556418,-0.577363872926198,0.35227578949554306,31329857.645548075,526,2859,85,52f4ad3f9dfc67ac,4.373108517077388,5,0.5156709160322362
A,5,82,1082,0.3316650267553545,-0.5328851663878625,0.3385570286377764,14941365.555012295,526,2859,85,4709efcd683f115b,4.373108517077388,5,0.5377509897504751
A,5,83,1083,0.42048416857849813,-0.5326640966300625,0.34590160175180173,27486790.570408765,526,2859,85,9e6b440f36a5a5d1,4.373108517077388,5,0.5156709160322362
A,5,84,1084,0.47045745407778394,-0.5328851663878625,0.34487219361547244,38096751.828929566,526,2859,85,ff074de67f84f90b,4.373108517077388,5,0.5156709160322362
A,5,85,1085,0.33482183985494696,-0.5767767184828968,0.3404344114237078,15279121.143039692,526,2859,85,20a7653f6115b05f,4.373108517077388,5,0.537750989750475
A,5,86,1086,0.3603557458966453,-0.5683936501613822,0.34389447068957335,18272108.275030714,526,2859,85,7135c0ee03983b84,4.373108517077388,5,0.5377509897504751
A,5,87,1087,0.4135844375543254,-0.5551227059062923,0.3500051979738704,26251860.122357454,526,2859,85,4834cd8538195117,4.373108517077388,5,0.5377509897504751
