date,stock_id,name,split_auction
2016-06-14,1418,東華,0
2016-06-14,1529,樂士,1
2016-06-14,2014,中鴻,0
2016-06-14,2028,威致,1
2016-06-14,2321,東訊,1
2016-06-14,2337,旺宏,0
2016-06-14,2342,茂矽,1
2016-06-14,2364,倫飛,1
2016-06-14,2429,銘旺科,0
2016-06-14,2475,華映,1
2016-06-14,2496,卓越,1
2016-06-14,3043,科風,1
2016-06-14,3701,大眾控,0
2016-06-14,5259,清惠,1
2016-06-14,5906,F-台南,1
2016-06-14,6172,互億,0
2016-06-14,6225,天瀚,1
2016-06-14,6289,華上,1
2016-06-14,910482,聖馬丁,0
2016-06-14,9106,新焦點,0
2016-06-14,911611,中泰山,0
2016-06-14,911868,同方友,0
2016-06-14,9928,中視,0
