ym,n_days,top_any,top_all,n_finite_min
2017-03,23,51,49,1690
2017-04,18,51,48,1692
2017-05,20,52,48,1700
2017-06,23,54,47,1696
2017-07,21,53,46,1704
2017-08,23,52,48,1706
2017-09,22,51,49,1707
2017-10,19,56,46,1716
2017-11,22,53,47,1727
2017-12,21,53,46,1735
2018-01,22,52,49,1742
2018-02,13,52,47,1757
2018-03,23,53,46,1767
2018-04,18,56,43,1778
2018-05,22,53,46,1781
2018-06,20,53,47,1789
2018-07,22,52,49,1780
2018-08,23,51,48,1785
2018-09,19,52,47,1786
2018-10,22,54,47,1771
2018-11,22,50,50,1767
2018-12,21,50,50,1752
2019-01,21,52,49,1812
2019-02,13,53,48,1847
2019-03,20,54,47,1853
2019-04,20,51,49,1873
2019-05,22,53,46,1875
2019-06,19,53,46,1881
2019-07,23,53,47,1892
2019-08,21,54,47,1891
2019-09,19,54,47,1894
2019-10,21,54,47,1888
2019-11,21,51,46,1913
2019-12,22,52,49,1917
2020-01,15,52,48,1939
2020-02,19,53,47,1926
2020-03,22,54,47,1929
2020-04,20,56,47,1932
2020-05,20,53,47,1934
2020-06,20,54,47,1943
2020-07,23,53,46,1945
2020-08,21,55,46,1944
2020-09,22,56,47,1937
2020-10,19,55,48,1942
2020-11,21,51,49,1941
2020-12,23,55,47,1952
2021-01,20,53,49,1961
2021-02,13,52,49,1959
2021-03,22,51,49,1975
2021-04,19,55,47,1981
2021-05,21,53,47,1959
2021-06,21,52,45,1971
2021-07,22,54,46,1972
2021-08,22,52,46,1970
2021-09,20,53,49,1965
2021-10,20,54,48,1970
2021-11,22,53,48,1974
2021-12,22,51,49,1973
2022-01,18,51,48,1984
2022-02,15,52,47,1994
2022-03,23,55,46,1988
2022-04,19,51,48,1994
2022-05,21,51,48,1993
2022-06,21,54,45,2001
2022-07,21,54,44,2006
2022-08,23,55,47,2006
2022-09,21,55,45,1997
2022-10,20,55,45,1991
2022-11,22,56,46,1997
2022-12,22,55,47,2003
2023-01,13,52,47,2010
2023-02,18,52,48,2021
2023-03,23,54,47,2036
2023-04,17,55,47,2034
2023-05,22,53,47,2034
2023-06,20,56,44,2043
2023-07,21,57,44,2049
2023-08,22,53,45,2036
2023-09,20,52,46,2046
2023-10,20,53,46,2041
2023-11,22,53,46,2051
2023-12,21,52,46,2076
2024-01,22,53,47,2075
2024-02,13,53,48,2088
2024-03,21,54,48,2095
2024-04,20,54,46,2096
2024-05,22,53,48,2102
2024-06,19,52,44,2110
2024-07,21,55,45,2125
2024-08,22,55,48,2120
2024-09,20,57,45,2121
2024-10,19,56,47,2134
2024-11,21,55,46,2135
2024-12,22,55,45,2151
2025-01,15,55,46,2166
2025-02,19,55,45,2169
2025-03,21,54,46,2178
2025-04,20,53,46,2170
2025-05,20,56,46,2189
2025-06,21,55,46,2189
2025-07,23,56,44,2180
2025-08,21,54,47,2203
2025-09,21,52,47,2215
2025-10,20,56,45,2222
2025-11,20,60,43,2226
2025-12,22,57,45,2238
2026-01,21,56,45,2266
2026-02,12,53,46,2283
2026-03,22,55,45,2283
