ym,sum,count,p
2017-03,15,343,0.043731778425655975
2017-04,10,278,0.03597122302158273
2017-05,25,297,0.08417508417508418
2017-06,17,316,0.05379746835443038
2017-07,13,308,0.04220779220779221
2017-08,12,405,0.02962962962962963
2017-09,10,381,0.026246719160104987
2017-10,14,331,0.04229607250755287
2017-11,25,380,0.06578947368421052
2017-12,12,311,0.03858520900321544
2018-01,11,341,0.03225806451612903
2018-02,13,224,0.05803571428571429
2018-03,10,368,0.02717391304347826
2018-04,15,299,0.05016722408026756
2018-05,19,323,0.058823529411764705
2018-06,8,345,0.02318840579710145
2018-07,16,276,0.057971014492753624
2018-08,16,293,0.05460750853242321
2018-09,19,248,0.07661290322580645
2018-10,20,263,0.07604562737642585
2018-11,10,251,0.0398406374501992
2018-12,12,267,0.0449438202247191
2019-01,19,265,0.07169811320754717
2019-02,12,252,0.047619047619047616
2019-03,19,313,0.06070287539936102
2019-04,13,280,0.04642857142857143
2019-05,18,256,0.0703125
2019-06,13,192,0.06770833333333333
2019-07,10,271,0.03690036900369004
2019-08,10,273,0.03663003663003663
2019-09,12,249,0.04819277108433735
2019-10,13,259,0.05019305019305019
2019-11,10,252,0.03968253968253968
2019-12,16,293,0.05460750853242321
2020-01,7,208,0.03365384615384615
2020-02,3,280,0.010714285714285714
2020-03,25,320,0.078125
2020-04,28,366,0.07650273224043716
2020-05,23,392,0.058673469387755105
2020-06,20,398,0.05025125628140704
2020-07,15,411,0.0364963503649635
2020-08,18,411,0.043795620437956206
2020-09,13,377,0.034482758620689655
2020-10,19,337,0.05637982195845697
2020-11,21,438,0.04794520547945205
2020-12,21,472,0.04449152542372881
2021-01,14,423,0.03309692671394799
2021-02,17,330,0.051515151515151514
2021-03,15,494,0.030364372469635626
2021-04,21,521,0.04030710172744722
2021-05,13,452,0.028761061946902654
2021-06,13,414,0.03140096618357488
2021-07,16,439,0.03644646924829157
2021-08,20,333,0.06006006006006006
2021-09,21,334,0.06287425149700598
2021-10,20,327,0.06116207951070336
2021-11,17,395,0.043037974683544304
2021-12,9,384,0.0234375
2022-01,15,351,0.042735042735042736
2022-02,10,242,0.04132231404958678
2022-03,15,380,0.039473684210526314
2022-04,16,325,0.04923076923076923
2022-05,25,329,0.07598784194528875
2022-06,13,269,0.048327137546468404
2022-07,22,372,0.05913978494623656
2022-08,11,435,0.02528735632183908
2022-09,12,358,0.0335195530726257
2022-10,18,322,0.055900621118012424
2022-11,15,362,0.04143646408839779
2022-12,15,357,0.04201680672268908
2023-01,15,234,0.0641025641025641
2023-02,10,334,0.029940119760479042
2023-03,12,460,0.02608695652173913
2023-04,10,363,0.027548209366391185
2023-05,17,376,0.04521276595744681
2023-06,12,433,0.02771362586605081
2023-07,20,445,0.0449438202247191
2023-08,8,364,0.02197802197802198
2023-09,11,317,0.03470031545741325
2023-10,10,290,0.034482758620689655
2023-11,19,413,0.04600484261501211
2023-12,8,368,0.021739130434782608
2024-01,11,318,0.03459119496855346
2024-02,12,335,0.03582089552238806
2024-03,18,480,0.0375
2024-04,17,446,0.03811659192825112
2024-05,20,482,0.04149377593360996
2024-06,16,453,0.03532008830022075
2024-07,17,550,0.03090909090909091
2024-08,21,521,0.04030710172744722
2024-09,17,403,0.04218362282878412
2024-10,10,319,0.03134796238244514
2024-11,13,371,0.03504043126684636
2024-12,12,322,0.037267080745341616
2025-01,10,274,0.0364963503649635
2025-02,17,426,0.03990610328638498
2025-03,7,362,0.019337016574585635
2025-04,20,432,0.046296296296296294
2025-05,16,337,0.04747774480712166
2025-06,15,347,0.043227665706051875
2025-07,12,340,0.03529411764705882
2025-08,14,426,0.03286384976525822
2025-09,19,373,0.05093833780160858
2025-10,11,373,0.029490616621983913
2025-11,18,339,0.05309734513274336
2025-12,13,333,0.03903903903903904
2026-01,15,451,0.03325942350332594
2026-02,14,319,0.0438871473354232
2026-03,20,430,0.046511627906976744
