ym,sum,count,p
2017-03,30,460,0.06521739130434782
2017-04,22,354,0.062146892655367235
2017-05,33,358,0.09217877094972067
2017-06,33,428,0.07710280373831775
2017-07,21,401,0.05236907730673317
2017-08,25,489,0.05112474437627812
2017-09,22,453,0.04856512141280353
2017-10,31,443,0.06997742663656885
2017-11,40,478,0.08368200836820083
2017-12,24,384,0.0625
2018-01,23,433,0.053117782909930716
2018-02,18,261,0.06896551724137931
2018-03,32,441,0.07256235827664399
2018-04,22,365,0.06027397260273973
2018-05,27,393,0.06870229007633588
2018-06,17,413,0.04116222760290557
2018-07,25,353,0.0708215297450425
2018-08,26,361,0.07202216066481995
2018-09,36,300,0.12
2018-10,21,280,0.075
2018-11,15,274,0.05474452554744526
2018-12,22,309,0.07119741100323625
2019-01,31,329,0.09422492401215805
2019-02,21,305,0.06885245901639345
2019-03,26,381,0.06824146981627296
2019-04,25,366,0.06830601092896176
2019-05,30,322,0.09316770186335403
2019-06,22,249,0.08835341365461848
2019-07,18,359,0.05013927576601671
2019-08,17,329,0.05167173252279635
2019-09,20,324,0.06172839506172839
2019-10,25,367,0.0681198910081744
2019-11,24,347,0.069164265129683
2019-12,32,404,0.07920792079207921
2020-01,23,302,0.076158940397351
2020-02,9,317,0.028391167192429023
2020-03,25,333,0.07507507507507508
2020-04,29,372,0.07795698924731183
2020-05,29,427,0.06791569086651054
2020-06,31,491,0.06313645621181263
2020-07,29,503,0.05765407554671968
2020-08,25,489,0.05112474437627812
2020-09,22,437,0.05034324942791762
2020-10,24,431,0.05568445475638051
2020-11,41,546,0.07509157509157509
2020-12,29,547,0.05301645338208409
2021-01,19,492,0.03861788617886179
2021-02,30,416,0.07211538461538461
2021-03,20,553,0.03616636528028933
2021-04,29,600,0.04833333333333333
2021-05,19,472,0.04025423728813559
2021-06,20,456,0.043859649122807015
2021-07,26,524,0.04961832061068702
2021-08,28,404,0.06930693069306931
2021-09,29,387,0.07493540051679587
2021-10,28,386,0.07253886010362694
2021-11,23,456,0.05043859649122807
2021-12,13,491,0.026476578411405296
2022-01,18,396,0.045454545454545456
2022-02,27,330,0.08181818181818182
2022-03,25,459,0.054466230936819175
2022-04,18,361,0.04986149584487535
2022-05,32,372,0.08602150537634409
2022-06,22,324,0.06790123456790123
2022-07,30,412,0.07281553398058252
2022-08,14,473,0.02959830866807611
2022-09,23,407,0.056511056511056514
2022-10,25,349,0.07163323782234957
2022-11,29,430,0.06744186046511629
2022-12,18,418,0.0430622009569378
2023-01,25,287,0.08710801393728224
2023-02,14,403,0.034739454094292806
2023-03,29,549,0.052823315118397086
2023-04,15,444,0.033783783783783786
2023-05,29,477,0.06079664570230608
2023-06,23,521,0.044145873320537425
2023-07,28,553,0.05063291139240506
2023-08,15,422,0.035545023696682464
2023-09,27,402,0.06716417910447761
2023-10,33,396,0.08333333333333333
2023-11,27,515,0.05242718446601942
2023-12,22,479,0.04592901878914405
2024-01,17,413,0.04116222760290557
2024-02,21,429,0.04895104895104895
2024-03,28,576,0.04861111111111111
2024-04,28,542,0.05166051660516605
2024-05,24,567,0.042328042328042326
2024-06,25,564,0.044326241134751775
2024-07,22,638,0.034482758620689655
2024-08,22,544,0.04044117647058824
2024-09,26,470,0.05531914893617021
2024-10,19,398,0.04773869346733668
2024-11,22,461,0.04772234273318872
2024-12,20,396,0.050505050505050504
2025-01,15,328,0.04573170731707317
2025-02,28,495,0.05656565656565657
2025-03,14,421,0.0332541567695962
2025-04,21,439,0.04783599088838269
2025-05,23,362,0.06353591160220995
2025-06,20,410,0.04878048780487805
2025-07,22,430,0.05116279069767442
2025-08,21,511,0.0410958904109589
2025-09,28,462,0.06060606060606061
2025-10,17,458,0.03711790393013101
2025-11,22,401,0.05486284289276808
2025-12,20,397,0.05037783375314862
2026-01,17,532,0.03195488721804511
2026-02,27,377,0.07161803713527852
2026-03,21,469,0.04477611940298507
