sid,name,asof,last_bar_date,label,gate_reason,ma_struct,hl_struct,hi_cmp,lo_cmp,close,ma20,ma20_prev,confirm_price,confirm_date,confirm_exdiv,confirm_raw,break_price,break_date,break_exdiv,break_raw,swing_hi_dates,swing_hi_vals,swing_lo_dates,swing_lo_vals,n_bars,F_asof,last_attention,bp_scan_from,confirm_events,break_events,note,confirm_text,break_text
2609,陽明,2026-09-24,2026-09-24,偏漲,,A,上升,HH,HL,59.6,59.04,58.955,67.3,2026-08-25,False,67.3,56.5,2026-09-09,False,56.5,"2026-07-24,2026-08-25","52.0000,67.3000","2026-08-28,2026-09-09","55.8000,56.5000",2850,1.0,2025-06-10,2025-09-24,,,,收盤站上 67.30 ＝ 越過最近擺動高點,收盤跌破 56.50 ＝ 跌破最近擺動低點
6209,今國光,2026-09-24,2026-09-24,盤整（A：最強；高低點混合）,,A,混合,LH,HL,79.9,79.315,79.14500000000001,84.8,2026-09-11,False,84.8,75.3,2026-09-15,False,75.3,"2026-09-02,2026-09-11","88.5000,84.8000","2026-07-30,2026-09-15","56.2973,75.3000",2859,1.0,2026-09-17,2025-09-24,,,,收盤站上 84.80 ＝ 越過最近擺動高點,收盤跌破 75.30 ＝ 跌破最近擺動低點
3535,晶彩科,2026-09-24,2026-09-24,盤整（B：剛轉，未確認；高低點下降）,,B,下降,LH,LL,88.4,87.025,87.08,93.5,2026-09-07,False,93.5,81.1,2026-09-15,False,81.1,"2026-06-18,2026-09-07","137.5000,93.5000","2026-08-25,2026-09-15","82.8000,81.1000",2859,1.0,2026-06-04,2025-09-24,,,,收盤站上 93.50 ＝ 越過最近擺動高點,收盤跌破 81.10 ＝ 跌破最近擺動低點
4164,承業醫,2026-09-24,2026-09-24,盤整（A：最強；高低點混合）,,A,混合,LH,HL,26.4,25.932499999999997,25.927500000000002,26.4,2026-09-07,False,26.4,25.65,2026-08-31,False,25.65,"2026-08-21,2026-09-07","26.8000,26.4000","2026-08-19,2026-08-31","25.5000,25.6500",2859,1.0,2025-10-15,2025-09-24,,,,收盤站上 26.40 ＝ 越過最近擺動高點,收盤跌破 25.65 ＝ 跌破最近擺動低點
6282,康舒,2026-09-24,2026-09-24,偏跌,,D,下降,LH,LL,42.85,43.4275,43.542500000000004,46.1,2026-08-28,False,46.1,41.55,2026-09-15,False,41.55,"2026-08-11,2026-08-28","49.8515,46.1000","2026-08-25,2026-09-15","43.0000,41.5500",2858,1.0,2026-06-10,2025-09-24,,,,收盤站上 46.10 ＝ 越過最近擺動高點,收盤跌破 41.55 ＝ 跌破最近擺動低點
6443,元晶,2026-09-24,2026-09-24,盤整（A：最強；高低點混合）,,A,混合,LH,HL,28.25,25.195,25.1175,27.5,2026-08-28,False,27.5,24.9,2026-08-25,False,24.9,"2026-08-17,2026-08-28","28.8000,27.5000","2026-07-30,2026-08-25","22.1500,24.9000",2674,1.0,2026-04-27,2025-09-24,,,,收盤站上 27.50 ＝ 越過最近擺動高點,收盤跌破 24.90 ＝ 跌破最近擺動低點
8289,泰藝,2026-09-24,2026-09-24,盤整（B：剛轉，未確認；高低點下降）,,B,下降,LH,LL,44.75,44.0575,44.17,50.0,2026-08-13,False,50.0,40.15,2026-09-14,False,40.15,"2026-07-03,2026-08-13","67.5000,50.0000","2026-08-25,2026-09-14","44.1000,40.1500",2851,1.0,2026-07-06,2025-09-24,,,,收盤站上 50.00 ＝ 越過最近擺動高點,收盤跌破 40.15 ＝ 跌破最近擺動低點
6469,大樹,2026-09-24,2026-09-24,偏跌,,D,下降,LH,LL,64.2,66.15,66.39500000000001,71.5,2026-08-24,False,71.5,66.8,2026-08-19,False,66.8,"2026-08-05,2026-08-24","73.2000,71.5000","2026-07-29,2026-08-19","69.2256,66.8000",2559,1.0,2026-02-04,2025-09-24,,,,收盤站上 71.50 ＝ 越過最近擺動高點,收盤跌破 66.80 ＝ 跌破最近擺動低點
