版本,持有,量,筆數,相異檔數,月數,p10,p10_lo,p10_hi,p25,p25_lo,p25_hi,p50,p50_lo,p50_hi,p75,p75_lo,p75_hi,p90,p90_lo,p90_hi,平均
主表,20,報酬（扣0.585%）,2880,918,109,-0.1327370468391092,-0.14221363636363624,-0.1203055421686748,-0.07555074843293699,-0.08863255907363127,-0.062137425149700644,-0.01410334476162365,-0.026001644016929892,-0.0003483011283601726,0.05956235708029713,0.0424772728898978,0.07786040723981894,0.16059873659587692,0.13339460916442047,0.18736075013943101,0.006713443733719745
主表,20,期間最高點（未扣成本）,2880,918,109,0.010016372178633383,0.008156421647383122,0.012154696132596676,0.0261755639281695,0.02262443438914019,0.030905695081520423,0.06326551017347393,0.05509585155822849,0.07334303703750981,0.13139271008796555,0.11356466876971605,0.14877688287977459,0.24476578073089705,0.21244871036870813,0.279000404489837,0.10397733818097878
主表,60,報酬（扣0.585%）,2880,918,109,-0.21094694774309553,-0.24270147085917823,-0.1892097786269312,-0.11167692307692303,-0.1349905450182844,-0.08922748965271618,0.0032439520231025915,-0.022630210627243408,0.024322413793103424,0.14819131687023532,0.11067254161673326,0.19578317868277828,0.4392144110588239,0.3513727971113039,0.5303647474905052,0.07722524071749107
主表,60,期間最高點（未扣成本）,2880,918,109,0.020176271735754474,0.01587301587301604,0.026022304832713727,0.05591644643023852,0.04677917664323794,0.06501224914936171,0.13815530396258902,0.12060210136180499,0.15830799514822572,0.3053399165802297,0.2650100702313808,0.35925925925925917,0.626824691928952,0.5358054127106636,0.7114894598155467,0.25678387889448356
主表,120,報酬（扣0.585%）,2880,918,109,-0.2894007855566378,-0.32378252227333554,-0.25327268041237105,-0.14558240874670306,-0.18087652702906087,-0.11624657020364423,0.015004001547530808,-0.018929004464062767,0.04705357580812029,0.2514215572715572,0.19144532463649677,0.3267034980935063,0.7283831225698565,0.5670120929565061,0.8806194781584558,0.1533971919504446
主表,120,期間最高點（未扣成本）,2880,918,109,0.02866359447004614,0.023375803941551452,0.03633580239163857,0.08165314318498479,0.0714285714285714,0.09649153583935417,0.20978119747135604,0.17521367521367526,0.2441860465116279,0.48817194403534614,0.4016014763278467,0.5828433271011395,1.0605894641144245,0.8919216057292898,1.2411128284389488,0.43141378835759264
敏感度：剔硬斷點,20,報酬（扣0.585%）,2880,918,109,-0.1327370468391092,-0.14221363636363624,-0.1203055421686748,-0.07555074843293699,-0.08863255907363127,-0.062137425149700644,-0.01410334476162365,-0.026001644016929892,-0.0003483011283601726,0.05956235708029713,0.0424772728898978,0.07786040723981894,0.16059873659587692,0.13339460916442047,0.18736075013943101,0.006713443733719745
敏感度：剔硬斷點,20,期間最高點（未扣成本）,2880,918,109,0.010016372178633383,0.008156421647383122,0.012154696132596676,0.0261755639281695,0.02262443438914019,0.030905695081520423,0.06326551017347393,0.05509585155822849,0.07334303703750981,0.13139271008796555,0.11356466876971605,0.14877688287977459,0.24476578073089705,0.21244871036870813,0.279000404489837,0.10397733818097878
敏感度：剔硬斷點,60,報酬（扣0.585%）,2880,918,109,-0.21094694774309553,-0.24270147085917823,-0.1892097786269312,-0.11167692307692303,-0.1349905450182844,-0.08922748965271618,0.0032439520231025915,-0.022630210627243408,0.024322413793103424,0.14819131687023532,0.11067254161673326,0.19578317868277828,0.4392144110588239,0.3513727971113039,0.5303647474905052,0.07722524071749107
敏感度：剔硬斷點,60,期間最高點（未扣成本）,2880,918,109,0.020176271735754474,0.01587301587301604,0.026022304832713727,0.05591644643023852,0.04677917664323794,0.06501224914936171,0.13815530396258902,0.12060210136180499,0.15830799514822572,0.3053399165802297,0.2650100702313808,0.35925925925925917,0.626824691928952,0.5358054127106636,0.7114894598155467,0.25678387889448356
敏感度：剔硬斷點,120,報酬（扣0.585%）,2880,918,109,-0.2894007855566378,-0.32378252227333554,-0.25327268041237105,-0.14558240874670306,-0.18087652702906087,-0.11624657020364423,0.015004001547530808,-0.018929004464062767,0.04705357580812029,0.2514215572715572,0.19144532463649677,0.3267034980935063,0.7283831225698565,0.5670120929565061,0.8806194781584558,0.1533971919504446
敏感度：剔硬斷點,120,期間最高點（未扣成本）,2880,918,109,0.02866359447004614,0.023375803941551452,0.03633580239163857,0.08165314318498479,0.0714285714285714,0.09649153583935417,0.20978119747135604,0.17521367521367526,0.2441860465116279,0.48817194403534614,0.4016014763278467,0.5828433271011395,1.0605894641144245,0.8919216057292898,1.2411128284389488,0.43141378835759264
敏感度：entry+k,20,報酬（扣0.585%）,2880,918,109,-0.12943114147088863,-0.14122117903930118,-0.11754885714549994,-0.0772785714285715,-0.0874832908163265,-0.06140555555555558,-0.010275558579904844,-0.021426323987539055,0.0020676781002638414,0.06643887945069718,0.048131807438043475,0.08645855855855845,0.17154441638521345,0.14480160364597142,0.20328107511045626,0.011960378815848752
敏感度：entry+k,20,期間最高點（未扣成本）,2880,918,109,0.010098973607037976,0.008333333333333304,0.012585993395707333,0.026803380665845367,0.023273850535249163,0.03184115179252478,0.06590910489493185,0.05747126436781613,0.07472527472527468,0.13792948407227773,0.11904761904761907,0.15392170050457943,0.2579486831387455,0.22297608597658597,0.2852804557405783,0.10827103625758067
敏感度：entry+k,60,報酬（扣0.585%）,2880,918,109,-0.21367044042913602,-0.2421094949558845,-0.1872994638182893,-0.11413473398013022,-0.13628481116223717,-0.09290357142857139,0.001576070081813618,-0.021579229068763164,0.02139582765667568,0.1502114574966711,0.11186410101388278,0.20171154646209288,0.43133955561134807,0.34114025619583255,0.5169457202244631,0.07455090015960662
敏感度：entry+k,60,期間最高點（未扣成本）,2880,918,109,0.02039726146869008,0.015988048351373914,0.02612165184681707,0.05606787417638465,0.047666278827452,0.06578947368421062,0.1391829251418294,0.12194984308759577,0.15926892950391625,0.30691108092483504,0.2668178755004804,0.36328888550222077,0.6346237186432195,0.5454465569579805,0.7291841116483134,0.26020913189945066
敏感度：entry+k,120,報酬（扣0.585%）,2880,918,109,-0.29062547376675907,-0.32533903245511575,-0.2546990527330697,-0.1467540794570105,-0.17864520354436889,-0.11809489795918368,0.016294398313119095,-0.01713021865929152,0.04682138146735146,0.2570286997967576,0.1895391750653089,0.3292417457015965,0.726023266569353,0.5755995671870284,0.8636987670203153,0.15352409656143037
敏感度：entry+k,120,期間最高點（未扣成本）,2880,918,109,0.02866359447004614,0.023375803941551452,0.03642426740187029,0.08242923618788073,0.07142857142857162,0.09722345596970187,0.21048155037280813,0.17645977783826064,0.2454308093994777,0.4886817859127107,0.406385131009991,0.5862469806763283,1.0836418070197396,0.8933906148895993,1.2473504978362524,0.4341310590515759
