date,stock_id,high,low,avg_price,volume,amount,transactions,price_basis
2026-01-23,7879,198.00,83.50,150.16,1434628,215416619,926,均價
2026-01-26,7879,164.00,136.50,148.97,1285622,191516819,1348,均價
2026-01-27,7879,155.00,138.50,144.01,811241,116829122,888,均價
2026-01-28,7879,146.00,135.50,140.13,629775,88249138,487,均價
2026-01-29,7879,166.00,142.50,152.18,874641,133098951,834,均價
2026-01-30,7879,159.00,139.50,145.07,488688,70896026,508,均價
2026-02-02,7879,148.00,138.00,140.14,310106,43459721,312,均價
2026-02-03,7879,144.00,124.50,131.08,655188,85883529,675,均價
2026-02-04,7879,131.50,111.00,116.43,365288,42528783,524,均價
2026-02-05,7879,120.00,110.50,114.58,232770,26671748,272,均價
2026-02-06,7879,113.00,99.10,101.92,430216,43846255,488,均價
2026-02-09,7879,118.50,100.00,109.03,334378,36455674,325,均價
2026-02-10,7879,113.50,100.00,105.06,230597,24225614,281,均價
2026-02-11,7879,104.00,95.10,99.94,234493,23436106,334,均價
2026-02-23,7879,100.50,94.10,96.79,212582,20575600,355,均價
2026-02-24,7879,110.00,89.80,95.08,607934,57803821,700,均價
2026-02-25,7879,104.00,95.00,98.01,227918,22339368,280,均價
2026-02-26,7879,99.40,90.10,92.67,187581,17383395,283,均價
2026-03-02,7879,96.50,91.60,92.74,101843,9444638,116,均價
2026-03-03,7879,94.90,89.00,90.64,121905,11049766,205,均價
2026-03-04,7879,91.90,84.10,86.28,139147,12005925,190,均價
2026-03-05,7879,89.30,80.00,83.76,164592,13786417,242,均價
2026-03-06,7879,93.50,77.00,83.78,281478,23582902,312,均價
2026-03-09,7879,88.00,83.10,84.53,94071,7952281,94,均價
2026-03-10,7879,86.20,80.00,82.55,153898,12703981,137,均價
2026-03-11,7879,85.20,81.00,83.50,80188,6695518,114,均價
2026-03-12,7879,84.20,79.10,80.79,72943,5892710,128,均價
2026-03-13,7879,82.30,80.00,81.14,103518,8399879,70,均價
2026-03-16,7879,83.00,80.00,81.08,112933,9156620,101,均價
2026-03-17,7879,101.00,80.10,89.52,327699,29336764,407,均價
2026-03-18,7879,103.00,93.20,98.38,419434,41262242,437,均價
2026-03-19,7879,100.00,87.50,91.45,229929,21027610,281,均價
2026-03-20,7879,106.00,95.10,99.91,345860,34554589,454,均價
2026-03-23,7879,119.50,95.00,110.04,1089538,119896866,1135,均價
2026-03-24,7879,126.00,99.80,109.61,936926,102700043,998,均價
2026-03-25,7879,111.50,103.50,106.19,303007,32176035,327,均價
2026-03-26,7879,138.50,106.50,123.31,1454893,179396186,1790,均價
2026-03-27,7879,131.00,114.00,122.88,672342,82617151,912,均價
2026-03-30,7879,126.00,112.00,117.79,536520,63196802,571,均價
2026-03-31,7879,119.00,105.50,111.45,383472,42738723,472,均價
