date,stock_id,high,low,avg_price,volume,amount,transactions,price_basis
2015-01-05,5267,34.03,33.92,33.96,5000,169820,3,均價
2015-01-06,5267,33.85,33.42,33.61,7000,235300,3,均價
2015-01-07,5267,34.00,33.25,33.53,35000,1173430,13,均價
2015-01-08,5267,35.70,33.92,34.59,29300,1013610,13,均價
2015-01-09,5267,37.45,34.50,35.96,45000,1618320,19,均價
2015-01-12,5267,37.50,36.00,36.61,52000,1903820,22,均價
2015-01-13,5267,36.99,36.20,36.55,62300,2276843,27,均價
2015-01-14,5267,37.10,36.20,36.68,43000,1577140,16,均價
2015-01-15,5267,37.89,36.60,37.36,142501,5323127,51,均價
2015-01-16,5267,37.99,36.30,37.11,46150,1712648,19,均價
2015-01-19,5267,37.00,36.20,36.40,18501,673376,9,均價
2015-01-20,5267,36.32,36.00,36.26,29000,1051640,13,均價
2015-01-21,5267,36.32,36.30,36.32,15000,544760,3,均價
2015-01-22,5267,36.32,36.32,36.32,1000,36320,1,均價
2015-01-23,5267,36.35,36.20,36.30,11000,399310,3,均價
2015-01-26,5267,36.22,36.21,36.22,3000,108650,2,均價
2015-01-27,5267,0.00,0.00,0.00,0,0,0,均價
2015-01-28,5267,0.00,0.00,0.00,0,0,0,均價
2015-01-29,5267,36.20,36.20,36.20,1000,36200,1,均價
2015-01-30,5267,36.20,36.20,36.20,2500,90500,3,均價
2015-02-02,5267,0.00,0.00,0.00,0,0,0,均價
2015-02-03,5267,36.32,36.20,36.26,2000,72520,2,均價
2015-02-04,5267,36.20,35.14,35.65,14150,504391,8,均價
2015-02-05,5267,35.15,34.52,34.76,6000,208560,4,均價
2015-02-06,5267,0.00,0.00,0.00,0,0,0,均價
2015-02-09,5267,0.00,0.00,0.00,0,0,0,均價
2015-02-10,5267,0.00,0.00,0.00,0,0,0,均價
2015-02-11,5267,35.00,35.00,35.00,2000,70000,2,均價
2015-02-12,5267,0.00,0.00,0.00,0,0,0,均價
2015-02-13,5267,0.00,0.00,0.00,0,0,0,均價
2015-02-24,5267,35.19,34.99,35.09,20000,701800,2,均價
2015-02-25,5267,0.00,0.00,0.00,0,0,0,均價
