arm,seed,r,eq_sha,tr,tr_prev,cagr,mdd,expo,slot,trades,hold_days
A1,102000,0,c5e389bbcf8307da4cd9d7fa3eeb2efef337fa3cd210ce8988cc0d9e05a7a4d7,14.004657118642077,13.841644902040136,0.33226140252993863,-0.4300046277409148,0.8735712567990561,0.8871002592912706,138,
A1,102001,1,4156e2eedcc33c05b3439a9137cbd01bcf56d877681396f23b7abb334ed7a72c,18.39521224519426,18.184388471195017,0.36897817560583657,-0.39720042577325804,0.8700662671379567,0.8871002592912706,138,
A1,102002,2,be56a6b3b9d2fbfce7a41da35051eb27537777215ede7ccb712482326f081ee8,25.026336148813822,24.74339532578485,0.4122931630315456,-0.4381256202015159,0.8714891404959425,0.8871002592912706,138,
A1,102003,3,1be38e50503704a6966ee9729898dc34de69608042fa8f96d78dc270a59d7bcf,8.13192768183048,8.032662505059932,0.2639960005091002,-0.505093964787667,0.8718130915190432,0.8871002592912706,138,
A1,102004,4,20f8ad445058e6c0fd5d1bbded9e684b2d601998b6fba2215650652d5d975fd8,8.377043939789727,8.27515339448273,0.2675473282250662,-0.47625663536988466,0.8662928839174925,0.8871002592912706,138,
A1,102005,5,80a9e639a5fc52be2b1e57ec88760ad1e6fbeda403b13ca915251a8bc0be2a0e,12.536810633984896,12.389694950828412,0.3178126014664715,-0.42432468818930624,0.8724230711913061,0.8871002592912706,138,
A1,102006,6,89f3a343875abb4aec0a775d47f85e21934c6640fe847f8b134f36b9c6d9a3b0,25.003589775061542,24.72092755678466,0.4121623701270869,-0.41888028203099725,0.8735616881165151,0.8871002592912706,138,
A1,102007,7,4f445010108fde8e427fa32f215b50bc303d1905da8ed14c4edd545fefbf7744,8.2987407749211,8.197662319317189,0.2664219596812831,-0.4106868040890558,0.8691116928041189,0.8871002592912706,138,
A1,102008,8,bab3d317777055a67952b2207a7a656f12ddf97d10fe913fc43e6ae61b845b11,6.866041883742314,6.780545456239393,0.24417430764396686,-0.41201126376468283,0.8723043810250268,0.8871002592912706,138,
A1,102009,9,13d0fad0a40f281c01d3dfe8534f2e2a3808af0e0b01f074154c7e1fce1af758,14.113314416693305,13.949093809730092,0.33328001956123554,-0.41926809275567534,0.8677760278349507,0.880671996542783,137,
A1,102010,10,6f9b2cbc075f609d8fca5c0f8d955a78d5de6afb03386f67baf42b607041c2cd,16.176601047717746,15.989980921526492,0.3514759136408432,-0.40051625149000786,0.8760768455859508,0.8871002592912706,138,
A1,102011,11,6f0f1dcb825ae4f61e80103c197428494f7a0807d54a981e5d9a9b8f4b73d5ff,12.467336661799921,12.321016906203155,0.317094561894409,-0.4129663582594168,0.875406396769175,0.8871002592912706,138,
