w,cagr_med,cagr_p10,cagr_p90,mdd_med,mdd_p10,mdd_p90,calmar_med,通過,說明
0.0,0.24020209886370614,0.24020209886370614,0.24020209886370614,-0.3395700527611012,-0.3395700527611012,-0.3395700527611012,0.7073712681980713,True,年化 +24.02% vs +24.02%（✅，嚴格優）／回落 -33.96% vs -34.00%（✅，嚴格優）
0.25,0.25181144496933106,0.23203309056148755,0.283433557317196,-0.31442399361214834,-0.3415713885297314,-0.29769361374148484,0.7940727411908981,True,年化 +25.18% vs +24.02%（✅，嚴格優）／回落 -31.44% vs -34.00%（✅，嚴格優）
0.5,0.2625773543923834,0.22337956488569716,0.3170401809523066,-0.3415766621879117,-0.3785644034137839,-0.3141869447904538,0.7680393579451475,False,年化 +26.26% vs +24.02%（✅，嚴格優）／回落 -34.16% vs -34.00%（⛔）
0.75,0.272619961382907,0.21417628277138698,0.344669622783126,-0.37519200452833246,-0.41862463190142385,-0.33354519390409765,0.7352398377320638,False,年化 +27.26% vs +24.02%（✅，嚴格優）／回落 -37.52% vs -34.00%（⛔）
1.0,0.2820350701063953,0.20434354723573306,0.36820505943804477,-0.41432426935458594,-0.4752480902205003,-0.3702335898105889,0.6775041896092207,False,年化 +28.20% vs +24.02%（✅，嚴格優）／回落 -41.43% vs -34.00%（⛔）
