stock_id,market,date,ratio
2327,twse,2025-08-25,0.2619047619047619
3086,tpex,2026-04-20,0.11
3093,tpex,2022-12-12,0.2538812785388128
4415,tpex,2017-11-22,2.4789915966386555
4747,tpex,2026-08-31,0.48407079646017703
4763,twse,2025-06-30,0.10225988700564971
5278,tpex,2024-12-09,0.10985915492957747
5314,tpex,2025-03-31,0.05453237410071942
5536,tpex,2022-09-19,0.5145631067961165
5904,tpex,2026-08-10,0.11
6131,twse,2019-04-10,0.2561797752808989
6415,twse,2022-07-13,0.22535211267605634
6531,twse,2021-10-18,0.5033333333333334
6548,tpex,2019-09-09,0.10993589743589742
6548,tpex,2022-09-05,0.40452538631346585
6613,tpex,2022-08-29,0.5443786982248521
6763,tpex,2024-09-09,0.09490835030549899
6919,twse,2025-07-21,0.10987654320987654
7780,twse,2026-01-19,0.11
8070,twse,2020-08-17,0.10999999999999999
8101,twse,2024-11-19,5.5
8422,twse,2025-11-17,0.0988
8476,twse,2024-11-11,0.5076530612244898
8932,tpex,2024-09-09,0.4884955752212389
8932,tpex,2026-03-09,0.45012531328320804
8937,tpex,2026-04-13,0.2611683848797251
