file（~/us_work/usw1b/，repo 外）,rows,sha256
panel_monthly.csv.gz,89712,d38661b414bf50b20607af9ad392f3fb3f4ad6a409dc5b0de55f52dda1bec3a4
signals.csv.gz,6714,12931647d3ed31db53016651a3f3ef9fc6d3b7af3f40eab176d2be124ff8ee8a
