stock_id,name,market,kind,first_seen,last_seen
00690,兆豐藍籌30,twse,etf,2026-09-02,2026-09-02
00692,富邦公司治理,twse,etf,2026-09-02,2026-09-02
00693U,期街口S&P黃豆,twse,etf,2026-09-02,2026-09-02
00694B,富邦美債1-3,tpex,etf,2026-09-02,2026-09-02
00695B,富邦美債7-10,tpex,etf,2026-09-02,2026-09-02
00696B,富邦美債20年,tpex,etf,2026-09-02,2026-09-02
00697B,元大美債7-10,tpex,etf,2026-09-02,2026-09-02
00700,富邦恒生國企,twse,etf,2026-09-02,2026-09-02
00701,國泰股利精選30,twse,etf,2026-09-02,2026-09-02
00702,國泰標普低波高息,twse,etf,2026-09-02,2026-09-02
00703,台新MSCI中國,twse,etf,2026-09-02,2026-09-02
00706L,期元大S&P日圓正2,twse,etf,2026-09-02,2026-09-02
00708L,期元大S&P黃金正2,twse,etf,2026-09-02,2026-09-02
00709,富邦歐洲,twse,etf,2026-09-02,2026-09-02
00710B,復華彭博非投等債,twse,etf,2026-09-02,2026-09-02
00711B,復華彭博新興債,twse,etf,2026-09-02,2026-09-02
00712,復華富時不動產,twse,etf,2026-09-02,2026-09-02
00713,元大台灣高息低波,twse,etf,2026-09-02,2026-09-02
00714,群益道瓊美國地產,twse,etf,2026-09-02,2026-09-02
00715L,期街口布蘭特正2,twse,etf,2026-09-02,2026-09-02
00717,富邦美國特別股,twse,etf,2026-09-02,2026-09-02
00719B,元大美債1-3,tpex,etf,2026-09-02,2026-09-02
00720B,元大投資級公司債,tpex,etf,2026-09-02,2026-09-02
00722B,群益投資級電信債,tpex,etf,2026-09-02,2026-09-02
00723B,群益投資級科技債,tpex,etf,2026-09-02,2026-09-02
00724B,群益投資級金融債,tpex,etf,2026-09-02,2026-09-02
00725B,國泰投資級公司債,tpex,etf,2026-09-02,2026-09-02
00726B,國泰新興投等債,tpex,etf,2026-09-02,2026-09-02
00727B,國泰優選非投等債,tpex,etf,2026-09-02,2026-09-02
00728,第一金工業30,twse,etf,2026-09-02,2026-09-02
00730,富邦臺灣優質高息,twse,etf,2026-09-02,2026-09-02
00731,復華富時高息低波,twse,etf,2026-09-02,2026-09-02
00733,富邦臺灣中小,twse,etf,2026-09-02,2026-09-02
00734B,台新JPM新興債,tpex,etf,2026-09-02,2026-09-02
00735,國泰臺韓科技,twse,etf,2026-09-02,2026-09-02
00736,國泰新興市場,twse,etf,2026-09-02,2026-09-02
00737,國泰AI機器人,twse,etf,2026-09-02,2026-09-02
00738U,期元大道瓊白銀,twse,etf,2026-09-02,2026-09-02
00739,元大MSCI A股,twse,etf,2026-09-02,2026-09-02
00740B,富邦全球投等債,tpex,etf,2026-09-02,2026-09-02
00741B,富邦全球非投等債,tpex,etf,2026-09-02,2026-09-02
00746B,富邦A級公司債,tpex,etf,2026-09-02,2026-09-02
00749B,凱基新興債10+,tpex,etf,2026-09-02,2026-09-02
00750B,凱基科技債10+,tpex,etf,2026-09-02,2026-09-02
00751B,元大AAA至A公司債,tpex,etf,2026-09-02,2026-09-02
00752,中信中國50,twse,etf,2026-09-02,2026-09-02
00753L,中信中國50正2,twse,etf,2026-09-02,2026-09-02
00754B,群益AAA-AA公司債,tpex,etf,2026-09-02,2026-09-02
00755B,群益投資級公用債,tpex,etf,2026-09-02,2026-09-02
00756B,群益投等新興公債,tpex,etf,2026-09-02,2026-09-02
00757,統一FANG+,twse,etf,2026-09-02,2026-09-02
00758B,復華能源債,tpex,etf,2026-09-02,2026-09-02
00759B,復華製藥債,tpex,etf,2026-09-02,2026-09-02
00760B,復華新興企業債,tpex,etf,2026-09-02,2026-09-02
00761B,國泰A級公司債,tpex,etf,2026-09-02,2026-09-02
00762,元大全球AI,twse,etf,2026-09-02,2026-09-02
00763U,期街口道瓊銅,twse,etf,2026-09-02,2026-09-02
00764B,群益25年美債,tpex,etf,2026-09-02,2026-09-02
00768B,復華20年美債,tpex,etf,2026-09-02,2026-09-02
00770,國泰北美科技,twse,etf,2026-09-02,2026-09-02
00771,元大US高息特別股,twse,etf,2026-09-02,2026-09-02
00772B,中信高評級公司債,tpex,etf,2026-09-02,2026-09-02
00773B,中信優先金融債,tpex,etf,2026-09-02,2026-09-02
00775B,台新投等債15+,twse,etf,2026-09-02,2026-09-02
00777B,凱基AAA至A公司債,tpex,etf,2026-09-02,2026-09-02
00778B,凱基金融債20+,tpex,etf,2026-09-02,2026-09-02
00779B,凱基美債25+,tpex,etf,2026-09-02,2026-09-02
00780B,國泰A級金融債,tpex,etf,2026-09-02,2026-09-02
00781B,國泰A級科技債,tpex,etf,2026-09-02,2026-09-02
00782B,國泰A級公用債,tpex,etf,2026-09-02,2026-09-02
00783,富邦中証500,twse,etf,2026-09-02,2026-09-02
00785B,富邦金融投等債,tpex,etf,2026-09-02,2026-09-02
00786B,元大10年IG銀行債,tpex,etf,2026-09-02,2026-09-02
00787B,元大10年IG醫療債,tpex,etf,2026-09-02,2026-09-02
00788B,元大10年IG電能債,tpex,etf,2026-09-02,2026-09-02
00789B,復華公司債A3,tpex,etf,2026-09-02,2026-09-02
00791B,復華信用債1-5,tpex,etf,2026-09-02,2026-09-02
00792B,群益A級公司債,tpex,etf,2026-09-02,2026-09-02
00793B,群益AAA-A醫療債,tpex,etf,2026-09-02,2026-09-02
00795B,中信美國公債20年,tpex,etf,2026-09-02,2026-09-02
00799B,國泰A級醫療債,tpex,etf,2026-09-02,2026-09-02
00830,國泰費城半導體,twse,etf,2026-09-02,2026-09-02
