market,stock_id,start,end,days,open_ended
tpex,00411A,2026-08-25,2026-09-11,14,1
tpex,006201,2015-01-05,2016-09-23,421,0
tpex,006201,2016-09-29,2026-09-11,2428,1
tpex,00679B,2017-01-16,2026-09-11,2353,1
tpex,00687B,2017-04-12,2026-09-11,2300,1
tpex,00694B,2017-06-07,2026-09-11,2262,1
tpex,00695B,2017-06-07,2026-09-11,2262,1
tpex,00696B,2017-06-07,2026-09-11,2262,1
tpex,00697B,2017-06-22,2026-09-11,2251,1
tpex,00718B,2018-02-07,2025-06-17,1786,0
tpex,00719B,2018-01-31,2026-09-11,2095,1
tpex,00720B,2018-01-31,2026-09-11,2095,1
tpex,00721B,2018-01-31,2024-10-11,1628,0
tpex,00722B,2017-12-14,2026-09-11,2128,1
tpex,00723B,2017-12-14,2026-09-11,2128,1
tpex,00724B,2017-12-14,2026-09-11,2128,1
tpex,00725B,2018-02-06,2026-09-11,2091,1
tpex,00726B,2018-02-06,2026-09-11,2091,1
tpex,00727B,2018-02-06,2026-09-11,2091,1
tpex,00734B,2018-05-23,2026-09-11,2025,1
tpex,00740B,2018-06-07,2026-09-11,2014,1
tpex,00741B,2018-06-07,2026-09-11,2014,1
tpex,00744B,2018-08-02,2023-11-17,1292,0
tpex,00745B,2018-08-14,2022-12-08,1059,0
tpex,00746B,2018-08-14,2026-09-11,1967,1
tpex,00747B,2018-09-03,2022-12-23,1056,0
tpex,00748B,2018-09-19,2023-02-17,1075,0
tpex,00749B,2018-09-19,2026-09-11,1941,1
tpex,00750B,2018-09-19,2026-09-11,1941,1
tpex,00751B,2018-10-02,2026-09-11,1933,1
tpex,00754B,2018-10-19,2026-09-11,1921,1
tpex,00755B,2018-10-19,2026-09-11,1921,1
tpex,00756B,2018-10-19,2026-09-11,1921,1
tpex,00758B,2018-11-13,2026-09-11,1904,1
tpex,00759B,2018-11-13,2026-09-11,1904,1
tpex,00760B,2018-11-13,2026-09-11,1904,1
tpex,00761B,2018-11-29,2026-09-11,1892,1
tpex,00764B,2018-12-22,2026-09-11,1875,1
tpex,00765B,2018-12-22,2023-05-29,1074,0
tpex,00768B,2019-01-25,2026-09-11,1852,1
tpex,00769B,2019-01-25,2020-05-26,318,0
tpex,00772B,2019-01-28,2026-09-11,1851,1
tpex,00773B,2019-01-28,2026-09-11,1851,1
tpex,00777B,2019-02-13,2026-09-11,1846,1
tpex,00778B,2019-02-13,2026-09-11,1846,1
tpex,00779B,2019-02-13,2026-09-11,1846,1
tpex,00780B,2019-03-06,2026-09-11,1833,1
tpex,00781B,2019-03-06,2026-09-11,1833,1
tpex,00782B,2019-03-06,2026-09-11,1833,1
tpex,00784B,2019-03-26,2025-04-22,1477,0
tpex,00785B,2019-03-26,2026-09-11,1819,1
tpex,00786B,2019-04-01,2026-09-11,1815,1
tpex,00787B,2019-04-01,2026-09-11,1815,1
tpex,00788B,2019-04-01,2026-09-11,1815,1
tpex,00789B,2019-03-19,2026-09-11,1824,1
tpex,00790B,2019-03-19,2025-04-15,1477,0
tpex,00791B,2019-03-19,2026-09-11,1824,1
tpex,00792B,2019-04-02,2026-09-11,1814,1
tpex,00793B,2019-04-02,2026-09-11,1814,1
tpex,00794B,2019-04-29,2025-08-21,1540,0
tpex,00795B,2019-04-10,2026-09-11,1810,1
tpex,00796B,2019-04-29,2022-08-24,815,0
tpex,00797B,2019-04-10,2020-04-30,259,0
tpex,00798B,2019-05-02,2020-07-13,293,0
tpex,00799B,2019-05-02,2026-09-11,1795,1
tpex,00831B,2019-04-25,2024-07-17,1276,0
tpex,00832B,2019-04-25,2021-09-09,584,0
tpex,00833B,2019-05-08,2020-11-30,386,0
tpex,00834B,2019-05-08,2026-09-11,1791,1
tpex,00835B,2019-05-08,2020-06-22,276,0
tpex,00836B,2019-05-21,2026-09-11,1782,1
tpex,00837B,2019-05-21,2020-06-29,270,0
tpex,00838B,2019-06-12,2022-05-30,724,0
tpex,00839B,2019-06-06,2021-08-02,527,0
tpex,00840B,2019-06-06,2026-09-11,1770,1
tpex,00841B,2019-06-06,2026-09-11,1770,1
tpex,00842B,2019-06-13,2026-09-11,1766,1
tpex,00843B,2019-07-18,2022-07-19,733,0
tpex,00844B,2019-07-17,2026-09-11,1742,1
tpex,00845B,2019-07-15,2026-09-11,1744,1
tpex,00846B,2019-07-15,2026-09-11,1744,1
tpex,00847B,2019-07-29,2026-09-11,1734,1
tpex,00848B,2019-07-29,2026-09-11,1734,1
tpex,00849B,2019-07-29,2026-09-11,1734,1
tpex,00853B,2019-09-03,2026-09-11,1709,1
tpex,00854B,2019-10-23,2020-12-01,273,0
tpex,00855B,2019-10-23,2020-12-01,273,0
tpex,00856B,2019-09-27,2026-09-11,1692,1
tpex,00857B,2019-09-27,2026-09-11,1692,1
tpex,00858,2019-09-27,2026-09-11,1692,1
tpex,00859B,2019-10-17,2026-09-11,1681,1
tpex,00860B,2019-10-17,2026-09-11,1681,1
tpex,00862B,2019-10-17,2026-09-11,1681,1
tpex,00863B,2019-10-17,2026-09-11,1681,1
tpex,00864B,2019-10-17,2026-09-11,1681,1
tpex,00867B,2019-11-14,2026-09-11,1661,1
tpex,00868B,2019-12-12,2021-05-11,340,0
tpex,00869B,2019-12-12,2021-08-16,408,0
