stock_id,roc_year,volume,amount,transactions,high,high_date,low,low_date,avg_close,asof
1101,100,4585345607,170209855530,1342223,49.45,7/22,29.00,9/26,36.80,20260909
1101,101,2554837863,91718648714,792658,39.75,12/07,31.60,5/18,35.78,20260909
1101,102,2041291919,81456590334,692587,46.95,12/03,33.75,6/25,39.82,20260909
1101,103,2119645016,96426110871,763165,49.80,4/16,41.35,2/05,45.68,20260909
1101,104,1762081869,66608208505,738484,45.40,4/24,26.90,12/14,37.82,20260909
1101,105,1690005680,55453414560,778946,38.30,12/12,25.45,1/26,33.00,20260909
1101,106,1577585615,55647316462,564142,38.90,3/02,33.35,11/10,35.14,20260909
1101,107,4253325391,169504306124,1426975,47.30,5/16,32.70,11/27,39.26,20260909
1101,108,4072159593,168017925459,1417293,46.60,7/02,34.90,1/04,41.02,20260909
1101,109,4163490627,177036346938,1577494,47.55,8/07,33.35,3/19,42.55,20260909
1101,110,5788105644,282962017755,2592107,58.70,4/22,40.15,1/29,48.15,20260909
1101,111,5399842020,208187537166,2537841,50.20,4/07,29.80,10/26,40.51,20260909
1101,112,5196989852,187187963203,2521646,40.25,5/02,31.35,10/24,36.02,20260909
1101,113,3730231951,123129423179,1848370,35.20,7/26,30.80,3/20,32.91,20260909
1101,114,6274747560,164694736422,2410885,35.45,3/12,20.25,11/19,26.71,20260909
1101,80,1039525654,91746579128,432507,114.00,5/10,60.00,1/17,84.08,20260909
1101,81,468122568,28423548095,159911,77.50,1/27,45.00,9/18,59.55,20260909
1101,82,1266413190,76642604419,336138,75.00,12/31,48.50,1/08,56.87,20260909
1101,83,949580499,58495417380,272378,79.50,1/06,48.00,12/01,58.71,20260909
1101,84,823353076,37931497397,203912,59.00,1/19,30.70,11/18,43.46,20260909
1101,85,1714074216,91723034778,401332,68.00,6/29,33.50,1/06,51.86,20260909
1101,86,1250558864,61377571027,319127,65.00,3/13,31.90,11/17,47.30,20260909
1101,87,1849661361,60131838290,382571,40.50,4/07,26.00,6/16,31.91,20260909
1101,88,2685525513,68297053690,523001,32.80,12/28,18.80,11/26,23.60,20260909
1101,89,5548023141,182625692190,1161183,55.50,2/18,14.30,12/28,26.13,20260909
