market,stock_id,delist_date
tpex,5379,2001-09-17
tpex,5380,2000-09-11
tpex,5382,2000-09-11
tpex,5388,2007-12-03
tpex,5389,2001-09-17
tpex,5390,2000-09-11
tpex,5391,2000-09-11
tpex,5393,2002-08-26
tpex,5394,2001-09-17
tpex,5396,2001-09-17
tpex,5397,2001-09-17
tpex,5399,2001-09-17
tpex,5402,2001-09-17
tpex,5404,2002-08-26
tpex,5405,2001-09-17
tpex,5406,2001-09-17
tpex,5407,2001-09-17
tpex,5408,2001-09-17
tpex,5409,2001-09-17
tpex,5411,2001-09-17
tpex,5412,2001-09-17
tpex,5413,2001-09-17
tpex,5415,2001-09-17
tpex,5416,2001-09-17
tpex,5417,2001-09-17
tpex,5418,2001-09-17
tpex,5419,2001-09-17
tpex,5420,2001-09-17
tpex,5421,2002-08-26
tpex,5422,2001-09-17
tpex,5423,2002-08-26
tpex,5424,2002-08-26
tpex,5427,2001-09-17
tpex,5428,2001-09-17
tpex,5429,2001-09-17
tpex,5430,2001-09-17
tpex,5431,2001-09-17
tpex,5433,2001-09-17
tpex,5434,2003-08-25
tpex,5435,2001-09-17
tpex,5437,2001-09-17
tpex,5440,2001-09-17
tpex,5444,2001-09-17
tpex,5445,2001-09-17
tpex,5446,2001-09-17
tpex,5447,2002-08-26
tpex,5449,2002-07-22
tpex,5451,2002-08-26
tpex,5453,2002-07-22
tpex,5456,2002-08-26
tpex,5458,2002-08-26
tpex,5459,2002-08-26
tpex,5461,2002-08-26
tpex,5462,2002-08-26
tpex,5463,2002-08-26
tpex,5469,2003-08-25
tpex,5470,2002-08-26
tpex,5471,2003-08-25
tpex,5472,2002-08-26
tpex,5476,2002-08-26
tpex,5477,2002-08-26
tpex,5479,2002-08-26
tpex,5482,2002-08-26
tpex,5484,2003-08-25
tpex,5485,2002-08-26
tpex,5486,2002-08-26
tpex,5495,2002-08-26
tpex,5496,2002-10-29
tpex,5499,2002-08-26
tpex,5509,2000-09-11
tpex,5510,1999-12-15
tpex,5515,2003-10-06
tpex,5517,2000-09-11
tpex,5519,2014-02-10
tpex,5521,2012-12-18
tpex,5522,2007-08-06
tpex,5525,2004-11-26
tpex,5527,2002-08-26
tpex,5531,2005-01-31
tpex,5533,2008-04-30
tpex,5534,2004-05-24
tpex,5606,2001-09-17
tpex,5607,2004-12-02
tpex,5608,2003-08-25
tpex,5705,2002-08-26
tpex,5706,2011-10-21
tpex,5802,1997-05-23
tpex,5803,1997-05-23
tpex,5804,1998-06-29
tpex,5805,1998-10-20
tpex,5806,1998-08-19
tpex,5807,1998-06-29
tpex,5808,1999-01-08
tpex,5809,1998-10-16
tpex,5811,1997-09-03
tpex,5812,1998-11-27
tpex,5813,1999-09-27
tpex,5814,1998-06-29
tpex,5815,1999-02-04
tpex,5816,1998-10-01
tpex,5901,2000-05-08
tpex,6004,2004-07-23
tpex,6005,2005-11-21
tpex,6006,2002-09-16
tpex,6011,2002-09-16
tpex,6012,2003-08-25
tpex,6019,2002-09-16
tpex,6024,2017-10-16
tpex,6102,2002-08-26
tpex,6106,2002-08-26
tpex,6108,2008-12-30
tpex,6112,2003-08-04
tpex,6115,2004-07-23
tpex,6116,2004-09-06
tpex,6117,2003-08-25
tpex,6119,2003-08-04
tpex,6120,2006-09-13
tpex,6128,2003-06-16
tpex,6131,2004-09-27
tpex,6132,2003-08-25
tpex,6133,2003-08-25
tpex,6136,2003-08-25
tpex,6139,2003-08-25
tpex,6141,2003-10-22
tpex,6142,2003-08-04
tpex,6145,2003-08-25
tpex,6152,2009-12-08
tpex,6153,2008-01-21
tpex,6155,2006-08-18
tpex,6164,2008-10-21
tpex,6165,2003-08-04
tpex,6166,2004-11-08
tpex,6168,2003-08-25
tpex,6172,2004-05-24
tpex,6176,2007-05-15
tpex,6177,2013-08-01
tpex,6183,2011-12-01
tpex,6184,2005-02-15
tpex,6189,2004-05-24
tpex,6191,2007-10-19
tpex,6192,2004-09-27
tpex,6196,2004-05-24
tpex,6197,2004-11-08
tpex,6201,2004-09-27
tpex,6202,2004-09-27
tpex,6205,2008-01-21
tpex,6206,2004-08-03
tpex,6209,2004-11-08
tpex,6213,2008-01-21
tpex,6214,2010-12-30
tpex,6215,2007-12-31
tpex,6216,2004-09-27
tpex,6224,2009-09-17
tpex,6225,2004-09-27
tpex,6226,2008-11-10
tpex,6230,2010-09-16
tpex,6235,2004-08-23
tpex,6239,2004-11-08
tpex,6243,2009-12-17
tpex,6278,2010-08-24
tpex,6283,2008-01-21
tpex,6426,2021-03-24
tpex,6438,2021-01-19
tpex,6446,2024-01-25
tpex,6472,2023-12-19
tpex,6589,2025-07-21
tpex,8006,2002-01-23
tpex,8008,2004-11-05
tpex,8021,2008-01-21
tpex,8033,2007-06-21
tpex,8039,2009-12-17
tpex,8070,2007-12-31
tpex,8072,2005-08-19
tpex,8081,2008-12-30
tpex,8103,2009-09-29
tpex,8105,2006-12-27
tpex,8110,2007-10-31
tpex,8112,2007-12-31
tpex,8114,2012-11-26
tpex,8210,2011-12-01
tpex,8261,2009-12-11
tpex,8374,2008-12-25
tpex,8462,2019-03-15
tpex,8476,2023-10-31
tpex,8901,1999-06-28
tpex,8903,2000-09-11
tpex,8911,2000-09-11
tpex,8914,2000-03-21
tpex,8915,2000-09-11
tpex,8918,2000-09-11
tpex,8920,2001-09-17
tpex,8922,2001-09-17
tpex,8926,2003-08-25
tpex,8939,2002-08-26
tpex,8940,2009-05-15
tpex,8996,2014-02-14
tpex,9946,2013-09-17
tpex,9955,2008-01-21
