market,stock_id,delist_date
tpex,1225,1993-09-27
tpex,1256,2016-03-17
tpex,1558,2014-12-23
tpex,1582,2009-12-17
tpex,1597,2020-12-23
tpex,1752,2022-01-19
tpex,1795,2019-12-16
tpex,2059,2008-06-25
tpex,2108,1992-10-27
tpex,2114,2010-12-29
tpex,2231,2010-11-19
tpex,2233,2019-09-17
tpex,2326,1993-08-27
tpex,2327,1993-10-22
tpex,2636,2016-12-22
tpex,3080,2008-06-02
tpex,3090,2007-12-31
tpex,3092,2021-05-13
tpex,3164,2010-03-22
tpex,3209,2008-11-26
tpex,3229,2009-12-31
tpex,3266,2014-12-24
tpex,3296,2007-12-31
tpex,3305,2008-07-10
tpex,3312,2010-12-29
tpex,3376,2007-12-31
tpex,3416,2015-01-23
tpex,3419,2008-01-21
tpex,3454,2011-07-22
tpex,3528,2016-05-18
tpex,3563,2019-04-02
tpex,3652,2022-09-21
tpex,4101,2001-09-17
tpex,4104,2007-12-31
tpex,4106,2004-11-08
tpex,4108,2008-07-16
tpex,4112,2002-08-26
tpex,4201,2000-09-11
tpex,4203,1999-01-20
tpex,4204,2001-09-17
tpex,4301,2000-09-11
tpex,4302,2000-09-11
tpex,4306,2008-01-21
tpex,4405,2000-10-27
tpex,4407,2000-09-11
tpex,4409,2000-09-11
tpex,4410,2000-09-11
tpex,4411,2000-03-06
tpex,4412,2000-10-31
tpex,4414,2004-09-06
tpex,4426,2011-12-16
tpex,4501,1995-11-14
tpex,4504,2000-09-11
tpex,4505,1998-10-30
tpex,4507,2000-09-11
tpex,4509,2000-03-14
tpex,4512,2000-09-11
tpex,4514,2000-09-11
tpex,4515,2001-09-17
tpex,4516,2002-08-26
tpex,4517,2000-09-11
tpex,4519,2000-06-21
tpex,4520,2002-08-26
tpex,4521,2000-09-11
tpex,4524,2001-09-17
tpex,4525,2001-09-17
tpex,4526,2003-09-15
tpex,4531,2002-10-29
tpex,4532,2003-08-04
tpex,4602,1997-09-18
tpex,4603,2000-09-11
tpex,4604,2000-09-11
tpex,4606,2000-03-30
tpex,4607,2000-09-11
tpex,4608,2000-09-11
tpex,4701,2001-09-17
tpex,4704,1999-03-12
tpex,4705,2000-09-11
tpex,4708,2000-09-11
tpex,4709,2000-09-11
tpex,4713,2001-09-17
tpex,4715,2001-09-17
tpex,4718,2002-08-26
tpex,4720,2015-06-24
tpex,4722,2012-08-15
tpex,4733,2010-12-30
tpex,4736,2023-12-22
tpex,4739,2017-09-08
tpex,4901,2002-08-26
tpex,4902,2002-08-26
tpex,4904,2005-08-24
tpex,4906,2003-06-30
tpex,4912,2015-05-21
tpex,4927,2015-09-08
tpex,4994,2013-12-25
tpex,5003,2000-09-11
tpex,5004,2000-09-11
tpex,5005,2000-09-11
tpex,5007,2011-09-16
tpex,5012,2001-09-17
tpex,5203,2004-09-27
tpex,5236,2026-07-16
tpex,5284,2017-03-09
tpex,5303,1995-09-23
tpex,5305,2004-07-23
tpex,5306,2022-03-08
tpex,5308,1997-04-02
tpex,5311,2000-09-11
tpex,5316,1999-06-15
tpex,5319,2000-09-11
tpex,5320,1998-11-27
tpex,5322,2000-09-11
tpex,5323,2000-09-11
tpex,5327,2000-09-11
tpex,5329,1998-10-14
tpex,5330,2000-01-27
tpex,5331,1998-10-26
tpex,5334,1999-11-04
tpex,5335,2001-09-17
tpex,5337,2000-09-11
tpex,5338,1999-08-12
tpex,5339,1999-03-04
tpex,5341,2000-09-11
tpex,5342,2000-09-11
tpex,5350,1999-11-29
tpex,5352,2000-09-11
tpex,5354,2002-08-26
tpex,5357,2000-09-11
tpex,5358,2000-09-11
tpex,5359,2000-09-11
tpex,5360,2000-09-11
tpex,5361,2000-09-11
tpex,5362,2000-09-11
tpex,5363,2002-08-26
tpex,5365,2000-09-11
tpex,5366,2000-03-17
tpex,5367,2000-09-11
tpex,5368,2000-09-11
tpex,5369,1999-12-16
tpex,5370,2000-09-11
tpex,5373,1999-10-27
tpex,5374,2000-09-11
tpex,5377,2000-09-11
tpex,5378,2001-09-17
