stock_id,name,market,kind,event_date,prev_trade_date,prev_close,close,ratio,missing_trading_days,adj_events_in_range,cause,limit_on_reopen,source_note,in_universe
020007,凱基臺灣500N,twse,long_hole,2023-01-04,2022-12-01,31.11,29.31,0.942141,22,0,unknown,flat,,0
020001,富邦存股雙十N,tpex,long_hole,2023-01-13,2022-12-14,7.56,7.69,1.017196,20,0,unknown,,,0
1435,中福,twse,long_hole,2023-03-20,2022-08-17,44.2,39.8,0.900452,139,0,unknown,,,1
020015,統一MSCI美低波N,twse,long_hole,2023-06-08,2022-12-01,15.02,14.43,0.960719,119,0,unknown,flat,,0
020007,凱基臺灣500N,twse,long_hole,2023-06-13,2023-01-05,29.51,35.38,1.198916,98,0,unknown,flat,,0
3073,天方能源,tpex,long_hole,2023-06-21,2023-02-17,33.8,37.15,1.099112,81,0,unknown,,,1
4414,如興,twse,long_hole,2023-06-26,2022-08-17,2.92,3.21,1.099315,203,0,unknown,flat,,1
3018,隆銘綠能,twse,long_hole,2023-06-30,2022-11-16,7.38,8.11,1.098916,144,0,unknown,flat,,1
020024,兆豐富櫃200N,tpex,long_hole,2023-08-18,2023-06-20,6.11,5.74,0.939444,39,0,unknown,down,,0
1435,中福,twse,long_hole,2023-09-14,2023-04-07,26.3,28.9,1.098859,109,0,unknown,,,1
020007,凱基臺灣500N,twse,long_hole,2023-09-26,2023-06-13,35.38,34.66,0.979650,71,0,unknown,flat,,0
4806,昇華,tpex,long_hole,2023-10-12,2023-04-07,5.58,6.13,1.098566,126,0,unknown,up,,1
020011,統一微波高息20N,twse,long_hole,2023-10-23,2023-09-06,8.41,7.84,0.932224,29,0,unknown,flat,,0
00625K,富邦上証+R,twse,long_hole,2023-11-14,2022-04-22,7.23,6.68,0.923928,381,0,unknown,flat,,0
8080,印鉐,tpex,long_hole,2024-01-24,2023-10-06,8.23,9.05,1.099635,74,0,unknown,up,,1
020015,統一MSCI美低波N,twse,long_hole,2024-02-01,2023-06-26,14.61,15.94,1.091034,152,0,unknown,flat,,0
020007,凱基臺灣500N,twse,long_hole,2024-02-29,2023-10-02,34.9,39.65,1.136103,96,0,unknown,flat,,0
020015,統一MSCI美低波N,twse,long_hole,2024-04-30,2024-03-07,16.25,16.14,0.993231,35,0,unknown,flat,,0
020016,統一MSCI美科技N,twse,long_hole,2024-04-30,2024-03-18,25.8,25.3,0.980620,28,0,unknown,flat,,0
020015,統一MSCI美低波N,twse,long_hole,2024-08-05,2024-05-16,16.67,17.12,1.026995,53,0,unknown,flat,,0
6103,合邦,tpex,long_hole,2024-08-05,2024-06-17,39.25,37.95,0.966879,32,0,unknown,up,,1
4950,牧東,tpex,long_hole,2024-09-05,2023-11-16,6.66,7.32,1.099099,194,0,unknown,up,,1
00625K,富邦上証+R,twse,long_hole,2024-10-01,2023-11-14,6.68,7.62,1.140719,213,0,unknown,flat,,0
00643K,群益深証中小+R,twse,long_hole,2024-11-08,2024-09-26,2.37,3.16,1.333333,26,0,unknown,flat,,0
020011,統一微波高息20N,twse,long_hole,2024-11-19,2024-10-07,10.49,10.58,1.008580,28,0,unknown,flat,,0
020015,統一MSCI美低波N,twse,long_hole,2024-11-26,2024-10-25,18.34,18.73,1.021265,20,0,unknown,flat,,0
00707R,期元大S&P日圓反1,twse,long_hole,2025-01-08,2024-11-20,29.94,30.86,1.030728,33,0,unknown,,,0
4804,大略-KY,tpex,long_hole,2025-02-20,2024-08-22,4.37,4.8,1.098398,116,0,unknown,up,,1
020015,統一MSCI美低波N,twse,long_hole,2025-03-03,2025-01-13,17.47,18.91,1.082427,26,0,unknown,flat,,0
