stock_id,name,market,industry_code,industry_name,listed_date
1529,樂事綠能,twse,05,電機機械,20000911
1530,亞崴,twse,05,電機機械,20000911
1531,高林股,twse,05,電機機械,20000911
1532,勤美,twse,05,電機機械,20000911
1533,車王電,twse,12,汽車工業,20010406
1535,中宇,twse,05,電機機械,20010917
1536,和大,twse,12,汽車工業,20010917
1537,廣隆,twse,05,電機機械,20020122
1538,正峰,twse,05,電機機械,20020826
1539,巨庭,twse,05,電機機械,20021029
1540,喬福,twse,05,電機機械,20020826
1541,錩泰,twse,05,電機機械,20030319
1558,伸興,twse,05,電機機械,20141223
1560,中砂,twse,05,電機機械,20050131
1563,巧新,twse,12,汽車工業,20240513
1565,精華,tpex,22,生技醫療業,
1568,倉佑,twse,12,汽車工業,20140514
1569,濱川,tpex,25,電腦及週邊設備業,
1570,力肯,tpex,05,電機機械,
1580,新麥,tpex,05,電機機械,
1582,信錦,twse,28,電子零組件業,20091217
1583,程泰,twse,05,電機機械,20080124
1584,精剛,tpex,20,其他,
1586,和勤,tpex,05,電機機械,
1587,吉茂,twse,12,汽車工業,20180416
1589,永冠-KY,twse,05,電機機械,20120427
1590,亞德客-KY,twse,05,電機機械,20101213
1591,駿吉-KY,tpex,05,電機機械,
1593,祺驊,tpex,37,運動休閒,
1595,川寶,tpex,24,半導體業,
1597,直得,twse,05,電機機械,20201223
1598,岱宇,twse,37,運動休閒,20160920
1599,宏佳騰,tpex,05,電機機械,
1603,華電,twse,06,電器電纜,19680603
1604,聲寶,twse,06,電器電纜,19701214
1605,華新,twse,06,電器電纜,19721103
1608,華榮,twse,06,電器電纜,19880711
1609,大亞,twse,06,電器電纜,19881212
1611,中電,twse,06,電器電纜,19900116
1612,宏泰,twse,06,電器電纜,19930508
1614,三洋電,twse,06,電器電纜,19970918
1615,大山,twse,06,電器電纜,20000330
1616,億泰,twse,06,電器電纜,20000911
1617,榮星,twse,06,電器電纜,20000911
1618,合機,twse,06,電器電纜,20000911
1623,大東電,twse,06,電器電纜,20260122
1626,艾美特-KY,twse,06,電器電纜,20130321
1702,南僑,twse,02,食品工業,19730530
1707,葡萄王,twse,22,生技醫療業,19821220
1708,東鹼,twse,21,化學工業,19860616
1709,和益,twse,21,化學工業,19860703
1710,東聯,twse,21,化學工業,19871021
1711,永光,twse,21,化學工業,19881227
1712,興農,twse,21,化學工業,19891214
1713,國化,twse,21,化學工業,19900131
1714,和桐,twse,21,化學工業,19910830
1717,長興,twse,21,化學工業,19940331
1718,中纖,twse,21,化學工業,19631202
1720,生達,twse,22,生技醫療業,19951212
1721,國慶科技,twse,21,化學工業,19960516
1722,台肥,twse,21,化學工業,19980324
1723,中碳,twse,21,化學工業,19981127
1725,元禎,twse,21,化學工業,20000911
1726,永記,twse,21,化學工業,20000911
1727,中華化,twse,21,化學工業,20000911
1730,花仙子,twse,21,化學工業,20010917
1731,美吾華,twse,22,生技醫療業,20010917
1732,毛寶,twse,21,化學工業,20010917
1733,五鼎,twse,22,生技醫療業,20010917
1734,杏輝,twse,22,生技醫療業,20020826
1735,日勝化,twse,21,化學工業,20020826
1736,喬山,twse,37,運動休閒,20030109
1737,臺鹽,twse,02,食品工業,20031118
1742,台蠟,tpex,21,化學工業,
1752,南光,twse,22,生技醫療業,20220119
1760,寶齡富錦,twse,22,生技醫療業,20180123
1762,中化生,twse,22,生技醫療業,20101220
1773,勝一,twse,21,化學工業,20090227
1776,展宇,twse,21,化學工業,20160509
1777,生泰,tpex,22,生技醫療業,
1780,立弘,tpex,02,食品工業,
1781,合世,tpex,22,生技醫療業,
1783,和康生,twse,22,生技醫療業,20131220
1784,訊聯,tpex,22,生技醫療業,
1785,光洋科,tpex,31,其他電子業,
1786,科妍,twse,22,生技醫療業,20131112
1788,杏昌,tpex,22,生技醫療業,
1789,神隆,twse,22,生技醫療業,20110929
1795,美時,twse,22,生技醫療業,20191216
1796,金穎生技,tpex,02,食品工業,
1799,易威,tpex,22,生技醫療業,
1802,台玻,twse,08,玻璃陶瓷,19730720
1805,寶徠,twse,14,建材營造,19891020
1806,冠軍,twse,08,玻璃陶瓷,19920929
1808,潤隆,twse,14,建材營造,19941026
1809,中釉,twse,08,玻璃陶瓷,19960430
1810,和成,twse,08,玻璃陶瓷,19911014
1813,寶利徠,tpex,22,生技醫療業,
1815,富喬,tpex,28,電子零組件業,
1817,凱撒衛,twse,08,玻璃陶瓷,20131024
1903,士紙,twse,09,造紙工業,19631209
1904,正隆,twse,09,造紙工業,19710910
1905,華紙,twse,09,造紙工業,19750207
1906,寶隆,twse,09,造紙工業,19760426
1907,永豐餘,twse,09,造紙工業,19770222
1909,榮成,twse,09,造紙工業,19851119
2002,中鋼,twse,10,鋼鐵工業,19741226
2006,東和鋼鐵,twse,10,鋼鐵工業,19880713
2007,燁興,twse,10,鋼鐵工業,19881004
2008,高興昌,twse,10,鋼鐵工業,19881228
2009,第一銅,twse,10,鋼鐵工業,19891020
2010,春源,twse,10,鋼鐵工業,19891222
2012,春雨,twse,10,鋼鐵工業,19911017
2013,中鋼構,twse,10,鋼鐵工業,19920121
2014,中鴻,twse,10,鋼鐵工業,19920220
2015,豐興,twse,10,鋼鐵工業,19920525
2017,官田鋼,twse,10,鋼鐵工業,19921102
2020,美亞,twse,10,鋼鐵工業,19930427
2022,聚亨,twse,10,鋼鐵工業,19950327
2023,燁輝,twse,10,鋼鐵工業,19950728
2024,志聯,twse,10,鋼鐵工業,19951230
2025,千興,twse,10,鋼鐵工業,19960208
2027,大成鋼,twse,10,鋼鐵工業,19961024
2028,威致,twse,10,鋼鐵工業,19961213
2029,盛餘,twse,10,鋼鐵工業,19970111
2030,彰源,twse,10,鋼鐵工業,19981224
2031,新光鋼,twse,10,鋼鐵工業,20000911
2032,新鋼,twse,10,鋼鐵工業,20000911
2033,佳大,twse,10,鋼鐵工業,20000911
2034,允強,twse,10,鋼鐵工業,20010917
2035,唐榮公司,tpex,10,鋼鐵工業,
2038,海光,twse,10,鋼鐵工業,20081230
2049,上銀,twse,05,電機機械,20090626
2059,川湖,twse,28,電子零組件業,20080625
2061,風青,tpex,06,電器電纜,
2062,橋椿,twse,38,居家生活,20071116
2063,世鎧精密,tpex,10,鋼鐵工業,
2064,晉椿,tpex,10,鋼鐵工業,
2065,世豐,tpex,10,鋼鐵工業,
2066,世德,tpex,05,電機機械,
2067,嘉鋼,tpex,05,電機機械,
2069,運錩,twse,10,鋼鐵工業,20160322
2070,精湛,tpex,05,電機機械,
2072,世紀風電,twse,35,綠能環保,20260326
2073,雄順,tpex,10,鋼鐵工業,
2101,南港,twse,11,橡膠工業,19631101
2102,泰豐,twse,11,橡膠工業,19790716
2103,台橡,twse,11,橡膠工業,19820925
2104,國際中橡,twse,11,橡膠工業,19860715
2105,正新,twse,11,橡膠工業,19871207
2106,建大,twse,11,橡膠工業,19901220
2107,厚生,twse,11,橡膠工業,19920303
2108,南帝,twse,11,橡膠工業,19921027
2109,華豐,twse,11,橡膠工業,20000508
2114,鑫永銓,twse,11,橡膠工業,20101229
2115,六暉-KY,twse,12,汽車工業,20131225
2201,裕隆,twse,12,汽車工業,19760708
2204,中華,twse,12,汽車工業,19910312
2206,三陽工業,twse,12,汽車工業,19960729
2207,和泰車,twse,12,汽車工業,19970225
2208,台船,twse,15,航運業,20081222
2211,長榮鋼,twse,10,鋼鐵工業,20210412
2221,大甲,tpex,20,其他,
2227,裕日車,twse,12,汽車工業,20041221
2228,劍麟,twse,12,汽車工業,20131125
2230,泰茂,tpex,38,居家生活,
