transfer_date,stock_id,name,asof
1992-10-27,2108,南帝化工,2026-09-25
1993-08-27,2326,亞瑟科技,2026-09-25
1993-09-27,1225,福懋油脂,2026-09-25
1993-10-22,2327,國巨,2026-09-25
1995-09-23,5303,精業,2026-09-25
1995-11-14,4501,利奇機械,2026-09-25
1997-04-02,5308,藍天電腦,2026-09-25
1997-05-23,5802,萬通銀行,2026-09-25
1997-05-23,5803,大安銀行,2026-09-25
1997-09-03,5811,中華銀行,2026-09-25
1997-09-18,4602,三洋電機,2026-09-25
1998-06-29,5804,萬泰銀行,2026-09-25
1998-06-29,5807,聯邦銀行,2026-09-25
1998-06-29,5814,華信銀行,2026-09-25
1998-08-19,5806,玉山銀行,2026-09-25
1998-10-01,5816,富邦銀行,2026-09-25
1998-10-14,5329,鴻運電子,2026-09-25
1998-10-16,5809,亞太銀行,2026-09-25
1998-10-20,5805,台新銀行,2026-09-25
1998-10-26,5331,瑞昱,2026-09-25
1998-10-30,4505,耿鼎企業,2026-09-25
1998-11-27,5320,台光電子,2026-09-25
1998-11-27,5812,遠東銀行,2026-09-25
1999-01-08,5808,中興銀行,2026-09-25
1999-01-20,4203,天仁茶業,2026-09-25
1999-02-04,5815,大眾銀行,2026-09-25
1999-03-04,5339,世昕企業,2026-09-25
1999-03-12,4704,泰銘實業,2026-09-25
1999-06-15,5316,云辰電子,2026-09-25
1999-06-28,8901,秋雨印刷,2026-09-25
1999-08-12,5338,合勤科技,2026-09-25
1999-09-27,5813,安泰銀行,2026-09-25
1999-10-27,5373,普立爾,2026-09-25
1999-11-04,5334,億光電子,2026-09-25
1999-11-29,5350,精碟科技,2026-09-25
1999-12-15,5510,昌益建設,2026-09-25
1999-12-16,5369,映泰,2026-09-25
2000-01-27,5330,凌陽科技,2026-09-25
2000-03-06,4411,首利實業,2026-09-25
2000-03-14,4509,漢唐訊聯,2026-09-25
2000-03-17,5366,浩鑫,2026-09-25
2000-03-21,8914,欣高石油氣,2026-09-25
2000-03-30,4606,大山,2026-09-25
2000-05-08,5901,華豐橡膠,2026-09-25
2000-06-21,4519,鑽全,2026-09-25
2000-09-11,4201,興泰,2026-09-25
2000-09-11,4301,永裕,2026-09-25
2000-09-11,4302,地球,2026-09-25
2000-09-11,4407,三洋紡織,2026-09-25
2000-09-11,4409,恆大,2026-09-25
2000-09-11,4410,台南企業,2026-09-25
2000-09-11,4504,勤美,2026-09-25
2000-09-11,4507,錩新,2026-09-25
2000-09-11,4512,恩德,2026-09-25
2000-09-11,4514,樂士,2026-09-25
2000-09-11,4517,亞崴,2026-09-25
2000-09-11,4521,高林,2026-09-25
2000-09-11,4603,燦坤,2026-09-25
2000-09-11,4604,億泰,2026-09-25
2000-09-11,4607,榮星,2026-09-25
2000-09-11,4608,合機電線電纜,2026-09-25
2000-09-11,4705,元禎,2026-09-25
2000-09-11,4708,永記,2026-09-25
2000-09-11,4709,台灣中華化學,2026-09-25
2000-09-11,5003,新鋼,2026-09-25
2000-09-11,5004,新光鋼鐵,2026-09-25
2000-09-11,5005,佳大,2026-09-25
2000-09-11,5311,新巨,2026-09-25
2000-09-11,5319,英誌,2026-09-25
2000-09-11,5322,偉詮,2026-09-25
2000-09-11,5323,聯昌,2026-09-25
2000-09-11,5327,圓剛科技,2026-09-25
2000-09-11,5337,隴華,2026-09-25
2000-09-11,5341,承啟,2026-09-25
2000-09-11,5342,精技,2026-09-25
2000-09-11,5352,雅新,2026-09-25
2000-09-11,5357,美律實業,2026-09-25
2000-09-11,5358,建準,2026-09-25
