symbol,name,market_cap_rank,asof
ADA,Cardano,18,2026-09-20
BCH,Bitcoin Cash,22,2026-09-20
BNB,BNB,4,2026-09-20
BTC,Bitcoin,1,2026-09-20
DOGE,Dogecoin,12,2026-09-20
ETH,Ethereum,2,2026-09-20
LINK,Chainlink,17,2026-09-20
LTC,Litecoin,26,2026-09-20
NEAR,NEAR Protocol,25,2026-09-20
SOL,Solana,7,2026-09-20
TRX,TRON,8,2026-09-20
UNI,Uniswap,21,2026-09-20
XLM,Stellar,20,2026-09-20
XRP,XRP,5,2026-09-20
ZEC,Zcash,9,2026-09-20
