stock_id,market,n_notrade_days,first,last
2546,twse,1,2016-06-07,2016-06-07
2597,twse,1,2016-05-19,2016-05-19
2616,twse,1,2015-02-12,2015-02-12
2752,tpex,1,2026-09-09,2026-09-09
2945,twse,1,2026-09-08,2026-09-08
2948,tpex,1,2026-09-08,2026-09-08
3002,twse,1,2016-11-17,2016-11-17
3089,tpex,1,2016-06-08,2016-06-08
3118,tpex,1,2016-11-14,2016-11-14
3128,tpex,1,2015-12-02,2015-12-02
3144,tpex,1,2016-08-31,2016-08-31
3164,twse,1,2026-09-10,2026-09-10
3171,tpex,1,2016-08-12,2016-08-12
3230,tpex,1,2016-06-06,2016-06-06
3266,twse,1,2016-01-21,2016-01-21
3268,tpex,1,2016-02-24,2016-02-24
3296,twse,1,2015-10-28,2015-10-28
3306,tpex,1,2016-06-13,2016-06-13
3308,twse,1,2016-04-26,2016-04-26
3310,tpex,1,2016-01-04,2016-01-04
3473,emerging,1,2026-09-10,2026-09-10
3516,tpex,1,2016-05-12,2016-05-12
3536,twse,1,2015-09-23,2015-09-23
3631,tpex,1,2016-04-29,2016-04-29
3632,tpex,1,2026-09-10,2026-09-10
3663,tpex,1,2016-01-20,2016-01-20
4171,tpex,1,2016-12-14,2016-12-14
4174,tpex,1,2016-03-31,2016-03-31
4192,tpex,1,2026-09-08,2026-09-08
4433,tpex,1,2016-05-05,2016-05-05
4527,tpex,1,2015-12-25,2015-12-25
4544,emerging,1,2026-09-10,2026-09-10
4568,tpex,1,2026-09-09,2026-09-09
4581,twse,1,2026-09-08,2026-09-08
4716,tpex,1,2015-12-04,2015-12-04
4728,tpex,1,2026-09-09,2026-09-09
4743,tpex,1,2016-07-18,2016-07-18
4747,tpex,1,2016-12-26,2016-12-26
4762,tpex,1,2016-12-02,2016-12-02
4911,tpex,1,2016-03-29,2016-03-29
4991,tpex,1,2016-08-01,2016-08-01
5013,tpex,1,2016-01-22,2016-01-22
5215,twse,1,2016-08-02,2016-08-02
5259,twse,1,2016-12-19,2016-12-19
5271,emerging,1,2026-09-10,2026-09-10
5274,tpex,1,2016-05-12,2016-05-12
5306,tpex,1,2016-03-10,2016-03-10
5312,tpex,1,2016-11-21,2016-11-21
5324,tpex,1,2016-11-21,2016-11-21
5498,tpex,1,2016-05-19,2016-05-19
5506,tpex,1,2015-09-24,2015-09-24
5511,tpex,1,2016-11-07,2016-11-07
5529,tpex,1,2016-10-31,2016-10-31
