stock_id,name,market,sec_kind,halt_date,resume_date,source,asof
075623,新光金統一79購02,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
075655,國巨統一7A購03,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
075655,國巨統一7A購03,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
075718,國巨富邦7A購03,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
075718,國巨富邦7A購03,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
075742,聯電凱基79購01,twse,其他,2018-06-29,2018-07-02,twse-TWTAWU,2026-09-07
075743,聯電凱基79購02,twse,其他,2018-06-29,2018-07-02,twse-TWTAWU,2026-09-07
075812,國巨統一7A購04,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
075812,國巨統一7A購04,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
075876,國巨群益79購04,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
075876,國巨群益79購04,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
075877,國巨群益7A購03,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
075877,國巨群益7A購03,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
075889,國巨永豐79購04,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
075889,國巨永豐79購04,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
075942,新光金元大79購05,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
075952,大成鋼麥證7A購01,twse,其他,2018-10-02,2018-10-03,twse-TWTAWU,2026-09-07
075953,國巨麥證7A購02,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
075953,國巨麥證7A購02,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
075971,奇力新群益7A購03,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
075982,國巨元富79購02,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
075982,國巨元富79購02,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
07601P,聯電富邦7B售02,twse,其他,2018-06-29,2018-07-02,twse-TWTAWU,2026-09-07
076029,國巨國泰7A購01,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076029,國巨國泰7A購01,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076030,國巨富邦7A購04,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076030,國巨富邦7A購04,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076047,國巨元大79購05,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076047,國巨元大79購05,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076073,國巨永豐79購05,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076073,國巨永豐79購05,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076106,國巨中信79購02,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076106,國巨中信79購02,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076107,國巨中信7B購01,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076107,國巨中信7B購01,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076129,國巨永豐79購06,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076129,國巨永豐79購06,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076130,奇力新永豐79購02,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
076138,國巨凱基79購02,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076138,國巨凱基79購02,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076145,奇力新日盛79購01,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
076151,國巨元大79購07,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076151,國巨元大79購07,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076160,樺漢元大79購04,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
076167,國巨統一79購01,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076167,國巨統一79購01,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076168,國巨統一79購02,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076168,國巨統一79購02,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
07616P,國巨凱基7B售02,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
07617P,國巨凱基7B售03,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076192,國巨富邦79購05,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076192,國巨富邦79購05,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076201,國巨日盛79購04,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076201,國巨日盛79購04,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076216,仁寶永豐79購01,twse,其他,2018-08-07,2018-08-08,twse-TWTAWU,2026-09-07
076221,新光金台新7A購02,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
076228,奇力新群益79購02,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
076234,國巨國泰7C購01,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076234,國巨國泰7C購01,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
07624P,國巨國泰7B售04,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076264,奇力新凱基79購01,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
076265,奇力新凱基79購02,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
076268,仁寶日盛7A購01,twse,其他,2018-08-07,2018-08-08,twse-TWTAWU,2026-09-07
076306,國巨元大79購09,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076306,國巨元大79購09,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076342,奇力新中信7A購01,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
076366,聯電台新7A購01,twse,其他,2018-06-29,2018-07-02,twse-TWTAWU,2026-09-07
076377,新光金凱基7A購01,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
07637P,國巨元大7B售03,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076387,國巨麥證7A購04,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076387,國巨麥證7A購04,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076390,樺漢麥證7B購01,twse,其他,2018-03-30,2018-03-31,twse-TWTAWU,2026-09-07
076392,新光金康和7A購01,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
076406,奇力新群益7A購04,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
076465,奇力新群益7A購05,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
076491,國巨元大7A購01,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076491,國巨元大7A購01,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076498,奇力新元大7A購02,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
07650P,國巨統一7C售03,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
07651P,兆豐K7,twse,其他,2016-03-30,2016-03-31,twse-TWTAWU,2026-09-07
07652P,國巨元富7B售02,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076552,新光金富邦7C購01,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
07655P,兆豐L2,twse,其他,2016-03-30,2016-03-31,twse-TWTAWU,2026-09-07
076566,國巨永豐7A購01,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076566,國巨永豐7A購01,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076585,國巨中信7B購02,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076585,國巨中信7B購02,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076598,奇力新群益7A購07,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
076599,奇力新群益7B購01,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
07660P,國巨統一7B售06,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076656,國巨兆豐7B購01,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076656,國巨兆豐7B購01,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076657,新光金兆豐7A購01,twse,其他,2018-04-24,2018-04-25,twse-TWTAWU,2026-09-07
076661,奇力新群益7B購02,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
076681,奇力新永豐7A購01,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
076694,大成鋼富邦7A購01,twse,其他,2018-10-02,2018-10-03,twse-TWTAWU,2026-09-07
076715,國巨凱基7A購01,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076715,國巨凱基7A購01,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076716,國巨凱基7A購02,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076716,國巨凱基7A購02,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076717,國巨凱基7A購03,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076717,國巨凱基7A購03,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076718,國巨凱基7A購04,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076718,國巨凱基7A購04,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076739,聯電統一7C購01,twse,其他,2018-06-29,2018-07-02,twse-TWTAWU,2026-09-07
076741,國巨統一7A購05,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076741,國巨統一7A購05,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076742,國巨統一7A購06,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076742,國巨統一7A購06,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076765,奇力新元富7A購01,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
076841,國巨國票7A購01,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076841,國巨國票7A購01,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076894,大成鋼統一7B購01,twse,其他,2018-10-02,2018-10-03,twse-TWTAWU,2026-09-07
07690P,富邦BE,twse,其他,2016-03-30,2016-03-31,twse-TWTAWU,2026-09-07
07694P,奇力新國泰7B售02,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
076954,國巨日盛7B購01,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076954,國巨日盛7B購01,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
076998,國巨元大7A購02,twse,其他,2018-04-27,2018-04-30,twse-TWTAWU,2026-09-07
076998,國巨元大7A購02,twse,其他,2018-05-22,2018-05-23,twse-TWTAWU,2026-09-07
077000,奇力新元大7A購04,twse,其他,2018-06-20,2018-06-21,twse-TWTAWU,2026-09-07
077015,聯電國票7A購01,twse,其他,2018-06-29,2018-07-02,twse-TWTAWU,2026-09-07
