code,name,members,is_parent,children
01,水泥工業,8,,
02,食品工業,24,,
03,塑膠工業,22,,
04,紡織纖維,42,,
05,電機機械,49,,
06,電器電纜,16,,
07,化學生技醫療,88,Y,21|22
08,玻璃陶瓷,5,,
09,造紙工業,7,,
10,鋼鐵工業,32,,
11,橡膠工業,11,,
12,汽車工業,44,,
13,電子工業,458,Y,24|25|26|27|28|29|30|31
14,建材營造,55,,
15,航運業,28,,
16,觀光餐旅,19,,
17,金融保險,48,,
18,貿易百貨,18,,
20,其他,58,,
21,化學工業,28,,
22,生技醫療業,60,,
23,油電燃氣業,8,,
24,半導體業,96,,
25,電腦及週邊設備業,64,,
26,光電業,68,,
27,通信網路業,46,,
28,電子零組件業,104,,
29,電子通路業,23,,
30,資訊服務業,11,,
31,其他電子業,46,,
35,綠能環保,27,,
36,數位雲端,13,,
37,運動休閒,18,,
38,居家生活,11,,
