stock_id,date,kind,factor,ref_price,close,close_over_ref
910482,2017-06-19,權,0.77333333,0.5800,0.7500,1.2931
6224,2021-01-13,權,0.98106796,101.0500,113.0000,1.1183
8033,2023-03-06,權,0.97425044,55.2400,61.5000,1.1133
9105,2023-10-06,權,0.71149144,2.9100,3.4400,1.1821
2736,2024-05-28,除權,0.95268817,26.5800,29.5000,1.1099
4991,2025-12-22,除權,0.98400000,189.4200,211.5000,1.1166
2464,2026-09-02,權息,0.98807588,182.3000,202.0000,1.1081
