stock_id,date,kind,keep,keep_official,pre_close,ref_official,ref_calc,diff,cash_implied,cash_par_based,keep_ratio_official,ok,shares_via
4502,2015-11-23,彌補虧損,0.552632,0.360065,8.80,24.44,15.92,8.5162,,,0.360000,0,事件日
3310,2016-10-20,現金減資,0.359528,0.750422,14.45,15.93,22.38,6.4473,8.7227,6.4047,0.750000,0,事件日
6241,2026-08-25,彌補虧損,0.934983,0.729715,13.85,18.98,14.81,4.1669,,,0.729644,0,事件日
3356,2024-11-11,退還股款,0.890000,0.942475,62.10,65.28,68.54,3.2593,4.0008,1.1000,,0,事件日
4304,2015-04-28,彌補虧損,0.860254,0.692884,11.10,16.02,12.90,3.1168,,,0.692673,0,事件日
2456,2018-10-12,退還股款,0.728069,0.711332,87.40,118.81,116.31,2.5014,0.8981,2.7193,,0,事件日
5205,2021-04-19,彌補虧損,0.443231,0.399920,9.97,24.93,22.49,2.4361,,,0.400000,0,事件日
3629,2018-04-03,彌補虧損,0.705499,0.655981,22.10,33.69,31.33,2.3646,,,0.656060,0,事件日
6103,2015-03-20,彌補虧損,0.547394,0.451646,4.39,9.72,8.02,1.7002,,,0.451500,0,事件日
6197,2017-10-02,退還股款,0.750000,0.794987,31.25,36.73,38.33,1.6033,3.7025,2.5000,,0,事件日
5701,2023-04-26,彌補虧損,0.481876,0.404469,3.62,8.95,7.51,1.4377,,,0.404371,0,事件日
3536,2015-03-20,彌補虧損,0.550330,0.493623,6.58,13.33,11.96,1.3735,,,,0,事件日
6134,2021-01-18,彌補虧損,0.769910,0.716783,12.30,17.16,15.98,1.1841,,,0.716872,0,事件日
2327,2017-08-18,退還股款,0.694010,0.698792,120.50,168.13,169.22,1.0896,3.8161,3.0599,,0,事件日
3682,2020-01-20,彌補虧損,0.720466,0.655660,6.95,10.60,9.65,0.9535,,,,0,事件日
6291,2019-03-11,彌補虧損,0.360000,0.340013,5.26,15.47,14.61,0.8589,,,0.340000,0,事件日
3312,2018-04-10,彌補虧損,0.848262,0.771226,6.54,8.48,7.71,0.7701,,,,0,事件日
5301,2020-08-28,彌補虧損,0.712652,0.676610,9.98,14.75,14.00,0.7460,,,0.676414,0,事件日
2609,2017-05-04,彌補虧損,0.494436,0.467325,6.15,13.16,12.44,0.7216,,,,0,事件日
6142,2021-04-15,彌補虧損,0.895606,0.856354,13.95,16.29,15.58,0.7140,,,,0,事件日
2424,2020-12-21,彌補虧損,0.612491,0.600066,18.20,30.33,29.71,0.6153,,,,0,事件日
3623,2016-01-08,現金減資,0.608651,0.603571,43.80,66.00,65.53,0.4674,3.6290,3.9135,0.603550,0,事件日
2739,2022-08-22,彌補虧損,0.835426,0.820896,22.00,26.80,26.33,0.4661,,,,0,事件日
8150,2018-10-26,退還股款,0.849923,0.869285,23.50,25.53,25.88,0.3538,1.8015,1.5008,,0,事件日
2496,2016-09-10,彌補虧損,0.161685,0.161147,16.30,101.15,100.81,0.3367,,,,0,事件日
5213,2018-09-25,現金減資,0.937353,0.908558,17.75,18.53,18.27,0.2620,0.3808,0.6265,0.908965,0,事件日
2612,2016-10-07,退還股款,0.770000,0.781250,24.00,27.92,28.18,0.2618,2.5016,2.3000,,0,事件日
3555,2016-09-30,彌補虧損,0.507823,0.506665,31.55,62.27,62.13,0.1420,,,0.506700,0,事件日
3664,2017-10-30,現金減資,0.712641,0.703839,17.70,20.94,20.80,0.1351,2.7773,2.8736,0.704142,0,事件日
2327,2016-08-15,退還股款,0.802277,0.800572,54.80,65.96,65.84,0.1190,1.8818,1.9772,,0,事件日
2323,2022-10-24,退還股款,0.940000,0.913158,6.53,6.20,6.31,0.1085,0.7020,0.6000,,0,事件日
6541,2023-03-13,彌補虧損,0.333802,0.333602,37.20,111.51,111.44,0.0666,,,,0,事件日
1471,2018-01-22,彌補虧損,0.728514,0.722573,5.73,7.93,7.87,0.0647,,,,0,事件日
1449,2022-12-12,彌補虧損,0.691391,0.688876,12.20,17.71,17.65,0.0644,,,,0,往後找
6276,2019-12-30,現金減資,0.899021,0.893386,19.05,20.13,20.07,0.0635,0.9527,1.0098,0.893336,0,事件日
3555,2015-09-21,彌補虧損,0.368942,0.366348,3.07,8.38,8.32,0.0589,,,0.366196,0,事件日
6271,2020-11-30,退還股款,0.755758,0.755535,139.00,180.74,180.69,0.0505,2.4043,2.4424,,0,事件日
