stock_id,name,market,industry_code,industry_name,source,asof
3603,建祥國際,esb,29,電子通路業,tpex-mopsfin-R:1150908,1150908
3633,云光,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
3644,凌嘉科,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
3659,百辰,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
3678,聯享,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
4115,善德生技,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
4117,普生,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
4170,鑫品生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
4172,因華,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
4186,尖端醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
4194,禾生技,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
4197,暐世,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
4431,敏成健康,esb,20,其他,tpex-mopsfin-R:1150908,1150908
4537,旭東,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
4544,春日,esb,05,電機機械,tpex-mopsfin-R:1150908,1150908
4553,盛復,esb,05,電機機械,tpex-mopsfin-R:1150908,1150908
4559,久裕興,esb,37,運動休閒,tpex-mopsfin-R:1150908,1150908
4565,宏偉,esb,05,電機機械,tpex-mopsfin-R:1150908,1150908
4570,傑生,esb,05,電機機械,tpex-mopsfin-R:1150908,1150908
4573,高明鐵,esb,05,電機機械,tpex-mopsfin-R:1150908,1150908
4575,銓寶,esb,05,電機機械,tpex-mopsfin-R:1150908,1150908
4587,寶元數控,esb,05,電機機械,tpex-mopsfin-R:1150908,1150908
4589,碩陽電機,esb,05,電機機械,tpex-mopsfin-R:1150908,1150908
4724,宣捷幹細胞,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
4732,彥臣,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
4738,大同精化,esb,21,化學工業,tpex-mopsfin-R:1150908,1150908
4765,磐采,esb,21,化學工業,tpex-mopsfin-R:1150908,1150908
4925,智微,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
4980,佐臻,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
5240,建騰,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
5246,勵威,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
5248,景傳,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
5254,欣訊科技,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
5262,立達,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
5267,龍翩,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
5271,紘通,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
5297,廣化,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
5859,遠壽,esb,17,金融保險,tpex-mopsfin-R:1150908,1150908
5863,瑞興銀,esb,17,金融保險,tpex-mopsfin-R:1150908,1150908
6027,德信,esb,17,金融保險,tpex-mopsfin-R:1150908,1150908
6035,悠遊卡,esb,17,金融保險,tpex-mopsfin-R:1150908,1150908
6407,相互,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
6428,台灣淘米,esb,32,,tpex-mopsfin-R:1150908,1150908
6434,達輝光電,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
6467,泰合,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6473,美賣*,esb,36,數位雲端,tpex-mopsfin-R:1150908,1150908
6483,原創生醫,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6493,雷虎生,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6518,康科特,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6536,碩豐,esb,30,資訊服務業,tpex-mopsfin-R:1150908,1150908
6539,麗彤,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6543,普惠醫工,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6549,景凱,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6555,榮炭,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
6559,研晶,esb,26,光電業,tpex-mopsfin-R:1150908,1150908
6563,映智,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
6564,安特羅,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6565,物聯,esb,36,數位雲端,tpex-mopsfin-R:1150908,1150908
6572,博錸,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6580,台睿,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6583,友松,esb,32,,tpex-mopsfin-R:1150908,1150908
6586,醣基,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6595,光禹國際,esb,32,,tpex-mopsfin-R:1150908,1150908
6599,普達系統,esb,25,電腦及週邊設備業,tpex-mopsfin-R:1150908,1150908
6604,儒億,esb,05,電機機械,tpex-mopsfin-R:1150908,1150908
6610,安成生技,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6618,永虹先進,esb,21,化學工業,tpex-mopsfin-R:1150908,1150908
6621,華宇藥,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6622,百聿數碼,esb,32,,tpex-mopsfin-R:1150908,1150908
6634,欣耀,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
6638,沅聖,esb,25,電腦及週邊設備業,tpex-mopsfin-R:1150908,1150908
6639,源大環能,esb,23,油電燃氣業,tpex-mopsfin-R:1150908,1150908
6648,斯其大,esb,31,其他電子業,tpex-mopsfin-R:1150908,1150908
6650,帝圖,esb,32,,tpex-mopsfin-R:1150908,1150908
