src,market,stock_id,name,shape,start_date,flags,first_asof,last_asof,n_obs
tpex-cmode,tpex,2067,嘉鋼,state,,AlteredTrading=Ｙ,2026-09-21,2026-09-22,2
tpex-cmode,tpex,3064,泰偉,state,,AlteredTrading=Ｙ,2026-09-21,2026-09-22,2
tpex-cmode,tpex,3259,鑫創,state,,AlteredTrading=Ｙ,2026-09-21,2026-09-22,2
tpex-cmode,tpex,3625,西勝,state,,AlteredTrading=Ｙ,2026-09-21,2026-09-22,2
tpex-cmode,tpex,3629,地心引力,state,,AlteredTrading=Ｙ|PeriodicTrading=Ｙ|MatchingFrequency=030,2026-09-21,2026-09-22,2
tpex-cmode,tpex,3632,研勤,state,,AlteredTrading=Ｙ|PeriodicTrading=Ｙ|MatchingFrequency=030,2026-09-21,2026-09-22,2
tpex-cmode,tpex,3664,安瑞-KY,state,,AlteredTrading=Ｙ|PeriodicTrading=Ｙ|MatchingFrequency=030,2026-09-21,2026-09-22,2
tpex-cmode,tpex,3710,連展投控,state,,AlteredTrading=Ｙ,2026-09-21,2026-09-22,2
tpex-cmode,tpex,4529,淳紳,state,,AlteredTrading=Ｙ|PeriodicTrading=Ｙ|MatchingFrequency=030,2026-09-21,2026-09-22,2
tpex-cmode,tpex,4609,唐鋒,state,,AlteredTrading=Ｙ|PeriodicTrading=Ｙ|MatchingFrequency=030,2026-09-21,2026-09-22,2
tpex-cmode,tpex,4804,大略-KY,state,,SuspensionOfTrading=Ｙ,2026-09-21,2026-09-22,2
tpex-cmode,tpex,5301,寶得利,state,,AlteredTrading=Ｙ,2026-09-21,2026-09-22,2
tpex-cmode,tpex,5355,佳總,state,,AlteredTrading=Ｙ,2026-09-21,2026-09-22,2
tpex-cmode,tpex,5701,劍湖山,state,,AlteredTrading=Ｙ,2026-09-21,2026-09-22,2
tpex-cmode,tpex,6236,中湛,state,,AlteredTrading=Ｙ,2026-09-21,2026-09-22,2
tpex-cmode,tpex,8277,商丞,state,,AlteredTrading=Ｙ,2026-09-21,2026-09-22,2
tpex-cmode,tpex,8291,尚茂,state,,AlteredTrading=Ｙ,2026-09-21,2026-09-22,2
tpex-cmode,tpex,8444,綠河-KY,state,,AlteredTrading=Ｙ|PeriodicTrading=Ｙ|MatchingFrequency=030,2026-09-21,2026-09-22,2
tpex-cmode,tpex,8933,愛地雅,state,,AlteredTrading=Ｙ,2026-09-21,2026-09-22,2
tpex-t187ap26_O,tpex,4804,大略-KY,event,2026-09-03,,2026-09-21,2026-09-22,2
