stock_id,date,kind,factor,share_factor,ratio,lag,shares_before,shares_after
3004,2015-01-08,權,0.93304456,0.79648490,1.171453,15,41855405,52550155
3036,2015-01-13,權,0.97301650,0.87098942,1.117139,19,354443367,406943367
5227,2015-01-21,除權,0.97293233,0.86328310,1.127014,0,142073654,164573654
2426,2015-01-22,權,0.98133045,0.85503667,1.147706,26,235931842,275931842
1566,2015-01-27,除權,0.97899761,0.77567419,1.262125,0,51867028,66867028
8033,2015-01-29,權,0.96458588,0.84463494,1.142015,18,108729075,128729075
5880,2015-02-02,權,0.98496264,0.85775222,1.148307,30,9044980040,10544980040
1593,2015-02-04,除權,0.98056156,0.91221284,1.074926,0,27640560,30300560
8011,2015-02-04,權,0.98628646,0.85800324,1.149514,11,88970000,103694247
8050,2015-02-04,除權,0.97688073,0.92307195,1.058293,0,100192985,108542985
1799,2015-02-05,除權,0.96257745,0.77633866,1.239894,0,50781393,65411393
1808,2015-02-05,權,0.98687355,0.82499360,1.196220,18,177380937,215008864
4161,2015-02-09,除權,0.99301887,0.91712501,1.082752,0,46881834,51118259
4743,2015-02-10,除權,0.96215722,0.85852355,1.120712,0,152618100,177768100
3224,2015-02-24,除權,0.93369963,0.75000000,1.244933,0,30000000,40000000
4541,2015-02-24,除權,0.99327146,0.90765269,1.094330,0,49143426,54143426
1316,2015-02-26,權,0.96356563,0.81993046,1.175180,21,139312664,169907902
4529,2015-03-02,除權,0.98552632,0.87350226,1.128247,0,69052796,79052796
1528,2015-03-05,權,0.99672616,0.81666667,1.220481,32,147000000,180000000
2115,2015-03-09,權,0.99365971,0.95301679,1.042647,18,70994700,74494700
9939,2015-04-09,權,0.97619138,0.83863049,1.164030,18,259847879,309847879
1569,2015-04-22,除權,0.98544474,0.89337285,1.103061,0,83784745,93784745
6506,2015-05-25,除權息,0.91992188,0.86779491,1.060068,0,65388319,75349968
4703,2015-06-03,除權,1.00400000,0.91637025,1.095627,0,65744803,71744803
