stock_id,name,market,sec_kind,date,count,reason,close,per,source,asof
1815,富喬,tpex,普通股,2026-08-06,35,最近六個營業日(含當日)累積之最後成交價漲幅達34.14%(第一款)<br>當日週轉率達6.94%(第四款),86.80,44.51,tpex-attention,2026-09-07
1815,富喬,tpex,普通股,2026-08-07,21,最近六個營業日(含當日)累積之最後成交價漲幅達36.93%(第一款)<br>當日週轉率達5.35%(第四款),85.90,44.05,tpex-attention,2026-09-07
1815,富喬,tpex,普通股,2026-08-10,19,最近六個營業日(含當日)累積之最後成交價漲幅達30.7%(第一款)<br>當日週轉率達8.41%(第四款),89.10,45.69,tpex-attention,2026-09-07
1815,富喬,tpex,普通股,2026-08-25,29,最近六個營業日(含當日)之累積週轉率為80.84%，當日週轉率達6.31%(第十款),109.00,31.59,tpex-attention,2026-09-07
1815,富喬,tpex,普通股,2026-08-26,26,最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達60.98%，當日之前一個營業日當日沖銷成交量占總成交量達60.49%（第十三款),118.00,34.20,tpex-attention,2026-09-07
1815,富喬,tpex,普通股,2026-09-02,24,最近六個營業日(含當日)之累積週轉率為99.76%，當日週轉率達20.9%(第十款),131.00,37.97,tpex-attention,2026-09-07
1815,富喬,tpex,普通股,2026-09-03,23,最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達60.32%，當日之前一個營業日當日沖銷成交量占總成交量達69%（第十三款),120.00,34.78,tpex-attention,2026-09-07
2061,風青,tpex,普通股,2026-08-12,15,最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達62.43%，當日之前一個營業日當日沖銷成交量占總成交量達67.9%（第十三款),62.50,,tpex-attention,2026-09-07
2061,風青,tpex,普通股,2026-09-01,25,最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達224.48%(第二款),55.00,48.67,tpex-attention,2026-09-07
2061,風青,tpex,普通股,2026-09-02,24,最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達201.07%(第二款),56.00,49.56,tpex-attention,2026-09-07
2061,風青,tpex,普通股,2026-09-04,21,最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達181.25%(第二款),54.00,47.79,tpex-attention,2026-09-07
2221,大甲,tpex,普通股,2026-08-27,27,最近六個營業日(含當日)累積之最後成交價漲幅達36.07%(第一款),74.60,24.62,tpex-attention,2026-09-07
