stock_id,name,susp_date,susp_time,resume_date,resume_time,days
039695,元富JP,2016-03-30,8:00,2016-03-31,8:00,1
039701,大展H6,2016-03-30,8:00,2016-03-31,8:00,1
039782,CF凱基,2016-03-30,8:00,2016-03-31,8:00,1
039790,4B兆豐,2016-03-30,8:00,2016-03-31,8:00,1
039796,4Q兆豐,2016-03-30,8:00,2016-03-31,8:00,1
039828,玉山NU,2016-03-30,8:00,2016-03-31,8:00,1
039848,GK中信,2016-03-30,8:00,2016-03-31,8:00,1
039858,5B兆豐,2016-03-30,8:00,2016-03-31,8:00,1
039865,富邦EN,2016-03-30,8:00,2016-03-31,8:00,1
039872,1V統一,2016-03-30,8:00,2016-03-31,8:00,1
039879,DC凱基,2016-03-30,8:00,2016-03-31,8:00,1
039919,元大LP,2016-03-30,8:00,2016-03-31,8:00,1
039968,2C統一,2016-03-30,8:00,2016-03-31,8:00,1
039972,國票JQ,2016-03-30,8:00,2016-03-31,8:00,1
039987,DP凱基,2016-03-30,8:00,2016-03-31,8:00,1
040012,永豐5S,2016-03-30,8:00,2016-03-31,8:00,1
040034,6G兆豐,2016-03-30,8:00,2016-03-31,8:00,1
040037,6K兆豐,2016-03-30,8:00,2016-03-31,8:00,1
040049,LY群益,2016-03-30,8:00,2016-03-31,8:00,1
040076,EE凱基,2016-03-30,8:00,2016-03-31,8:00,1
040077,EF凱基,2016-03-30,8:00,2016-03-31,8:00,1
040147,MN群益,2016-03-30,8:00,2016-03-31,8:00,1
040164,日盛5G,2016-03-30,8:00,2016-03-31,8:00,1
040171,富邦GG,2016-03-30,8:00,2016-03-31,8:00,1
040200,7S兆豐,2016-03-30,8:00,2016-03-31,8:00,1
040229,元大NQ,2016-03-30,8:00,2016-03-31,8:00,1
040241,2W統一,2016-03-30,8:00,2016-03-31,8:00,1
040255,大展I3,2016-03-30,8:00,2016-03-31,8:00,1
040378,元富NJ,2016-03-30,8:00,2016-03-31,8:00,1
040379,元富NK,2016-03-30,8:00,2016-03-31,8:00,1
040385,永豐7F,2016-03-30,8:00,2016-03-31,8:00,1
040405,元富NP,2016-03-30,8:00,2016-03-31,8:00,1
040418,元大XY,2016-03-30,8:00,2016-03-31,8:00,1
040429,NC群益,2016-03-30,8:00,2016-03-31,8:00,1
040436,富邦JC,2016-03-30,8:00,2016-03-31,8:00,1
040442,元大YJ,2016-03-30,8:00,2016-03-31,8:00,1
040443,元大YK,2016-03-30,8:00,2016-03-31,8:00,1
040452,NN群益,2016-03-30,8:00,2016-03-31,8:00,1
040458,HB凱基,2016-03-30,8:00,2016-03-31,8:00,1
040482,永昌D3,2016-03-30,8:00,2016-03-31,8:00,1
040525,兆豐21,2016-03-30,8:00,2016-03-31,8:00,1
040526,兆豐22,2016-03-30,8:00,2016-03-31,8:00,1
040538,元大YY,2016-03-30,8:00,2016-03-31,8:00,1
040585,永豐8T,2016-03-30,8:00,2016-03-31,8:00,1
040596,HM中信,2016-03-30,8:00,2016-03-31,8:00,1
040634,14元富,2016-03-30,8:00,2016-03-31,8:00,1
040646,兆豐65,2016-03-30,8:00,2016-03-31,8:00,1
040654,日盛6F,2016-03-30,8:00,2016-03-31,8:00,1
040691,日盛6J,2016-03-30,8:00,2016-03-31,8:00,1
040701,JT凱基,2016-03-30,8:00,2016-03-31,8:00,1
040722,大展J2,2016-03-30,8:00,2016-03-31,8:00,1
040728,富邦KD,2016-03-30,8:00,2016-03-31,8:00,1
040746,4L統一,2016-03-30,8:00,2016-03-31,8:00,1
040765,富邦KK,2016-03-30,8:00,2016-03-31,8:00,1
040834,群益31,2016-03-30,8:00,2016-03-31,8:00,1
