event_date,stock_id,name,last_close,ref_price,limit_up,limit_down,base_price,ex_ref_price,reason
2013-09-14,6291,沛亨,2.00,4.00,4.28,3.72,4.00,0.00,彌補虧損
2013-09-26,5701,劍湖山,3.55,6.60,7.06,6.14,6.60,0.00,彌補虧損
2013-10-07,3071,協禧,7.44,6.86,7.34,6.38,6.86,0.00,現金減資
2013-10-07,3073,普格,6.35,15.34,16.40,14.30,15.35,0.00,彌補虧損
2013-10-07,4703,揚華,20.50,26.28,28.10,24.45,26.30,0.00,彌補虧損
2013-10-07,5523,宏都,12.45,19.49,20.85,18.15,19.50,0.00,彌補虧損
2013-10-07,5601,台聯櫃,29.30,31.44,33.60,29.25,31.45,0.00,現金減資
2013-10-18,8941,關中,3.10,31.00,33.15,28.85,31.00,0.00,彌補虧損
2013-10-31,8433,弘帆,40.50,48.13,51.40,44.80,48.15,0.00,現金減資
2013-11-04,8935,邦泰,4.78,8.02,8.58,7.46,8.02,0.00,彌補虧損
2013-11-25,5321,友銓,6.49,20.28,21.65,18.90,20.30,0.00,彌補虧損
2013-11-28,6198,凌泰,8.73,15.45,16.50,14.40,15.45,0.00,彌補虧損
2013-12-09,8066,來思達,19.25,37.02,39.60,34.45,37.00,0.00,彌補虧損
2013-12-10,5364,易福,1.15,46.04,49.25,42.85,46.05,0.00,彌補虧損
2013-12-20,6246,臺龍,5.00,6.54,6.99,6.09,6.54,0.00,彌補虧損
2013-12-23,4530,宏易,2.20,6.11,6.53,5.69,6.11,0.00,彌補虧損
2014-01-06,3224,三顧,19.80,27.72,29.65,25.80,27.70,0.00,彌補虧損
2014-02-21,1799,紅電醫,24.25,31.84,34.05,29.65,31.85,0.00,彌補虧損
2014-02-24,6179,世仰,12.25,18.94,20.25,17.65,18.95,0.00,彌補虧損
2014-02-24,6199,精威,14.50,22.07,23.60,20.55,22.05,0.00,彌補虧損
2014-02-25,5205,漢康,5.95,14.88,15.90,13.85,14.90,0.00,彌補虧損
2014-04-11,6242,亨豐,7.10,26.52,28.35,24.70,26.50,0.00,彌補虧損
2014-04-30,5301,寶得利,64.40,87.05,93.10,81.00,87.10,0.00,彌補虧損
2014-05-12,8266,中日新,8.00,20.71,22.15,19.30,20.70,0.00,彌補虧損
2014-08-15,8928,鉅明,27.00,33.75,0.00,0.00,0.00,0.00,彌補虧損
2014-08-25,5315,光聯,4.33,6.45,6.90,6.00,6.45,0.00,彌補虧損
2014-08-29,5371,中光電,39.60,49.47,52.90,46.05,49.45,0.00,現金減資
2014-09-15,3555,擎泰,7.47,12.08,12.90,11.25,12.10,0.00,彌補虧損
2014-09-22,3095,及成,3.05,6.35,6.79,5.91,6.35,0.00,彌補虧損
2014-09-30,6138,茂達,28.30,34.26,36.65,31.90,34.25,0.00,現金減資
2014-09-30,8942,森鉅,69.00,79.38,84.90,73.90,79.40,0.00,現金減資
2014-10-06,8043,蜜望實,17.40,18.51,19.80,17.25,18.50,0.00,現金減資
2014-10-09,6240,松崗,17.20,46.69,49.95,43.45,46.70,0.00,彌補虧損
2014-10-20,8077,冠華,5.37,21.06,22.50,19.60,21.05,0.00,彌補虧損
2014-10-24,4907,富宇,11.00,15.48,16.55,14.40,15.50,0.00,彌補虧損
2014-10-27,8107,大億科,13.40,22.21,23.75,20.70,22.20,0.00,彌補虧損
2014-11-07,3629,卓韋,2.87,5.22,5.58,4.86,5.22,0.00,彌補虧損
2014-11-14,4402,福大,4.24,8.76,9.37,8.15,8.76,0.00,彌補虧損
2014-11-27,3086,華義,9.90,12.33,13.15,11.50,12.35,0.00,彌補虧損
2014-11-27,5465,富驊,10.45,11.26,12.00,10.50,11.25,0.00,彌補虧損
2014-11-28,6248,沛波,8.30,27.67,29.60,25.75,27.65,0.00,彌補虧損
2014-12-01,3066,李洲,5.52,10.04,10.70,9.34,10.05,0.00,彌補虧損
2014-12-12,6199,精威,17.40,18.91,20.20,17.60,18.90,0.00,彌補虧損
2014-12-15,3431,長天,11.35,19.15,20.45,17.85,19.15,0.00,彌補虧損
