event_date,stock_id,name,last_close,ref_price,limit_up,limit_down,base_price,ex_ref_price,reason
2014-12-26,8047,星雲,12.40,12.98,13.85,12.10,13.00,0.00,現金減資
2014-12-30,5455,訊利電,1.97,13.13,14.00,12.25,13.15,0.00,彌補虧損
2015-01-30,4131,晶宇,9.95,12.56,13.40,11.70,12.55,0.00,彌補虧損
2015-02-10,8111,立碁,5.41,6.86,7.34,6.38,6.86,0.00,彌補虧損
2015-03-13,3465,祥業,4.82,8.05,8.61,7.49,8.05,0.00,彌補虧損
2015-03-20,6103,合邦,4.39,9.72,10.40,9.04,9.72,0.00,彌補虧損
2015-03-27,4419,松懋,4.77,7.95,8.50,7.40,7.95,0.00,彌補虧損
2015-04-28,4304,勝昱,11.10,16.02,17.10,14.90,16.00,0.00,彌補虧損
2015-05-08,4413,飛寶,6.05,20.17,21.55,18.80,20.15,0.00,彌補虧損
2015-08-28,3105,穩懋,27.50,31.87,35.05,28.70,31.85,0.00,現金減資
2015-09-02,4107,邦特,82.10,100.05,110.00,90.10,100.00,0.00,現金減資
2015-09-21,3555,擎泰,3.07,8.38,9.21,7.55,8.38,0.00,彌補虧損
2015-10-06,6150,撼訊,5.46,7.64,8.40,6.88,7.64,0.00,彌補虧損
2015-10-21,5403,中菲,20.35,22.18,24.35,20.00,22.20,0.00,現金減資
2015-10-22,6156,松上,9.26,11.99,13.15,10.80,12.00,0.00,彌補虧損
2015-11-06,6194,育富,18.30,20.38,22.40,18.35,20.40,0.00,現金減資
2015-11-17,3434,哲固,9.01,13.02,14.30,11.75,13.00,0.00,彌補虧損
2015-11-23,4502,源恆,8.80,24.44,26.85,22.00,24.45,0.00,彌補虧損
2015-11-27,3629,卓韋,8.50,17.64,19.40,15.90,17.65,0.00,彌補虧損
2015-12-31,3141,晶宏,19.30,25.41,27.95,22.90,25.40,0.00,現金減資
2015-12-31,6248,沛波,22.85,25.44,27.95,22.90,25.45,0.00,彌補虧損
2016-01-08,3623,富晶通,43.80,66.00,72.60,59.40,66.00,0.00,現金減資
2016-02-24,6264,富裔,6.24,9.94,10.90,8.95,9.94,0.00,彌補虧損
2016-03-04,8107,大億科,19.90,21.40,23.50,19.30,21.40,0.00,現金減資
2016-03-21,5398,力瑋,21.45,27.08,29.75,24.40,27.10,0.00,彌補虧損
2016-08-26,5371,中光電,29.85,34.81,38.25,31.35,34.80,0.00,現金減資
2016-09-01,3234,光環,65.00,88.57,97.40,79.80,88.60,0.00,現金減資
2016-09-14,5511,德昌,23.25,25.06,27.55,22.60,25.05,0.00,現金減資
2016-09-19,4503,金雨,13.85,18.35,20.15,16.55,18.35,0.00,彌補虧損
2016-09-23,3105,穩懋,59.00,80.52,88.50,72.50,80.50,0.00,現金減資
2016-09-30,3555,重鳥鵬,31.55,62.27,68.40,56.10,62.30,0.00,彌補虧損
2016-10-03,6276,安鈦克,5.92,7.64,8.40,6.88,7.64,0.00,彌補虧損
2016-10-07,3339,泰谷,2.60,7.44,8.18,6.70,7.44,0.00,彌補虧損
2016-10-07,5353,台林,10.50,10.56,11.60,9.51,10.55,0.00,現金減資
2016-10-14,8913,全銓,18.45,20.56,22.60,18.55,20.55,0.00,現金減資
2016-10-17,1333,恩得利,2.97,4.95,5.44,4.46,4.95,0.00,彌補虧損
2016-10-17,3562,頂晶科,3.10,12.40,13.60,11.20,12.40,0.00,彌補虧損
2016-10-17,6208,日揚,14.20,14.88,16.35,13.40,14.90,0.00,現金減資
2016-10-20,3310,佳穎,14.45,15.93,17.50,14.35,15.95,0.00,現金減資
2016-10-31,6246,臺龍,3.06,19.13,21.00,17.25,19.15,0.00,彌補虧損
2016-11-03,6150,撼訊,12.50,20.83,22.90,18.75,20.85,0.00,彌補虧損
2016-11-03,8176,智捷,8.00,8.73,9.60,7.86,8.73,0.00,彌補虧損
2016-11-08,1584,精剛,15.35,16.65,18.30,15.00,16.65,0.00,現金減資
2016-11-10,3354,律勝,10.35,10.41,11.45,9.37,10.40,0.00,現金減資
2016-11-15,6228,全譜,8.60,16.66,18.30,15.00,16.65,0.00,彌補虧損
2016-11-24,4712,南璋,6.70,10.66,11.70,9.60,10.65,0.00,彌補虧損
2016-11-29,3465,祥業,5.55,11.10,12.20,9.99,11.10,0.00,彌補虧損
2016-12-29,6222,上揚,4.18,8.36,0.00,0.00,0.00,0.00,彌補虧損
2017-03-30,3086,華義,7.06,14.25,15.65,12.85,14.25,0.00,彌補虧損
2017-04-25,5475,德宏,4.13,6.16,6.77,5.55,6.16,0.00,彌補虧損
2017-08-30,3071,協禧,14.05,14.54,15.95,13.10,14.55,0.00,彌補虧損
2017-09-01,6219,富旺,10.10,10.11,11.10,9.10,10.10,0.00,現金減資
2017-09-06,5511,德昌,19.70,21.41,23.55,19.30,21.40,0.00,現金減資
2017-09-15,6291,沛亨,2.91,4.80,5.28,4.32,4.80,0.00,彌補虧損
2017-09-18,8913,全銓,32.00,120.00,132.00,108.00,120.00,0.00,現金減資
2017-09-19,6173,信昌電,34.00,35.83,39.40,32.25,35.85,0.00,現金減資
2017-09-28,1785,光洋科,15.00,17.02,18.70,15.35,17.00,0.00,彌補虧損
2017-09-28,6121,新普,107.00,171.67,188.50,155.00,171.50,0.00,現金減資
2017-10-05,3615,安可,27.45,27.99,30.75,25.20,28.00,0.00,現金減資
2017-10-06,4303,信立,37.30,109.40,120.00,98.50,109.50,0.00,現金減資
2017-10-06,8107,大億科,41.35,51.52,56.60,46.40,51.50,0.00,現金減資
2017-10-12,4506,崇友,45.60,49.56,54.50,44.65,49.55,0.00,現金減資
2017-10-20,5353,台林,12.30,12.51,13.75,11.30,12.50,0.00,現金減資
2017-10-30,3580,友威科,37.20,69.19,76.10,62.30,69.20,0.00,彌補虧損
2017-10-30,3664,安瑞-KY,17.70,20.94,23.00,18.85,20.95,0.00,現金減資
2017-10-31,5213,亞昕,16.20,16.89,18.55,15.25,16.90,0.00,現金減資
2017-11-06,3623,富晶通,38.90,46.09,50.60,41.50,46.10,0.00,現金減資
2017-11-06,8935,邦泰,7.03,10.03,11.00,9.03,10.05,0.00,彌補虧損
2017-11-13,3516,亞帝歐,11.00,14.64,16.10,13.20,14.65,0.00,彌補虧損
2017-11-14,3310,佳穎,23.55,28.07,30.85,25.30,28.05,0.00,現金減資
2017-11-27,3071,協禧,22.25,24.41,26.85,22.00,24.40,0.00,現金減資
2017-12-06,8067,志旭,5.40,8.06,8.86,7.26,8.06,0.00,彌補虧損
2017-12-15,8091,翔名,93.60,129.43,142.00,116.50,129.50,0.00,現金減資
2018-01-02,5383,金利,10.50,14.97,16.45,13.50,14.95,0.00,彌補虧損
2018-01-15,5381,合正,4.99,7.90,8.69,7.11,7.90,0.00,彌補虧損
2018-03-12,3089,遠昇,5.23,12.24,13.45,11.05,12.25,0.00,彌補虧損
2018-03-13,1742,台蠟,9.78,15.26,16.75,13.75,15.25,0.00,彌補虧損
2018-04-03,3629,群富通,22.10,33.69,37.05,30.35,33.70,0.00,彌補虧損
2018-08-22,2641,正德,7.43,9.36,10.25,8.43,9.36,0.00,彌補虧損
2018-08-27,4198,環瑞醫,5.61,18.70,20.55,16.85,18.70,0.00,彌補虧損
2018-08-27,8924,大田,25.20,32.00,35.20,28.80,32.00,0.00,現金減資
2018-09-03,3188,鑫龍騰,17.05,20.07,22.05,18.10,20.05,0.00,彌補虧損
2018-09-03,3523,迎輝,6.30,12.60,13.85,11.35,12.60,0.00,彌補虧損
2018-09-04,5356,協益,24.85,28.56,31.40,25.75,28.55,0.00,現金減資
2018-09-07,4304,勝昱,5.13,7.31,8.04,6.58,7.31,0.00,彌補虧損
2018-09-18,6486,互動,40.70,48.38,53.20,43.55,48.40,0.00,現金減資
2018-09-25,4944,兆遠,13.30,17.12,18.80,15.45,17.10,0.00,彌補虧損
2018-09-25,5213,亞昕,17.75,18.53,20.35,16.70,18.55,0.00,現金減資
2018-09-25,6109,亞元,10.50,10.63,11.65,9.57,10.65,0.00,現金減資
2018-10-01,6138,茂達,53.60,72.29,79.50,65.10,72.30,0.00,現金減資
2018-10-01,6148,驊宏資,6.46,8.64,9.50,7.78,8.64,0.00,彌補虧損
2018-10-01,6161,捷波,16.00,18.57,20.40,16.75,18.55,0.00,現金減資
2018-10-03,5309,系統電,6.66,9.41,10.35,8.47,9.41,0.00,彌補虧損
2018-10-11,3310,佳穎,41.95,49.94,54.90,44.95,49.95,0.00,現金減資
2018-10-15,3498,陽程,31.10,40.14,44.15,36.15,40.15,0.00,現金減資
2018-10-22,2061,風青,10.15,10.16,11.15,9.15,10.15,0.00,現金減資
2018-11-05,5520,力泰,27.00,30.00,33.00,27.00,30.00,0.00,現金減資
2018-11-12,3207,耀勝,10.50,12.35,13.55,11.15,12.35,0.00,彌補虧損
2018-12-10,3452,益通,2.91,7.10,7.81,6.39,7.10,0.00,彌補虧損
2018-12-17,5481,華韡,17.10,19.00,20.90,17.10,19.00,0.00,現金減資
2018-12-24,3219,倚強,11.00,17.34,19.05,15.65,17.35,0.00,彌補虧損
2018-12-24,3288,點晶,4.40,11.00,12.10,9.90,11.00,0.00,彌補虧損
2019-01-02,3520,振維,5.53,10.54,11.55,9.49,10.55,0.00,彌補虧損
2019-01-14,5317,凱美,43.60,50.89,55.90,45.85,50.90,0.00,現金減資
2019-01-14,8906,花王,10.70,16.13,17.70,14.55,16.15,0.00,彌補虧損
2019-02-18,6148,驊宏資,9.98,9.97,10.95,8.98,9.97,0.00,現金減資
2019-03-11,6291,沛亨,5.26,15.47,17.00,13.95,15.45,0.00,彌補虧損
2019-03-29,4109,穆拉德加捷,17.45,20.56,22.60,18.55,20.55,0.00,彌補虧損
2019-09-30,5345,天揚,3.93,6.55,7.20,5.90,6.55,0.00,彌補虧損
2019-09-30,6276,安鈦克,13.55,14.05,15.45,12.65,14.05,0.00,彌補虧損
2019-10-07,3071,協禧,16.95,17.58,19.30,15.85,17.60,0.00,現金減資
2019-10-07,3372,典範,3.70,8.75,9.62,7.88,8.75,0.00,彌補虧損
2019-10-07,3490,單井,21.25,22.50,24.75,20.25,22.50,0.00,現金減資
2019-10-07,5468,凱鈺,3.95,13.91,15.30,12.55,13.90,0.00,彌補虧損
2019-10-07,6158,禾昌,24.75,39.50,43.45,35.55,39.50,0.00,現金減資
2019-10-07,6169,昱泉,12.55,19.92,21.90,17.95,19.90,0.00,彌補虧損
2019-10-07,6204,艾華,21.40,27.81,30.55,25.05,27.80,0.00,現金減資
2019-10-07,8289,泰藝,12.30,12.56,13.80,11.35,12.55,0.00,現金減資
2019-10-21,2719,燦星旅,3.87,7.64,8.40,6.88,7.64,0.00,彌補虧損
2019-10-21,6194,育富,22.10,25.73,28.30,23.20,25.75,0.00,現金減資
2019-10-21,8040,九暘,11.30,13.95,15.30,12.60,13.95,0.00,彌補虧損
2019-11-04,5460,同協,12.00,12.35,13.55,11.15,12.35,0.00,現金減資
2019-11-11,5529,志嘉,6.52,9.16,10.05,8.25,9.16,0.00,彌補虧損
2019-11-25,6284,佳邦,35.00,36.32,39.95,32.70,36.30,0.00,現金減資
2019-12-04,8067,志旭,7.06,10.09,11.05,9.09,10.10,0.00,彌補虧損
2019-12-09,4702,中美實,3.40,10.58,11.60,9.53,10.60,0.00,彌補虧損
2019-12-23,8933,愛地雅,4.38,6.26,6.88,5.64,6.26,0.00,彌補虧損
2019-12-30,6276,安鈦克,19.05,20.13,22.10,18.15,20.15,0.00,現金減資
2020-01-13,3073,凱柏實業,5.20,9.76,10.70,8.79,9.76,0.00,彌補虧損
2020-01-13,3086,華義,7.06,32.18,35.35,29.00,32.20,0.00,彌補虧損
2020-01-17,6222,上揚,10.70,15.09,16.55,13.60,15.10,0.00,彌補虧損
2020-02-24,2740,天蔥,8.14,15.57,17.10,14.05,15.55,0.00,彌補虧損
2020-02-24,6419,京晨科,6.93,14.64,16.10,13.20,14.65,0.00,彌補虧損
2020-06-22,5227,立凱-KY,10.00,18.58,20.40,16.75,18.60,0.00,彌補虧損
2020-07-06,3085,新零售,1.98,7.53,8.28,6.78,7.53,0.00,彌補虧損
2020-08-24,3169,亞信,34.10,36.78,40.45,33.15,36.80,0.00,現金減資
2020-08-28,5301,寶得利,9.98,14.75,16.20,13.30,14.75,0.00,彌補虧損
2020-09-14,3438,類比科,30.20,38.86,42.70,35.00,38.85,0.00,現金減資
2020-09-21,6144,得利影,6.12,11.69,12.85,10.55,11.70,0.00,彌補虧損
2020-09-21,6259,百徽,2.34,16.80,18.45,15.15,16.80,0.00,彌補虧損
2020-09-25,6109,亞元,10.50,10.63,11.65,9.57,10.65,0.00,現金減資
2020-09-28,5351,鈺創,9.41,18.81,20.65,16.95,18.80,0.00,彌補虧損
2020-09-28,6244,茂迪,24.50,37.29,41.00,33.60,37.30,0.00,彌補虧損
2020-09-29,4944,兆遠,14.70,34.98,38.45,31.50,35.00,0.00,彌補虧損
2020-09-30,3064,泰偉,12.20,38.37,42.20,34.55,38.35,0.00,彌補虧損
2020-09-30,4946,辣椒,11.00,22.00,24.20,19.80,22.00,0.00,彌補虧損
2020-10-05,3259,鑫創,20.55,25.69,28.25,23.15,25.70,0.00,彌補虧損
2020-10-19,3339,泰谷,5.76,12.80,14.05,11.55,12.80,0.00,彌補虧損
2020-10-19,3632,研勤,8.50,12.08,13.25,10.90,12.10,0.00,彌補虧損
2020-10-19,4153,鈺緯,27.20,30.62,33.65,27.60,30.60,0.00,現金減資
2020-10-19,5493,三聯,41.60,43.62,47.95,39.30,43.60,0.00,現金減資
2020-11-02,4905,台聯電,46.65,50.78,55.80,45.75,50.80,0.00,現金減資
2020-11-30,6198,凌泰,14.60,36.14,39.75,32.55,36.15,0.00,彌補虧損
2020-12-31,2719,燦星旅,8.00,9.85,10.80,8.87,9.85,0.00,彌補虧損
2021-01-11,8080,永利聯合,3.90,9.75,10.70,8.78,9.75,0.00,彌補虧損
2021-01-18,2061,風青,14.45,15.56,17.10,14.05,15.55,0.00,現金減資
2021-01-18,6134,萬旭,12.30,17.16,18.85,15.45,17.15,0.00,彌補虧損
2021-02-01,8291,尚茂,3.80,7.60,8.36,6.84,7.60,0.00,彌補虧損
2021-03-24,3230,錦明,8.17,14.92,16.40,13.45,14.90,0.00,彌補虧損
2021-03-29,3526,凡甲,127.00,165.93,182.50,149.50,166.00,0.00,現金減資
2021-04-19,5205,中茂,9.97,24.93,27.40,22.45,24.95,0.00,彌補虧損
2021-04-19,5475,德宏,5.50,7.86,8.64,7.08,7.86,0.00,彌補虧損
2021-06-28,5227,立凱-KY,10.70,18.59,20.40,16.75,18.60,0.00,彌補虧損
2021-07-05,3162,精確,27.00,44.64,49.10,40.20,44.65,0.00,彌補虧損
2021-10-06,3555,重鵬,30.10,41.53,45.65,37.40,41.55,0.00,彌補虧損
2021-11-01,5460,同協,12.10,12.19,13.40,11.00,12.20,0.00,現金減資
2021-11-01,6404,通訊-KY,7.40,19.25,21.15,17.35,19.25,0.00,彌補虧損
2021-11-29,3523,迎輝,7.34,12.23,13.45,11.05,12.25,0.00,彌補虧損
2021-12-06,4905,台聯電,51.30,54.89,60.30,49.45,54.90,0.00,現金減資
2021-12-06,6465,威潤,23.50,30.76,33.80,27.70,30.75,0.00,彌補虧損
2021-12-07,3067,全域,28.70,41.65,45.80,37.50,41.65,0.00,彌補虧損
2021-12-13,5227,立凱-KY,43.50,66.77,73.40,60.10,66.80,0.00,彌補虧損
2021-12-20,5465,富驊,15.90,16.56,18.20,14.95,16.55,0.00,現金減資
2021-12-27,8085,福華,15.15,17.02,18.70,15.35,17.00,0.00,彌補虧損
2021-12-30,5310,天剛,15.95,35.05,38.55,31.55,35.05,0.00,彌補虧損
2022-01-10,2724,富驛-KY,8.90,17.80,19.55,16.05,17.80,0.00,彌補虧損
2022-01-10,4131,晶宇,6.50,16.52,18.15,14.90,16.50,0.00,彌補虧損
2022-02-14,8080,永利聯合,9.03,18.06,19.85,16.30,18.05,0.00,彌補虧損
2022-08-01,2719,燦星旅,14.00,25.45,27.95,22.95,25.45,0.00,彌補虧損
2022-08-08,6109,亞元,13.40,14.63,16.05,13.20,14.65,0.00,彌補虧損
2022-08-15,4198,欣大健康,4.78,23.90,26.25,21.55,23.90,0.00,彌補虧損
2022-08-26,3522,御頂,9.33,15.60,17.15,14.05,15.60,0.00,彌補虧損
2022-08-31,4944,兆遠,10.20,20.42,22.45,18.40,20.40,0.00,彌補虧損
2022-09-05,8093,保銳,8.03,11.47,12.60,10.35,11.45,0.00,彌補虧損
2022-09-26,3288,點晶,15.00,22.66,24.90,20.40,22.65,0.00,彌補虧損
2022-09-26,6291,沛亨,64.20,96.30,105.50,86.70,96.30,0.00,彌補虧損
2022-09-30,4729,熒茂,11.50,15.12,16.60,13.65,15.10,0.00,彌補虧損
2022-10-03,6287,元隆,8.06,32.24,35.45,29.05,32.25,0.00,彌補虧損
2022-10-11,1799,易威,10.50,15.00,16.50,13.50,15.00,0.00,彌補虧損
2022-10-24,6194,育富,21.50,24.38,26.80,21.95,24.40,0.00,現金減資
2022-10-31,3095,及成,2.77,30.27,33.25,27.25,30.25,0.00,彌補虧損
2022-10-31,8390,金益鼎,28.20,32.75,36.00,29.50,32.75,0.00,現金減資
2022-11-21,6207,雷科,25.25,26.05,28.65,23.45,26.05,0.00,現金減資
2022-12-02,5314,世紀,4.78,19.51,21.45,17.60,19.50,0.00,彌補虧損
2022-12-30,4903,聯光通,10.00,14.52,15.95,13.10,14.50,0.00,彌補虧損
2023-02-13,3085,新零售,11.00,22.00,24.20,19.80,22.00,0.00,彌補虧損
2023-02-13,8077,洛碁,6.74,33.70,37.05,30.35,33.70,0.00,彌補虧損
2023-03-01,4419,元勝,9.00,11.25,12.35,10.15,11.25,0.00,彌補虧損
2023-03-01,8067,志旭,8.88,15.40,16.90,13.90,15.40,0.00,彌補虧損
2023-03-08,6103,合邦,5.67,37.27,40.95,33.55,37.25,0.00,彌補虧損
2023-04-26,5701,劍湖山,3.62,8.95,9.84,8.06,8.95,0.00,彌補虧損
2023-07-10,4192,杏國,17.80,66.63,73.20,60.00,66.60,0.00,彌補虧損
2023-07-11,6219,富旺,13.45,22.03,24.20,19.85,22.05,0.00,彌補虧損
2023-08-28,3259,鑫創,21.05,31.59,34.70,28.45,31.60,0.00,彌補虧損
2023-09-25,5345,天揚,4.40,13.75,15.10,12.40,13.75,0.00,彌補虧損
2023-09-25,5529,鉅陞,11.25,20.27,22.25,18.25,20.25,0.00,彌補虧損
2023-10-11,6228,全譜,11.40,22.67,24.90,20.45,22.65,0.00,彌補虧損
2023-11-06,2726,雅茗-KY,22.00,31.49,34.60,28.35,31.50,0.00,彌補虧損
2023-11-20,4946,辣椒,28.75,57.50,63.20,51.80,57.50,0.00,彌補虧損
2023-12-18,6276,安鈦克,85.00,117.14,128.50,105.50,117.00,0.00,現金減資
2024-02-05,3064,泰偉,10.65,35.50,39.05,31.95,35.50,0.00,彌補虧損
2024-02-21,3191,和進,10.45,20.90,22.95,18.85,20.90,0.00,彌補虧損
2024-09-02,4154,樂威科-KY,14.50,21.00,23.10,18.90,21.00,0.00,彌補虧損
2024-09-16,5227,立凱-KY,28.00,34.18,37.55,30.80,34.20,0.00,彌補虧損
2024-09-30,4946,辣椒,33.80,46.49,51.10,41.85,46.50,0.00,彌補虧損
2024-09-30,5348,正能量智能,13.50,26.45,29.05,23.85,26.45,0.00,彌補虧損
2024-09-30,6208,日揚,54.20,65.25,71.70,58.80,65.30,0.00,現金減資
2024-09-30,8034,榮群,18.90,19.89,21.85,17.95,19.90,0.00,現金減資
2024-10-07,3171,新洲,26.50,43.00,47.30,38.70,43.00,0.00,現金減資
2024-10-21,6161,捷波,45.55,57.40,63.10,51.70,57.40,0.00,現金減資
2025-01-13,2740,天蔥,21.55,39.18,43.05,35.30,39.20,0.00,彌補虧損
2025-01-20,3115,富榮綱,9.50,12.89,14.15,11.65,12.90,0.00,彌補虧損
2025-08-11,8291,尚茂,6.82,25.26,27.75,22.75,25.25,0.00,彌補虧損
2025-08-25,3290,東浦,28.65,36.64,40.30,33.00,36.65,0.00,現金減資
2025-10-03,4806,桂田文創,7.54,15.08,16.55,13.60,15.10,0.00,彌補虧損
2025-10-20,6167,久正,11.95,12.17,13.35,11.00,12.15,0.00,現金減資
2025-11-11,4950,金耘國際,10.30,26.18,28.75,23.60,26.20,0.00,彌補虧損
2025-11-12,5301,寶得利,6.41,13.89,15.25,12.55,13.90,0.00,彌補虧損
2025-11-24,6465,威潤,15.65,17.25,18.95,15.55,17.25,0.00,彌補虧損
2025-12-29,4530,宏易,12.30,31.32,34.45,28.20,31.30,0.00,彌補虧損
2026-01-12,8093,保銳,13.00,21.67,23.80,19.55,21.65,0.00,彌補虧損
2026-02-03,4174,浩鼎,27.60,55.20,60.70,49.70,55.20,0.00,彌補虧損
2026-04-13,5381,合正,22.50,26.47,29.10,23.85,26.45,0.00,彌補虧損
2026-06-30,3152,璟德,208.00,360.24,396.00,324.50,360.00,0.00,現金減資
2026-08-25,6241,鑫永洋,13.85,18.98,20.85,17.10,19.00,0.00,彌補虧損
2026-09-09,6461,益得,16.65,26.92,29.60,24.25,26.90,0.00,彌補虧損
2026-09-14,6129,普誠,13.10,14.76,16.20,13.30,14.75,0.00,彌補虧損
2026-09-21,3710,連展投控,5.13,8.32,9.15,7.49,8.32,0.00,彌補虧損
2026-09-21,8059,凱碩,13.40,22.33,24.55,20.10,22.35,0.00,彌補虧損
2026-09-21,8277,商丞,8.05,18.67,20.50,16.85,18.65,0.00,彌補虧損
