date,verdict,taipei_hit,page_date,source,checked_at
2026-09-09,open,0,2026-09-09,https://www.dgpa.gov.tw/typh/daily/nds.html,2026-09-09T19:35:29+08:00
2026-09-10,open,0,2026-09-10,https://www.dgpa.gov.tw/typh/daily/nds.html,2026-09-10T15:22:03+08:00
