delist_date,stock_id,name,asof,market
2006-12-01,2394,普立爾,2026-09-12,twse
2006-12-19,2811,台東企銀,2026-09-12,twse
2007-01-01,2343,精業,2026-09-12,twse
2007-01-18,2807,新竹商銀,2026-09-12,twse
2007-03-01,3214,元砷,2026-09-12,twse
2007-03-12,2523,德寶營造,2026-09-12,twse
2007-03-19,2410,鼎大興業,2026-09-12,twse
2007-04-02,6004,元京證,2026-09-12,twse
2007-04-11,1207,嘉新食化,2026-09-12,twse
2007-04-11,9801,中國力霸,2026-09-12,twse
2007-04-13,3007,綠點,2026-09-12,twse
2007-04-30,2827,中聯信託,2026-09-12,twse
2007-06-20,2333,碧悠電子,2026-09-12,twse
2007-06-20,2831,中華商銀,2026-09-12,twse
2007-06-20,3142,遠茂,2026-09-12,twse
2007-07-30,2469,力信,2026-09-12,twse
2007-08-21,6280,崇貿,2026-09-12,twse
2007-10-15,1601,台灣日光燈,2026-09-12,twse
2007-10-20,1107,建台水泥,2026-09-12,twse
2007-10-20,3053,鼎營,2026-09-12,twse
2007-10-31,8110,華東科技股份有限公司,2026-09-12,tpex
2007-12-01,5818,華僑商業銀行股份有限公司,2026-09-12,tpex
2007-12-03,5388,中磊電子股份有限公司,2026-09-12,tpex
2007-12-24,2479,和立,2026-09-12,twse
2007-12-28,2336,致伸,2026-09-12,twse
2007-12-31,3090,日電貿股份有限公司,2026-09-12,tpex
2007-12-31,3296,勝德國際研發股份有限公司,2026-09-12,tpex
2007-12-31,3376,新日興股份有限公司,2026-09-12,tpex
2007-12-31,4104,東貿國際股份有限公司,2026-09-12,tpex
2007-12-31,6215,和椿科技股份有限公司,2026-09-12,tpex
2007-12-31,8070,長華電材股份有限公司,2026-09-12,tpex
2007-12-31,8112,至上電子股份有限公司,2026-09-12,tpex
2008-01-01,1520,復盛,2026-09-12,twse
2008-01-10,3020,奇普仕,2026-09-12,twse
2008-01-14,2418,雅新實業,2026-09-12,twse
2008-01-31,2447,鼎新,2026-09-12,twse
2008-03-01,9915,億豐,2026-09-12,twse
2008-04-23,1311,福聚,2026-09-12,twse
2008-06-30,3271,其樂達,2026-09-12,twse
2008-07-14,9101,福雷電,2026-09-12,twse
2008-09-01,2432,倚天資訊,2026-09-12,twse
2008-10-20,5605,遠東航空股份有限公司,2026-09-12,tpex
2008-10-21,6110,艾群科技股份有限公司,2026-09-12,tpex
2008-10-21,6164,華興電子工業股份有限公司,2026-09-12,tpex
2008-10-27,2494,突破,2026-09-12,twse
2008-10-31,2411,飛瑞,2026-09-12,twse
2008-11-06,1606,歌林,2026-09-12,twse
2008-11-10,6226,光鼎電子股份有限公司,2026-09-12,tpex
2008-11-26,3209,全科科技股份有限公司,2026-09-12,tpex
2008-12-01,3369,鐵研科技股份有限公司,2026-09-12,tpex
2008-12-09,3053,鼎營科技股份有限公司,2026-09-12,tpex
2008-12-25,8374,羅昇企業股份有限公司,2026-09-12,tpex
2008-12-30,6108,競國實業股份有限公司,2026-09-12,tpex
2008-12-30,8081,致新科技股份有限公司,2026-09-12,tpex
2009-04-08,2396,精碟科技,2026-09-12,twse
2009-07-12,2381,華宇光能,2026-09-12,twse
2009-09-17,6224,聚鼎科技股份有限公司,2026-09-12,tpex
2009-09-29,8103,瀚荃股份有限公司,2026-09-12,tpex
2009-10-30,5492,亞智科技股份有限公司,2026-09-12,tpex
2009-12-01,2446,全懋,2026-09-12,twse
2009-12-08,6152,百一電子股份有限公司,2026-09-12,tpex
2009-12-11,8261,富鼎先進電子股份有限公司,2026-09-12,tpex
2009-12-17,1582,信錦企業股份有限公司,2026-09-12,tpex
2009-12-17,6243,迅杰科技股份有限公司,2026-09-12,tpex
2009-12-17,8039,台虹科技股份有限公司,2026-09-12,tpex
2009-12-31,2921,特力和樂股份有限公司,2026-09-12,tpex
2009-12-31,3229,晟鈦股份有限公司,2026-09-12,tpex
2010-03-18,3009,奇美,2026-09-12,twse
2010-03-22,3164,景岳生物科技股份有限公司,2026-09-12,tpex
2010-03-31,2452,乾坤,2026-09-12,twse
2010-04-01,3063,飛信,2026-09-12,twse
2010-04-08,2526,大陸工程,2026-09-12,twse
2010-04-12,3099,頂倫企業股份有限公司,2026-09-12,tpex
2010-06-17,2350,環電,2026-09-12,twse
2010-06-21,9922,優美,2026-09-12,twse
2010-08-16,2391,合勤科技,2026-09-12,twse
2010-08-24,6278,台灣表面黏著科技股份有限公司,2026-09-12,tpex
2010-09-01,1523,臺灣開億,2026-09-12,twse
2010-09-15,6255,奈普,2026-09-12,twse
2010-09-16,6230,超眾科技股份有限公司,2026-09-12,tpex
2010-10-01,3614,誠致,2026-09-12,twse
2010-10-16,2341,英群,2026-09-12,twse
2010-11-15,2403,友尚,2026-09-12,twse
2010-11-19,2231,為升電裝工業股份有限公司,2026-09-12,tpex
2010-12-29,2114,鑫永銓股份有限公司,2026-09-12,tpex
2010-12-29,3312,弘憶國際股份有限公司,2026-09-12,tpex
2010-12-30,4733,上緯企業股份有限公司,2026-09-12,tpex
2010-12-30,6214,精誠資訊股份有限公司,2026-09-12,tpex
2011-01-03,1716,永信藥品,2026-09-12,twse
2011-01-17,9102,東亞科,2026-09-12,twse
2011-05-02,6012,金鼎證,2026-09-12,twse
2011-05-16,2396,精碟科技股份有限公司,2026-09-12,tpex
2011-06-01,2463,研揚,2026-09-12,twse
2011-07-22,3454,晶睿通訊股份有限公司,2026-09-12,tpex
2011-08-05,5204,得捷股份有限公司,2026-09-12,tpex
2011-09-16,5007,三星科技股份有限公司,2026-09-12,tpex
2011-10-01,3534,雷凌,2026-09-12,twse
2011-10-03,2854,寶來證,2026-09-12,twse
2011-10-07,3367,英華達,2026-09-12,twse
2011-10-21,5706,鳳凰國際旅行社股份有限公司,2026-09-12,tpex
2011-12-01,5854,合庫,2026-09-12,twse
2011-12-01,6183,關貿網路股份有限公司,2026-09-12,tpex
2011-12-01,8210,勤誠興業股份有限公司,2026-09-12,tpex
2011-12-16,4426,利勤實業股份有限公司,2026-09-12,tpex
2012-03-01,6119,大傳,2026-09-12,twse
2012-03-26,5387,茂德科技股份有限公司,2026-09-12,tpex
2012-03-28,916665,爾必達,2026-09-12,twse
2012-04-30,4408,聯明行動科技股份有限公司,2026-09-12,tpex
2012-06-07,1107,建台水泥股份有限公司,2026-09-12,tpex
2012-08-15,4722,國精化學股份有限公司,2026-09-12,tpex
2012-08-28,9104,萬宇科,2026-09-12,twse
2012-10-15,2381,華宇光能股份有限公司,2026-09-12,tpex
2012-11-06,5318,佳鼎科技股份有限公司,2026-09-12,tpex
2012-11-06,911606,超級集團,2026-09-12,twse
2012-11-13,2341,英群企業股份有限公司,2026-09-12,tpex
2012-11-26,8114,振樺電子股份有限公司,2026-09-12,tpex
2012-11-30,2473,思源,2026-09-12,twse
2012-12-11,5346,力晶科技股份有限公司,2026-09-12,tpex
2012-12-18,5521,工信工程股份有限公司,2026-09-12,tpex
2012-12-28,8199,廣鎵,2026-09-12,twse
2013-01-01,8705,東隆五金工業股份有限公司,2026-09-12,tpex
2013-01-18,6008,凱基證券股份有限公司,2026-09-12,tpex
2013-02-01,3080,威力盟,2026-09-12,twse
2013-04-29,3069,台灣金屬礦業股份有限公司,2026-09-12,tpex
2013-04-30,3087,翔準先進光罩股份有限公司,2026-09-12,tpex
2013-04-30,4801,高盛電子科技股份有限公司,2026-09-12,tpex
2013-05-31,3599,旺能,2026-09-12,twse
2013-07-12,8008,建興電,2026-09-12,twse
2013-07-30,910579,歐聖集團,2026-09-12,twse
2013-08-01,6177,達麗建設事業股份有限公司,2026-09-12,tpex
2013-09-12,2315,神達電腦,2026-09-12,twse
2013-09-17,9946,三發地產股份有限公司,2026-09-12,tpex
2013-10-15,9151,旺旺,2026-09-12,twse
2013-12-03,911602,華豐泰國,2026-09-12,twse
2013-12-25,4994,傳奇網路遊戲股份有限公司,2026-09-12,tpex
2013-12-25,5467,聯福生科技股份有限公司,2026-09-12,tpex
2014-01-28,911610,聯合環境,2026-09-12,twse
2014-02-01,3697,F-晨星,2026-09-12,twse
2014-02-10,5519,隆大營建事業股份有限公司,2026-09-12,tpex
2014-02-14,8996,高力熱處理工業股份有限公司,2026-09-12,tpex
2014-02-27,8078,華寶,2026-09-12,twse
2014-09-10,3638,F-IML,2026-09-12,twse
2014-09-15,2837,萬泰銀行,2026-09-12,twse
2014-12-23,1558,伸興工業股份有限公司,2026-09-12,tpex
2014-12-24,3266,昇陽建設企業股份有限公司,2026-09-12,tpex
2014-12-25,5261,創傑科技股份有限公司,2026-09-12,tpex
2014-12-30,3061,璨圓,2026-09-12,twse
2014-12-30,911201,僑威集團,2026-09-12,twse
2014-12-31,3582,凌耀科技股份有限公司,2026-09-12,tpex
2015-01-02,5280,F-敦泰,2026-09-12,twse
