r,種子,a,b,D,lo,hi,n_min,CI不含0
0,20260925,0.3369453761366352,0.7143427884532467,-0.0016459395903916652,-0.008122352946915,0.00483047376613167,7223,False
1,20260926,0.7358060863926945,0.3972024688475752,-0.004334110668196806,-0.010063028241970381,0.00139480690557677,7777,False
2,20260927,0.2987593303600672,0.4503422959716001,0.0024778514609982982,-0.004561980295155682,0.009517683217152278,4714,False
3,20260928,0.5152043488576917,0.2771776884259693,0.004675533450962416,-0.0033865418954173634,0.012737608797342195,3358,False
4,20260929,0.42512417924758544,0.6423608668300106,-0.002604148290395625,-0.008838414383395027,0.0036301178026037764,10121,False
5,20260930,0.32862983496989095,0.4437251691093248,-0.0009613508751661892,-0.007008474022843889,0.0050857722725115104,6683,False
6,20260931,0.41209881235873075,0.5138925916091555,-0.0015380391826275985,-0.0064376854869063836,0.0033616071216511865,11524,False
7,20260932,0.7317709870997637,0.35906310909848616,-0.0022566674057481473,-0.009065892944731209,0.004552558133234915,7860,False
8,20260933,0.6764635240063419,0.409073701677245,-0.004358622097439924,-0.01063422996412246,0.0019169857692426118,9209,False
9,20260934,0.5077917837405517,0.6251089722756116,0.0033431257494065947,-0.0023842762566257834,0.009070527755438974,10597,False
10,20260935,0.460296824233008,0.2888729455630505,0.003561525819771205,-0.003739172548737885,0.010862224188280294,4028,False
11,20260936,0.3574047509857127,0.5415868779589872,-0.007186735754619561,-0.013601184818925888,-0.0007722866903132333,8486,True
12,20260937,0.404332770298428,0.6977716687882909,-0.005358511737861116,-0.011081955229713805,0.00036493175399157293,8664,False
13,20260938,0.3695855720198373,0.7380533922901229,-0.001140619968458767,-0.007653695740850082,0.005372455803932548,7712,False
14,20260939,0.4310355970030425,0.2555690896857345,9.22148239806686e-05,-0.008237947173507978,0.008422376821469315,2293,False
15,20260940,0.49864645029418864,0.3020087906135249,0.0064027737663077955,-0.0006373606662337019,0.013442908198849293,4932,False
16,20260941,0.5656681392762075,0.25368994565171743,-0.0007068897820624309,-0.01008308166349691,0.008669302099372047,2222,False
17,20260942,0.4756619692014759,0.6932020991869983,-0.0006742574681615487,-0.007142083681868456,0.005793568745545359,8800,False
18,20260943,0.5848024532277811,0.2679869592448492,0.00457876591113221,-0.003432319009324499,0.012589850831588919,2873,False
19,20260944,0.4102776033065517,0.6114832506366186,-0.00019833765620999588,-0.00497971116597467,0.004583035853554678,10929,False
20,20260945,0.5249106316130079,0.32207240216527705,0.002378981503086214,-0.0033991085774763893,0.008157071583648817,6236,False
21,20260946,0.5870044829922443,0.44774293819758854,-0.00040315359564782605,-0.0062932742776401355,0.005486967086344483,11594,False
22,20260947,0.726407147788517,0.5247795614372114,0.0010467343558792919,-0.004974289366020357,0.007067758077778941,8011,False
23,20260948,0.46684811062527143,0.6302728994113738,0.002298936767081816,-0.00304078781009374,0.007638661344257372,10444,False
24,20260949,0.46616846404466744,0.2892718409764497,0.004596794183167302,-0.0025780009602743613,0.011771589326608965,4059,False
25,20260950,0.46483727328281693,0.6313043814822372,0.001643354283708598,-0.003744038520416819,0.007030747087834015,10420,False
26,20260951,0.3050340555478937,0.4813116300639442,0.004385644886464979,-0.0022900325056800343,0.011061322278609991,5122,False
27,20260952,0.3239679852297943,0.4602816349236015,0.004075218350363646,-0.002225822304984631,0.010376259005711923,6352,False
28,20260953,0.6376072465866833,0.4992387220829794,0.0011030592963522379,-0.005119858290846476,0.007325976883550952,10227,False
29,20260954,0.7063117533279493,0.560444455085247,0.00033095179975023425,-0.005539907559097039,0.006201811158597507,8486,False
