判定格 D（月）                           重算 -0.005560 -0.011923 +0.000802  主程式 -0.005560 -0.011923 +0.000802  最大差 2.0e-16
判定格 D（波段）                          重算 -0.005560 -0.011375 +0.000254  主程式 -0.005560 -0.011375 +0.000254  最大差 1.7e-16
七位置 b(x)                           重算 +0.519461 +0.499887 +0.503580 +0.509308 +0.503500 +0.505941 +0.507356  主程式 +0.519461 +0.499887 +0.503580 +0.509308 +0.503500 +0.505941 +0.507356  最大差 0.0e+00
n_eff 重算 115／主程式 115
38.2 − 鄰位                          重算 -0.011634 -0.020503 -0.002766  主程式 -0.011634 -0.020503 -0.002766  最大差 1.3e-15
61.8 − 鄰位                          重算 +0.000513 -0.007257 +0.008283  主程式 +0.000513 -0.007257 +0.008283  最大差 5.7e-16
描述臂 a 50%                          重算 +0.005768 -0.000635 +0.012172  主程式 +0.005768 -0.000635 +0.012172  最大差 3.5e-16
§五 X20 平均 30                       重算 +0.003278 -0.000047 +0.006603  主程式 +0.003278 -0.000047 +0.006603  最大差 7.8e-18
§五 X20 平均 38.2                     重算 +0.001169 -0.001727 +0.004066  主程式 +0.001169 -0.001727 +0.004066  最大差 8.2e-18
§五 X20 平均 45                       重算 +0.001830 -0.001229 +0.004889  主程式 +0.001830 -0.001229 +0.004889  最大差 8.0e-18
§五 X20 平均 50                       重算 +0.002100 -0.000774 +0.004973  主程式 +0.002100 -0.000774 +0.004973  最大差 7.8e-18
§五 X20 平均 55                       重算 +0.001611 -0.001489 +0.004710  主程式 +0.001611 -0.001489 +0.004710  最大差 8.2e-18
§五 X20 平均 61.8                     重算 +0.001043 -0.002205 +0.004291  主程式 +0.001043 -0.002205 +0.004291  最大差 9.5e-18
§五 X20 平均 70                       重算 -0.001229 -0.004787 +0.002330  主程式 -0.001229 -0.004787 +0.002330  最大差 8.7e-18
描述臂 b ±3%帶                         重算 -0.004250 -0.009858 +0.001357  主程式 -0.004250 -0.009858 +0.001357  最大差 2.5e-16
描述臂 b ±8%帶                         重算 -0.003414 -0.009497 +0.002670  主程式 -0.003414 -0.009497 +0.002670  最大差 7.4e-16
描述臂 10日窗                           重算 -0.006872 -0.013632 -0.000113  主程式 -0.006872 -0.013632 -0.000113  最大差 6.1e-17
描述臂 40日窗                           重算 -0.006041 -0.012157 +0.000076  主程式 -0.006041 -0.012157 +0.000076  最大差 2.6e-16
描述臂 k3                             重算 -0.003791 -0.009999 +0.002417  主程式 -0.003791 -0.009999 +0.002417  最大差 9.9e-17
描述臂 k10                            重算 -0.004926 -0.013412 +0.003560  主程式 -0.004926 -0.013412 +0.003560  最大差 8.9e-16
描述臂 d D_d                          重算 -0.000269 -0.001401 +0.000863  主程式 -0.000269 -0.001401 +0.000863  最大差 1.1e-18
§五 上市 D                            重算 -0.004950 -0.013696 +0.003797  主程式 -0.004950 -0.013696 +0.003797  最大差 2.1e-16
§五 上櫃 D                            重算 -0.005787 -0.015447 +0.003873  主程式 -0.005787 -0.015447 +0.003873  最大差 6.9e-17
假訊號臂 百分位／x／p95                     重算 +4.000000 +192.000000 +0.005261  主程式 +4.000000 +192.000000 +0.005261  最大差 4.3e-17
最大差（全部）1.3e-15 ⇒ ✅ 相符
